CarGm,Date,Season,Season_type,Week,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,OffSnp%,STSnp,STSnp%
1,2022-09-11,2022,REG,1,0,6,23,0,9,6,38,0,38,45.2,0,0.0
2,2022-09-18,2022,REG,2,0,7,50,0,1,1,10,1,19,27.1,0,0.0
3,2022-09-25,2022,REG,3,0,8,39,0,11,6,53,0,40,51.3,0,0.0
4,2022-10-02,2022,REG,4,0,17,66,1,6,2,12,0,46,65.7,0,0.0
5,2022-10-09,2022,REG,5,0,18,97,1,2,2,100,0,41,69.5,0,0.0
6,2022-10-16,2022,REG,6,1,20,116,1,2,2,5,0,37,67.3,0,0.0
7,2022-10-23,2022,REG,7,1,4,72,1,0,0,0,0,12,20.3,0,0.0
0,1970-01-01,2022,DNP,8,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,1970-01-01,2022,DNP,9,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,1970-01-01,2022,DNP,10,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,1970-01-01,2022,DNP,11,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,1970-01-01,2022,DNP,12,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,1970-01-01,2022,DNP,13,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,1970-01-01,2022,DNP,14,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,1970-01-01,2022,DNP,15,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,1970-01-01,2022,DNP,16,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,1970-01-01,2022,DNP,17,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,1970-01-01,2022,DNP,18,0,0,0,0,0,0,0,0,0,0.0,0,0.0
8,2023-09-11,2023,REG,1,1,10,127,0,2,1,20,0,17,31.5,0,0.0
9,2023-09-17,2023,REG,2,1,4,9,0,2,0,0,0,16,34.0,0,0.0
10,2023-09-24,2023,REG,3,1,12,18,0,2,1,9,0,31,49.2,0,0.0
11,2023-10-01,2023,REG,4,1,6,56,0,4,3,13,0,26,44.1,0,0.0
12,2023-10-08,2023,REG,5,1,22,177,1,3,3,17,0,34,52.3,0,0.0
13,2023-10-15,2023,REG,6,1,12,39,1,5,5,54,0,43,66.2,0,0.0
0,1970-01-01,2023,DNP,7,0,0,0,0,0,0,0,0,0,0.0,0,0.0
14,2023-10-29,2023,REG,8,1,12,17,0,9,6,76,1,41,64.1,0,0.0
15,2023-11-06,2023,REG,9,1,16,50,0,4,4,10,0,49,60.5,0,0.0
16,2023-11-12,2023,REG,10,1,13,28,0,3,3,47,0,46,69.7,0,0.0
17,2023-11-19,2023,REG,11,1,10,23,0,6,5,50,1,36,63.2,0,0.0
18,2023-11-24,2023,REG,12,1,7,25,0,9,7,24,0,38,65.5,0,0.0
19,2023-12-03,2023,REG,13,1,13,16,0,8,6,29,0,46,67.6,0,0.0
20,2023-12-10,2023,REG,14,0,10,40,0,9,8,86,1,42,61.8,0,0.0
21,2023-12-17,2023,REG,15,1,6,12,0,2,1,6,0,23,39.7,0,0.0
22,2023-12-24,2023,REG,16,1,20,95,2,16,12,96,0,69,76.7,0,0.0
23,2023-12-28,2023,REG,17,1,13,84,0,9,9,42,1,52,71.2,0,0.0
24,2024-01-07,2023,REG,18,1,37,178,1,2,2,12,0,58,89.2,0,0.0
25,2024-09-09,2024,REG,1,1,16,54,1,6,5,39,0,42,82.4,0,0.0
26,2024-09-15,2024,REG,2,1,14,62,0,8,7,52,1,41,71.9,0,0.0
27,2024-09-19,2024,REG,3,1,16,54,1,5,4,29,0,52,71.2,0,0.0
28,2024-09-29,2024,REG,4,1,10,4,0,5,2,14,0,51,68.9,0,0.0
29,2024-10-06,2024,REG,5,1,9,23,0,4,3,14,0,53,73.6,0,0.0
30,2024-10-14,2024,REG,6,1,18,113,0,6,5,56,0,55,87.3,0,0.0
31,2024-10-20,2024,REG,7,1,12,38,1,9,6,103,0,47,82.5,0,0.0
32,2024-10-27,2024,REG,8,1,16,80,0,3,1,9,0,46,74.2,0,0.0
33,2024-10-31,2024,REG,9,1,15,74,0,4,2,11,0,44,75.9,0,0.0
34,2024-11-10,2024,REG,10,1,10,52,0,4,4,31,0,47,81.0,0,0.0
35,2024-11-17,2024,REG,11,1,16,78,1,7,7,43,1,43,84.3,0,0.0
0,1970-01-01,2024,DNP,12,0,0,0,0,0,0,0,0,0,0.0,0,0.0
36,2024-12-01,2024,REG,13,1,12,60,0,1,0,0,0,42,61.8,0,0.0
0,1970-01-01,2024,DNP,14,0,0,0,0,0,0,0,0,0,0.0,0,0.0
37,2024-12-15,2024,REG,15,1,9,30,1,2,2,21,0,28,48.3,0,0.0
38,2024-12-22,2024,REG,16,1,14,52,0,6,5,38,0,53,76.8,0,0.0
39,2024-12-29,2024,REG,17,1,10,45,0,1,1,8,0,31,49.2,0,0.0
40,2025-01-05,2024,REG,18,1,12,57,0,5,3,15,1,45,70.3,0,0.0
