season,game_type,team,week,gsis_id,position,full_name,first_name,last_name,report_primary_injury,report_secondary_injury,report_status,practice_primary_injury,practice_secondary_injury,practice_status,date_modified
2010,REG,ARI,1,00-0027007,RB,Chris Wells,Chris,Wells,Knee,,Questionable,Knee,,Did Not Participate In Practice,2010-09-10T12:13:53Z
2010,REG,ARI,1,00-0022288,RB,Jason Wright,Jason,Wright,Toe,,Questionable,Toe,,Limited Participation in Practice,2010-09-10T12:13:44Z
2010,REG,ARI,1,00-0025668,CB,Michael Adams,Michael,Adams,Shoulder,,Probable,Shoulder,,Full Participation in Practice,
2010,REG,ARI,1,00-0026939,LB,Will Davis,Will,Davis,Knee,,Probable,Knee,,Full Participation in Practice,
2010,REG,ARI,1,00-0022921,WR,Larry Fitzgerald,Larry,Fitzgerald,Knee,,Probable,Knee,,Full Participation in Practice,
2010,REG,ARI,1,00-0025602,TE,Ben Patrick,Ben,Patrick,Knee,,Probable,Knee,,Full Participation in Practice,
2010,REG,ARI,1,00-0013126,LB,Joey Porter,Joey,Porter,Back,,Probable,Back,,Full Participation in Practice,
2010,REG,ARI,1,00-0027691,WR,Andre Roberts,Andre,Roberts,Shoulder,,Probable,Shoulder,,Full Participation in Practice,
2010,REG,ATL,1,00-0022781,WR,Michael Jenkins,Michael,Jenkins,Shoulder,,Out,Shoulder,,Did Not Participate In Practice,2010-09-10T12:53:27Z
2010,REG,ATL,1,00-0024183,CB,Brent Grimes,Brent,Grimes,Hip,,Questionable,Hip,,Full Participation in Practice,2010-09-10T12:52:50Z
2010,REG,ATL,1,00-0027686,DT,Corey Peters,Corey,Peters,Knee,,Questionable,Knee,,Full Participation in Practice,2010-09-10T12:53:15Z
2010,REG,ATL,1,00-0027717,C,Joe Hawley,Joe,Hawley,Hip,,Questionable,Hip,,Limited Participation in Practice,2010-09-10T12:53:04Z
2010,REG,BAL,1,00-0027665,DT,Terrence Cody,Terrence,Cody,Knee,,Out,Knee,,Out (Definitely Will Not Play),2010-09-11T11:05:21Z
2010,REG,BAL,1,00-0025787,T,Jared Gaither,Jared,Gaither,Back,,Out,Back,,Out (Definitely Will Not Play),2010-09-11T11:05:28Z
2010,REG,BAL,1,00-0021147,WR,Donte' Stallworth,Donte',Stallworth,Foot,,Out,Foot,,Out (Definitely Will Not Play),2010-09-11T11:05:54Z
