Team,Team2,Team3,Team4,Team5,ABV,ABV2,ABV3,ABV4,ABV5,PFR_ABV,TmLegacy,TmLegacy2,TmLegacy3,TmLegacy4,TmLegacy5
Arizona Cardinals,Phoenix Cardinals,St. Louis Cardinals,Chicago Cardinals,,ARI,PHO,STL,CRD,,crd,1994-present,1988-1993,1960-1987,1920-1959,
Atlanta Falcons,,,,,ATL,,,,,atl,1966-present,,,,
Baltimore Ravens,,,,,BAL,,,,,rav,1996-present,,,,
Buffalo Bills,,,,,BUF,,,,,buf,1960-present,,,,
Carolina Panthers,,,,,CAR,,,,,car,1995-present,,,,
Chicago Bears,,,,,CHI,,,,,chi,1922-present,,,,
Cincinnati Bengals,,,,,CIN,,,,,cin,1968-present,,,,
Cleveland Browns,,,,,CLE,,,,,cle,1946-present,,,,
Dallas Cowboys,,,,,DAL,,,,,dal,1960-present,,,,
Denver Broncos,,,,,DEN,,,,,den,1960-present,,,,
Detroit Lions,,,,,DET,,,,,det,1934-present,,,,
Green Bay Packers,,,,,GNB,,,,,gnb,1922-present,,,,
Houston Texans,,,,,HOU,,,,,htx,2002-present,,,,
Indianapolis Colts,Baltimore Colts,,,,IND,BAL,,,,clt,1984-present,1953-1983,,,
Jacksonville Jaguars,,,,,JAX,,,,,jax,1995-present,,,,
Kansas City Chiefs,,,,,KAN,,,,,kan,1963-present,,,,
Las Vegas Raiders,Oakland Raiders,Los Angeles Raiders,Oakland Raiders,,LVR,OAK,RAI,OAK,,rai,2020-present,1995-2019,1982-1994,1960-1981,
Los Angeles Chargers,San Diego Chargers,Los Angeles Chargers,,,LAC,SDG,LAC,,,sdg,2017-present,1961-2016,1960-1960,,
Los Angeles Rams,St. Louis Rams,Los Angeles Rams,Cleveland Rams,,LAR,STL,RAM,RAM,,ram,2016-present,1995-2015,1946-1994,1937-1945,
Miami Dolphins,,,,,MIA,,,,,mia,1966-present,,,,
Minnesota Vikings,,,,,MIN,,,,,min,1961-present,,,,
New England Patriots,,,,,NWE,,,,,nwe,1971-present,,,,
New Orleans Saints,,,,,NOR,,,,,nor,1967-present,,,,
New York Giants,,,,,NYG,,,,,nyg,1925-present,,,,
New York Jets,,,,,NYJ,,,,,nyj,1963-present,,,,
Philadelphia Eagles,,,,,PHI,,,,,phi,1933-present,,,,
Pittsburgh Steelers,,,,,PIT,,,,,pit,1940-present,,,,
San Francisco 49ers,,,,,SFO,,,,,sfo,1946-present,,,,
Seattle Seahawks,,,,,SEA,,,,,sea,1976-present,,,,
Tampa Bay Buccaneers,,,,,TAM,,,,,tam,1976-present,,,,
Tennessee Titans,Tennessee Oilers,Houston Oilers,,,TEN,TEN,HOU,,,oti,1999-present,1997-1998,1960-1996,,
Washington Commanders,Washington Football Team,Washington Redskins,Boston Redskins,Boston Braves,WAS,WAS,WAS,BOS,BOS,was,2022-present,2020-2021,1937-2019,1933-1936,1932-1932
