Team,Season,Bye Week
Cleveland Browns,1990,10
Cleveland Browns,1991,5
Cleveland Browns,1992,5
Cleveland Browns,1993,5
Cleveland Browns,1993,9
Cleveland Browns,1994,6
Cleveland Browns,1995,7
Cleveland Browns,1999,17
Cleveland Browns,2000,17
Cleveland Browns,2001,7
Cleveland Browns,2002,10
Cleveland Browns,2003,9
Cleveland Browns,2004,8
Cleveland Browns,2005,4
Cleveland Browns,2006,6
Cleveland Browns,2007,7
Cleveland Browns,2008,5
Cleveland Browns,2009,9
Cleveland Browns,2010,8
Cleveland Browns,2011,5
Cleveland Browns,2012,10
Cleveland Browns,2013,10
Cleveland Browns,2014,4
Cleveland Browns,2015,11
Cleveland Browns,2016,13
Cleveland Browns,2017,9
Cleveland Browns,2018,11
Cleveland Browns,2019,7
Cleveland Browns,2020,9
Cleveland Browns,2021,13
Cleveland Browns,2022,9
Cleveland Browns,2023,5
Cleveland Browns,2024,10
