Team,Season,Bye Week,PFR_ABV
New Orleans Saints,1990,4,nor
New Orleans Saints,1991,6,nor
New Orleans Saints,1992,8,nor
New Orleans Saints,1993,6,nor
New Orleans Saints,1993,10,nor
New Orleans Saints,1994,9,nor
New Orleans Saints,1995,6,nor
New Orleans Saints,1996,9,nor
New Orleans Saints,1997,10,nor
New Orleans Saints,1998,3,nor
New Orleans Saints,1999,3,nor
New Orleans Saints,2000,5,nor
New Orleans Saints,2001,2,nor
New Orleans Saints,2002,9,nor
New Orleans Saints,2003,10,nor
New Orleans Saints,2004,8,nor
New Orleans Saints,2005,10,nor
New Orleans Saints,2006,7,nor
New Orleans Saints,2007,4,nor
New Orleans Saints,2008,9,nor
New Orleans Saints,2009,5,nor
New Orleans Saints,2010,10,nor
New Orleans Saints,2011,11,nor
New Orleans Saints,2012,6,nor
New Orleans Saints,2013,7,nor
New Orleans Saints,2014,6,nor
New Orleans Saints,2015,11,nor
New Orleans Saints,2016,5,nor
New Orleans Saints,2017,5,nor
New Orleans Saints,2018,6,nor
New Orleans Saints,2019,9,nor
New Orleans Saints,2020,6,nor
New Orleans Saints,2021,6,nor
New Orleans Saints,2022,14,nor
New Orleans Saints,2023,11,nor
New Orleans Saints,2024,12,nor
