Team,Season,Bye Week
Pittsburgh Steelers,1990,10
Pittsburgh Steelers,1991,5
Pittsburgh Steelers,1992,5
Pittsburgh Steelers,1993,5
Pittsburgh Steelers,1993,9
Pittsburgh Steelers,1994,6
Pittsburgh Steelers,1995,7
Pittsburgh Steelers,1996,4
Pittsburgh Steelers,1997,3
Pittsburgh Steelers,1998,5
Pittsburgh Steelers,1999,8
Pittsburgh Steelers,2000,2
Pittsburgh Steelers,2001,1
Pittsburgh Steelers,2002,3
Pittsburgh Steelers,2003,7
Pittsburgh Steelers,2004,7
Pittsburgh Steelers,2005,4
Pittsburgh Steelers,2006,4
Pittsburgh Steelers,2007,6
Pittsburgh Steelers,2008,6
Pittsburgh Steelers,2009,8
Pittsburgh Steelers,2010,5
Pittsburgh Steelers,2011,11
Pittsburgh Steelers,2012,4
Pittsburgh Steelers,2013,5
Pittsburgh Steelers,2014,12
Pittsburgh Steelers,2015,11
Pittsburgh Steelers,2016,8
Pittsburgh Steelers,2017,9
Pittsburgh Steelers,2018,7
Pittsburgh Steelers,2019,7
Pittsburgh Steelers,2020,4
Pittsburgh Steelers,2021,7
Pittsburgh Steelers,2022,9
Pittsburgh Steelers,2023,6
Pittsburgh Steelers,2024,9
