Team,Season,Bye Week
Seattle Seahawks,1990,8
Seattle Seahawks,1991,10
Seattle Seahawks,1992,9
Seattle Seahawks,1993,6
Seattle Seahawks,1993,12
Seattle Seahawks,1994,7
Seattle Seahawks,1995,4
Seattle Seahawks,1996,7
Seattle Seahawks,1997,7
Seattle Seahawks,1998,7
Seattle Seahawks,1999,5
Seattle Seahawks,2000,12
Seattle Seahawks,2001,6
Seattle Seahawks,2002,5
Seattle Seahawks,2003,4
Seattle Seahawks,2004,4
Seattle Seahawks,2005,8
Seattle Seahawks,2006,5
Seattle Seahawks,2007,8
Seattle Seahawks,2008,4
Seattle Seahawks,2009,7
Seattle Seahawks,2010,5
Seattle Seahawks,2011,6
Seattle Seahawks,2012,11
Seattle Seahawks,2013,12
Seattle Seahawks,2014,4
Seattle Seahawks,2015,9
Seattle Seahawks,2016,5
Seattle Seahawks,2017,6
Seattle Seahawks,2018,7
Seattle Seahawks,2019,11
Seattle Seahawks,2020,6
Seattle Seahawks,2021,9
Seattle Seahawks,2022,11
Seattle Seahawks,2023,5
Seattle Seahawks,2024,10
