Player,Career_RushAtt
AJ Dillon,613
Aaron Jones,1549
Alexander Mattison,722
Alvin Kamara,1636
Ameer Abdullah,495
Anthony McFarland,42
Antonio Gibson,776
Audric Estimé,76
Austin Ekeler,1113
Avery Williams,22
Bam Knight,88
Bijan Robinson,518
Blake Corum,58
Boston Scott,324
Braelon Allen,92
Breece Hall,512
Brian Robinson,606
Bucky Irving,224
Cam Akers,620
Carson Steele,56
Chase Brown,273
Chase Edmonds,469
Chris Brooks,55
Chris Collier,5
Chris Evans,21
Chris Rodriguez Jr.,86
Christian McCaffrey,1452
Chuba Hubbard,755
Clyde Edwards-Helaire,493
Cody Schrader,1
Cordarrelle Patterson,550
Craig Reynolds,151
D'Andre Swift,856
D'Ernest Johnson,214
D'Onta Foreman,628
Dalvin Cook,1417
Dameon Pierce,414
Dare Ogunbowale,170
Darrynton Evans,65
David Montgomery,58
De'Von Achane,312
DeeJay Dallas,121
Demetric Felton,8
Deon Jackson,95
Derrick Henry,2553
Deuce Vaughn,40
Devin Singletary,1094
Elijah Dotson,4
Elijah Mitchell,411
Emanuel Wilson,132
Emari Demercado,82
Eric Gray,31
Evan Hull,1
Ezekiel Elliott,2242
Gary Brightwell,41
George Holani,3
Gus Edwards,861
Hassan Haskins,60
Isaac Guerendo,84
Isaiah Davis,30
Isaiah Spiller,55
Isiah Pacheco,589
Israel Abanikanda,22
J.J. Taylor,62
J.K. Dobbins,470
JaMycal Hasty,125
Jacob Kibodi,5
Jahmyr Gibbs,475
Jake Funk,4
Jaleel McLaughlin,191
Jamaal Williams,1092
James Conner,1376
James Cook,639
James Robinson,515
Jaret Patterson,85
Javonte Williams,613
Jaylen Warren,356
Jaylen Wright,68
Jeff Wilson,541
Jeremy McNichols,145
Jermar Jefferson,21
Jerome Ford,325
Joe Mixon,1965
John Kelly,32
Jonathan Taylor,1249
Jonathan Ward,22
Jonathon Brooks,9
Jordan Mason,236
Jordan Mims,20
Josh Jacobs,1637
Joshua Kelley,328
Julius Chestnut,31
Justice Hill,278
Kareem Hunt,1291
Ke'Shawn Vaughn,127
Keaontay Ingram,62
Keaton Mitchell,62
Kendre Miller,80
Kene Nwangwu,27
Kenneth Gainwell,331
Kenneth Walker III,615
Kenny McIntosh,31
Kevin Harris,34
Khalil Herbert,400
Kimani Vidal,43
Kyren Williams,627
La'Mical Perine,94
Malik Davis,38
MarShawn Lloyd,6
Matt Breida,591
Michael Carter,326
Mike Boone,117
Miles Sanders,979
Myles Gaskin,364
Najee Harris,1127
Nick Chubb,1371
Nyheim Hines,315
Patrick Taylor,104
Pierre Strong,99
Rachaad White,580
Raheem Blackshear,52
Raheem Mostert,820
Rashaad Penny,348
Rasheen Ali,10
Ray Davis,113
Rhamondre Stevenson,714
Rico Dowdle,333
Ronnie Rivers,69
Roschon Johnson,136
Royce Freeman,471
Salvon Ahmed,168
Samaje Perine,492
Saquon Barkley,1655
Sean Tucker,65
Sione Vaki,6
Tank Bigsby,218
Tarik Cohen,265
Terrell Jennings,13
Tony Jones,97
Tony Pollard,1062
Travis Etienne,667
Travis Homer,103
Trayveon Williams,62
Trey Benson,63
Trey Sermon,134
Ty Chandler,164
Ty Johnson,314
Tyjae Spears,184
Tyler Allgeier,533
Tyler Badie,12
Tyler Goodson,45
Tyrion Davis-Price,43
Tyrone Tracy Jr.,192
Velus Jones Jr.,20
Will Shipley,30
Zach Charbonnet,243
Zack Moss,566
Zamir White,186
Zander Horvath,4
