Team,Season,Week,Date,Opp
Seattle Seahawks,1978,1,1978-09-03,San Diego Chargers
Seattle Seahawks,1978,2,1978-09-10,Pittsburgh Steelers
Seattle Seahawks,1978,3,1978-09-17,New York Jets
Seattle Seahawks,1978,4,1978-09-24,Detroit Lions
Seattle Seahawks,1978,5,1978-10-01,Denver Broncos
Seattle Seahawks,1978,6,1978-10-08,Minnesota Vikings
Seattle Seahawks,1978,7,1978-10-15,Green Bay Packers
Seattle Seahawks,1978,8,1978-10-22,Oakland Raiders
Seattle Seahawks,1978,9,1978-10-29,Denver Broncos
Seattle Seahawks,1978,10,1978-11-05,Chicago Bears
Seattle Seahawks,1978,11,1978-11-12,Baltimore Colts
Seattle Seahawks,1978,12,1978-11-19,Kansas City Chiefs
Seattle Seahawks,1978,13,1978-11-26,Oakland Raiders
Seattle Seahawks,1978,14,1978-12-03,Cleveland Browns
Seattle Seahawks,1978,15,1978-12-10,San Diego Chargers
Seattle Seahawks,1978,16,1978-12-17,Kansas City Chiefs
Seattle Seahawks,1979,1,1979-09-02,San Diego Chargers
Seattle Seahawks,1979,2,1979-09-09,Miami Dolphins
Seattle Seahawks,1979,3,1979-09-16,Oakland Raiders
Seattle Seahawks,1979,4,1979-09-23,Denver Broncos
Seattle Seahawks,1979,5,1979-09-30,Kansas City Chiefs
Seattle Seahawks,1979,6,1979-10-07,San Francisco 49ers
Seattle Seahawks,1979,7,1979-10-14,San Diego Chargers
Seattle Seahawks,1979,8,1979-10-21,Houston Oilers
Seattle Seahawks,1979,9,1979-10-29,Atlanta Falcons
Seattle Seahawks,1979,10,1979-11-04,Los Angeles Rams
Seattle Seahawks,1979,11,1979-11-11,Cleveland Browns
Seattle Seahawks,1979,12,1979-11-18,New Orleans Saints
Seattle Seahawks,1979,13,1979-11-26,New York Jets
Seattle Seahawks,1979,14,1979-12-02,Kansas City Chiefs
Seattle Seahawks,1979,15,1979-12-08,Denver Broncos
Seattle Seahawks,1979,16,1979-12-16,Oakland Raiders
Seattle Seahawks,1980,1,1980-09-07,San Diego Chargers
Seattle Seahawks,1980,2,1980-09-14,Kansas City Chiefs
Seattle Seahawks,1980,3,1980-09-21,New England Patriots
Seattle Seahawks,1980,4,1980-09-28,Washington Redskins
Seattle Seahawks,1980,5,1980-10-05,Houston Oilers
Seattle Seahawks,1980,6,1980-10-12,Cleveland Browns
Seattle Seahawks,1980,7,1980-10-19,New York Jets
Seattle Seahawks,1980,8,1980-10-26,Oakland Raiders
Seattle Seahawks,1980,9,1980-11-02,Philadelphia Eagles
Seattle Seahawks,1980,10,1980-11-09,Kansas City Chiefs
Seattle Seahawks,1980,11,1980-11-17,Oakland Raiders
Seattle Seahawks,1980,12,1980-11-23,Denver Broncos
Seattle Seahawks,1980,13,1980-11-27,Dallas Cowboys
Seattle Seahawks,1980,14,1980-12-07,New York Giants
Seattle Seahawks,1980,15,1980-12-13,San Diego Chargers
