CarGm,Date,Season,Season_type,Week,Team,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
0,1970-01-01,2017,DNP,1,GNB,0,0,0,0,0,0,0,0,0,0
1,2017-09-17,2017,REG,2,GNB,0,0,0,0,0,0,0,0,0,8
2,2017-09-24,2017,REG,3,GNB,0,0,0,0,0,0,0,0,0,12
3,2017-09-28,2017,REG,4,GNB,0,13,49,1,0,0,0,0,30,8
4,2017-10-08,2017,REG,5,GNB,1,19,125,1,1,1,9,0,53,0
5,2017-10-15,2017,REG,6,GNB,0,13,41,0,4,1,1,0,43,3
6,2017-10-22,2017,REG,7,GNB,1,17,131,1,5,3,7,0,44,0
0,1970-01-01,2017,BYE,8,GNB,0,0,0,0,0,0,0,0,0,0
7,2017-11-06,2017,REG,9,GNB,1,5,12,0,5,2,-1,0,20,0
8,2017-11-12,2017,REG,10,GNB,1,3,12,0,1,1,0,0,6,0
0,1970-01-01,2017,DNP,11,GNB,0,0,0,0,0,0,0,0,0,0
0,1970-01-01,2017,DNP,12,GNB,0,0,0,0,0,0,0,0,0,0
9,2017-12-03,2017,REG,13,GNB,0,1,20,1,0,0,0,0,2,0
10,2017-12-10,2017,REG,14,GNB,0,4,-2,0,0,0,0,0,8,0
11,2017-12-17,2017,REG,15,GNB,0,3,47,0,2,1,6,0,26,1
12,2017-12-23,2017,REG,16,GNB,0,3,13,0,0,0,0,0,4,0
0,1970-01-01,2017,DNP,17,GNB,0,0,0,0,0,0,0,0,0,0
0,1970-01-01,2018,DNP,1,GNB,0,0,0,0,0,0,0,0,0,0
0,1970-01-01,2018,DNP,2,GNB,0,0,0,0,0,0,0,0,0,0
13,2018-09-23,2018,REG,3,GNB,0,6,42,0,1,1,5,0,17,7
14,2018-09-30,2018,REG,4,GNB,0,11,65,1,1,1,17,0,29,1
15,2018-10-07,2018,REG,5,GNB,0,7,40,0,3,2,19,0,22,3
16,2018-10-15,2018,REG,6,GNB,1,8,41,0,1,0,0,0,19,3
0,1970-01-01,2018,BYE,7,GNB,0,0,0,0,0,0,0,0,0,0
17,2018-10-28,2018,REG,8,GNB,1,12,86,1,2,2,0,0,32,2
18,2018-11-04,2018,REG,9,GNB,1,14,75,0,4,2,10,0,43,2
19,2018-11-11,2018,REG,10,GNB,1,15,145,2,5,3,27,0,42,0
20,2018-11-15,2018,REG,11,GNB,1,11,40,1,6,5,63,1,44,0
21,2018-11-25,2018,REG,12,GNB,1,17,72,1,5,3,21,0,40,0
22,2018-12-02,2018,REG,13,GNB,1,11,36,1,4,4,16,0,39,0
23,2018-12-09,2018,REG,14,GNB,0,17,78,1,3,3,28,0,42,1
24,2018-12-16,2018,REG,15,GNB,1,4,8,0,0,0,0,0,7,0
0,1970-01-01,2018,DNP,16,GNB,0,0,0,0,0,0,0,0,0,0
