CarGm,Date,Season,Season_type,Week,Team,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,2019-09-08,2019,REG,1,MIN,0,9,49,0,0,0,0,0,12,0
2,2019-09-15,2019,REG,2,MIN,0,4,25,0,0,0,0,0,8,0
3,2019-09-22,2019,REG,3,MIN,0,12,58,1,0,0,0,0,19,0
4,2019-09-29,2019,REG,4,MIN,0,2,5,0,1,1,8,0,6,0
5,2019-10-06,2019,REG,5,MIN,0,7,52,0,0,0,0,0,16,0
6,2019-10-13,2019,REG,6,MIN,0,14,63,0,0,0,0,0,21,0
7,2019-10-20,2019,REG,7,MIN,0,7,18,0,0,0,0,0,21,0
8,2019-10-24,2019,REG,8,MIN,0,13,61,0,2,2,3,0,19,0
9,2019-11-03,2019,REG,9,MIN,0,3,6,0,1,0,0,0,6,0
10,2019-11-10,2019,REG,10,MIN,0,8,52,0,1,1,2,0,12,0
11,2019-11-17,2019,REG,11,MIN,0,3,5,0,0,0,0,0,4,0
0,1970-01-01,2019,BYE,12,MIN,0,0,0,0,0,0,0,0,0,0
12,2019-12-02,2019,REG,13,MIN,0,4,22,0,5,4,51,0,26,0
13,2019-12-08,2019,REG,14,MIN,0,14,46,0,2,2,18,0,27,0
0,1970-01-01,2019,DNP,15,MIN,0,0,0,0,0,0,0,0,0,0
0,1970-01-01,2019,DNP,16,MIN,0,0,0,0,0,0,0,0,0,0
0,1970-01-01,2019,DNP,17,MIN,0,0,0,0,0,0,0,0,0,0
14,2020-01-05,2019,POST,18,MIN,0,5,20,0,2,1,10,0,13,0
15,2020-01-11,2019,POST,19,MIN,0,1,3,0,0,0,0,0,2,0
16,2020-09-13,2020,REG,1,MIN,0,6,50,0,4,4,30,0,19,0
17,2020-09-20,2020,REG,2,MIN,0,3,13,0,2,1,3,0,10,5
18,2020-09-27,2020,REG,3,MIN,0,8,27,0,0,0,0,0,16,0
19,2020-10-04,2020,REG,4,MIN,0,7,17,1,0,0,0,0,15,0
20,2020-10-11,2020,REG,5,MIN,0,20,112,0,3,3,24,0,43,0
21,2020-10-18,2020,REG,6,MIN,1,10,26,0,2,1,4,0,27,0
0,1970-01-01,2020,BYE,7,MIN,0,0,0,0,0,0,0,0,0,0
22,2020-11-01,2020,REG,8,MIN,0,3,8,0,0,0,0,0,5,0
23,2020-11-08,2020,REG,9,MIN,0,12,69,0,0,0,0,0,16,0
24,2020-11-16,2020,REG,10,MIN,0,2,4,0,0,0,0,0,5,0
25,2020-11-22,2020,REG,11,MIN,0,1,6,0,0,0,0,0,5,6
26,2020-11-29,2020,REG,12,MIN,0,2,6,0,0,0,0,0,12,5
0,1970-01-01,2020,DNP,13,MIN,0,0,0,0,0,0,0,0,0,0
0,1970-01-01,2020,DNP,14,MIN,0,0,0,0,0,0,0,0,0,0
27,2020-12-20,2020,REG,15,MIN,0,1,1,0,1,1,14,0,6,8
0,1970-01-01,2020,DNP,16,MIN,0,0,0,0,0,0,0,0,0,0
28,2021-01-03,2020,REG,17,MIN,1,21,95,1,3,3,50,1,50,0
29,2021-09-12,2021,REG,1,MIN,0,1,2,0,1,1,4,0,9,0
30,2021-09-19,2021,REG,2,MIN,0,3,11,0,1,1,17,0,13,0
31,2021-09-26,2021,REG,3,MIN,1,26,112,0,8,6,59,0,51,0
32,2021-10-03,2021,REG,4,MIN,0,10,20,0,0,0,0,0,23,0
33,2021-10-10,2021,REG,5,MIN,1,25,113,0,7,7,40,1,44,0
34,2021-10-17,2021,REG,6,MIN,0,3,10,0,0,0,0,0,12,0
0,1970-01-01,2021,BYE,7,MIN,0,0,0,0,0,0,0,0,0,0
35,2021-10-31,2021,REG,8,MIN,0,2,5,0,2,2,-5,0,8,5
36,2021-11-07,2021,REG,9,MIN,0,4,0,0,1,1,3,0,9,6
37,2021-11-14,2021,REG,10,MIN,0,4,16,0,1,1,24,0,12,5
38,2021-11-21,2021,REG,11,MIN,0,3,5,0,1,0,0,0,12,6
39,2021-11-28,2021,REG,12,MIN,0,7,21,1,3,2,7,0,22,6
40,2021-12-05,2021,REG,13,MIN,1,22,90,1,3,3,34,0,65,0
