CarGm,Date,Season,Season_type,Week,Team,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,OffSnp%,STSnp,STSnp%
1,2021-09-12,2021,REG,1,ATL,0,0,0,0,0,0,0,0,0,0.0,15,57.7
2,2021-09-19,2021,REG,2,ATL,0,0,0,0,0,0,0,0,0,0.0,21,70.0
3,2021-09-26,2021,REG,3,ATL,0,0,0,0,0,0,0,0,0,0.0,20,87.0
4,2021-10-03,2021,REG,4,ATL,0,0,0,0,0,0,0,0,0,0.0,23,85.2
0,,2021,DNP,5,ATL,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2021,BYE,6,ATL,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2021,DNP,7,ATL,0,0,0,0,0,0,0,0,0,0.0,0,0.0
5,2021-10-31,2021,REG,8,ATL,0,0,0,0,0,0,0,0,0,0.0,17,65.4
6,2021-11-07,2021,REG,9,ATL,0,0,0,0,0,0,0,0,0,0.0,17,63.0
7,2021-11-14,2021,REG,10,ATL,1,0,0,0,0,0,0,0,0,0.0,20,80.0
8,2021-11-18,2021,REG,11,ATL,0,0,0,0,0,0,0,0,0,0.0,17,70.8
9,2021-11-28,2021,REG,12,ATL,0,0,0,0,0,0,0,0,0,0.0,13,59.1
10,2021-12-05,2021,REG,13,ATL,0,0,0,0,0,0,0,0,0,0.0,18,69.2
11,2021-12-12,2021,REG,14,ATL,0,0,0,0,0,0,0,0,0,0.0,16,69.6
12,2021-12-19,2021,REG,15,ATL,0,0,0,0,0,0,0,0,0,0.0,19,79.2
13,2021-12-26,2021,REG,16,ATL,0,0,0,0,0,0,0,0,0,0.0,17,73.9
14,2022-01-02,2021,REG,17,ATL,0,0,0,0,0,0,0,0,0,0.0,16,84.2
15,2022-01-09,2021,REG,18,ATL,0,0,0,0,0,0,0,0,0,0.0,23,85.2
16,2022-09-11,2022,REG,1,ATL,0,2,7,0,1,1,8,0,23,30.7,16,50.0
17,2022-09-18,2022,REG,2,ATL,0,0,0,0,1,1,6,0,15,24.6,19,82.6
18,2022-09-25,2022,REG,3,ATL,0,1,9,0,0,0,0,0,4,7.0,20,80.0
19,2022-10-02,2022,REG,4,ATL,0,1,21,0,0,0,0,0,7,12.7,21,80.8
20,2022-10-09,2022,REG,5,ATL,1,3,11,1,2,2,10,0,17,25.8,19,86.4
21,2022-10-16,2022,REG,6,ATL,1,2,6,0,1,1,2,0,7,12.1,18,81.8
22,2022-10-23,2022,REG,7,ATL,0,1,4,0,1,0,0,0,7,14.9,17,68.0
23,2022-10-30,2022,REG,8,ATL,0,0,0,0,2,2,7,0,5,7.5,24,68.6
24,2022-11-06,2022,REG,9,ATL,0,0,0,0,1,1,2,0,3,4.9,20,83.3
25,2022-11-10,2022,REG,10,ATL,0,4,25,0,0,0,0,0,9,14.3,26,89.7
26,2022-11-20,2022,REG,11,ATL,0,0,0,0,0,0,0,0,0,0.0,19,70.4
27,2022-11-27,2022,REG,12,ATL,1,0,0,0,0,0,0,0,7,12.3,17,70.8
28,2022-12-04,2022,REG,13,ATL,0,0,0,0,0,0,0,0,0,0.0,18,72.0
0,,2022,BYE,14,ATL,0,0,0,0,0,0,0,0,0,0.0,0,0.0
29,2022-12-18,2022,REG,15,ATL,0,0,0,0,2,2,10,0,10,13.5,15,68.2
30,2022-12-24,2022,REG,16,ATL,0,3,16,0,2,2,14,0,12,16.9,15,71.4
31,2023-01-01,2022,REG,17,ATL,0,1,-2,0,1,1,2,0,10,16.1,15,60.0
32,2023-01-08,2022,REG,18,ATL,0,4,12,0,0,0,0,0,5,7.4,19,67.9
33,2024-09-08,2024,REG,1,ATL,0,0,0,0,0,0,0,0,0,0.0,23,92.0
34,2024-09-16,2024,REG,2,ATL,0,0,0,0,0,0,0,0,2,3.3,18,81.8
35,2024-09-22,2024,REG,3,ATL,0,0,0,0,0,0,0,0,0,0.0,21,87.5
36,2024-09-29,2024,REG,4,ATL,0,0,0,0,0,0,0,0,0,0.0,22,78.6
37,2024-10-03,2024,REG,5,ATL,0,0,0,0,0,0,0,0,0,0.0,23,71.9
38,2024-10-13,2024,REG,6,ATL,0,0,0,0,0,0,0,0,3,4.3,21,77.8
39,2024-10-20,2024,REG,7,ATL,0,0,0,0,0,0,0,0,0,0.0,23,88.5
40,2024-10-27,2024,REG,8,ATL,0,0,0,0,0,0,0,0,0,0.0,21,77.8
41,2024-11-03,2024,REG,9,ATL,0,0,0,0,0,0,0,0,3,5.3,22,84.6
42,2024-11-10,2024,REG,10,ATL,0,0,0,0,0,0,0,0,0,0.0,21,77.8
43,2024-11-17,2024,REG,11,ATL,0,0,0,0,0,0,0,0,0,0.0,24,92.3
0,,2024,BYE,12,ATL,0,0,0,0,0,0,0,0,0,0.0,0,0.0
44,2024-12-01,2024,REG,13,ATL,0,0,0,0,0,0,0,0,0,0.0,18,81.8
45,2024-12-08,2024,REG,14,ATL,0,0,0,0,0,0,0,0,0,0.0,24,88.9
46,2024-12-16,2024,REG,15,ATL,0,0,0,0,0,0,0,0,0,0.0,21,84.0
47,2024-12-22,2024,REG,16,ATL,0,0,0,0,0,0,0,0,2,3.0,17,70.8
48,2024-12-29,2024,REG,17,ATL,0,0,0,0,0,0,0,0,0,0.0,21,77.8
49,2025-01-05,2024,REG,18,ATL,0,0,0,0,0,0,0,0,0,0.0,24,77.4
