CarGm,Date,Season,Season_type,Week,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,OffSnp%,STSnp,STSnp%
0,1970-01-01,2024,DNP,1,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,1970-01-01,2024,DNP,2,0,0,0,0,0,0,0,0,0,0.0,0,0.0
1,2024-09-22,2024,REG,3,0,0,0,0,0,0,0,0,0,0.0,1,3.6
0,1970-01-01,2024,DNP,4,0,0,0,0,0,0,0,0,0,0.0,0,0.0
2,2024-10-06,2024,REG,5,0,0,0,0,0,0,0,0,0,0.0,11,31.4
0,1970-01-01,2024,DNP,6,0,0,0,0,0,0,0,0,0,0.0,0,0.0
3,2024-10-21,2024,REG,7,0,0,0,0,0,0,0,0,0,0.0,6,20.7
4,2024-10-27,2024,REG,8,0,0,0,0,0,0,0,0,0,0.0,7,24.1
5,2024-11-03,2024,REG,9,0,0,0,0,0,0,0,0,3,5.3,3,12.0
0,1970-01-01,2024,DNP,10,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,1970-01-01,2024,DNP,11,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,1970-01-01,2024,DNP,12,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,1970-01-01,2024,DNP,13,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,1970-01-01,2024,DNP,14,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,1970-01-01,2024,DNP,15,0,0,0,0,0,0,0,0,0,0.0,0,0.0
6,2024-12-22,2024,REG,16,0,0,0,0,0,0,0,0,0,0.0,8,29.6
7,2024-12-29,2024,REG,17,0,3,6,0,0,0,0,0,3,3.9,9,32.1
8,2025-01-05,2024,REG,18,0,2,6,0,2,1,-4,0,13,25.5,13,44.8
