CarGm,Date,Season,Season_type,Week,Team,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,OffSnp%,STSnp,STSnp%
1,2017-09-10,2017,REG,1,HOU,0,1,4,0,0,0,0,0,2,2.5,1,3.8
2,2017-09-14,2017,REG,2,HOU,0,12,40,0,0,0,0,0,17,25.8,0,0.0
3,2017-09-24,2017,REG,3,HOU,0,8,25,0,3,2,65,0,17,23.9,0,0.0
4,2017-10-01,2017,REG,4,HOU,0,13,45,0,0,0,0,0,24,28.6,0,0.0
5,2017-10-08,2017,REG,5,HOU,0,4,34,0,1,1,3,0,9,14.1,0,0.0
6,2017-10-15,2017,REG,6,HOU,0,12,59,0,0,0,0,0,23,34.8,0,0.0
0,,2017,BYE,7,HOU,0,0,0,0,0,0,0,0,0,0.0,0,0.0
7,2017-10-29,2017,REG,8,HOU,0,0,0,0,0,0,0,0,1,1.4,0,0.0
8,2017-11-05,2017,REG,9,HOU,0,11,37,0,1,0,0,0,20,28.2,0,0.0
9,2017-11-12,2017,REG,10,HOU,1,7,18,0,0,0,0,0,16,22.9,0,0.0
10,2017-11-19,2017,REG,11,HOU,0,10,65,2,3,3,15,0,18,25.7,4,13.3
0,,2017,DNP,12,HOU,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2017,DNP,13,HOU,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2017,DNP,14,HOU,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2017,DNP,15,HOU,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2017,DNP,16,HOU,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2017,DNP,17,HOU,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2018,DNP,1,HOU,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2018,DNP,2,HOU,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2018,DNP,3,HOU,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2018,DNP,4,HOU,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2018,DNP,5,HOU,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2018,DNP,6,HOU,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2018,DNP,7,HOU,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2018,DNP,8,HOU,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2018,DNP,9,HOU,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2018,BYE,10,HOU,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2018,DNP,11,HOU,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2018,DNP,12,HOU,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2018,DNP,13,HOU,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2018,DNP,14,HOU,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2018,DNP,15,HOU,0,0,0,0,0,0,0,0,0,0.0,0,0.0
11,2018-12-23,2018,REG,16,HOU,0,7,-1,0,2,2,28,1,31,47.7,0,0.0
0,,2018,DNP,17,HOU,0,0,0,0,0,0,0,0,0,0.0,0,0.0
12,2019-01-05,2018,POST,18,HOU,0,1,3,0,1,0,0,0,3,4.2,0,0.0
0,,2020,DNP,1,TEN,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2020,DNP,2,TEN,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2020,DNP,3,TEN,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2020,BYE,4,TEN,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2020,DNP,5,TEN,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2020,DNP,6,TEN,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2020,DNP,7,TEN,0,0,0,0,0,0,0,0,0,0.0,0,0.0
13,2020-11-01,2020,REG,8,TEN,0,5,37,0,0,0,0,0,6,9.5,2,8.7
14,2020-11-08,2020,REG,9,TEN,0,5,11,0,0,0,0,0,8,14.5,3,9.1
15,2020-11-12,2020,REG,10,TEN,0,7,18,0,1,1,5,1,9,13.8,0,0.0
16,2020-11-22,2020,REG,11,TEN,0,1,1,0,0,0,0,0,1,1.4,1,3.7
17,2020-11-29,2020,REG,12,TEN,0,4,28,0,0,0,0,0,5,6.9,4,12.5
18,2020-12-06,2020,REG,13,TEN,0,0,0,0,0,0,0,0,0,0.0,3,10.0
0,,2020,DNP,14,TEN,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2020,DNP,15,TEN,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2020,DNP,16,TEN,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2020,DNP,17,TEN,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2021,DNP,1,TEN,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2021,DNP,2,TEN,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2021,DNP,3,TEN,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2021,DNP,4,TEN,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2021,DNP,5,TEN,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2021,DNP,6,TEN,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2021,DNP,7,TEN,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2021,DNP,8,TEN,0,0,0,0,0,0,0,0,0,0.0,0,0.0
19,2021-11-07,2021,REG,9,TEN,0,5,29,0,0,0,0,0,12,20.7,0,0.0
