CarGm,Date,Season,Season_type,Week,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,OffSnp%,STSnp,STSnp%
0,1970-01-01,2018,DNP,1,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,1970-01-01,2018,DNP,2,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,1970-01-01,2018,DNP,3,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,1970-01-01,2018,DNP,4,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,1970-01-01,2018,DNP,5,0,0,0,0,0,0,0,0,0,0.0,0,0.0
1,2018-10-14,2018,REG,6,0,10,42,0,0,0,0,0,14,18.4,14,63.6
2,2018-10-21,2018,REG,7,0,2,0,0,0,0,0,0,7,10.3,11,45.8
3,2018-10-28,2018,REG,8,0,2,12,0,1,1,7,0,8,11.8,14,50.0
4,2018-11-04,2018,REG,9,0,1,10,0,0,0,0,0,2,3.3,13,52.0
0,1970-01-01,2018,DNP,10,0,0,0,0,0,0,0,0,0,0.0,0,0.0
5,2018-11-18,2018,REG,11,0,17,115,1,0,0,0,0,49,62.0,13,48.1
6,2018-11-25,2018,REG,12,1,23,118,0,0,0,0,0,43,61.4,0,0.0
7,2018-12-02,2018,REG,13,1,21,82,0,0,0,0,0,40,49.4,0,0.0
8,2018-12-09,2018,REG,14,1,16,67,0,0,0,0,0,31,43.7,0,0.0
9,2018-12-16,2018,REG,15,1,19,104,1,0,0,0,0,33,43.4,0,0.0
10,2018-12-22,2018,REG,16,1,14,92,0,1,1,13,0,23,37.1,0,0.0
11,2018-12-30,2018,REG,17,1,12,76,0,0,0,0,0,36,46.8,0,0.0
12,2019-01-06,2018,POST,18,1,8,23,0,0,0,0,0,21,34.4,0,0.0
13,2019-09-08,2019,REG,1,0,17,56,0,0,0,0,0,29,38.2,2,6.3
14,2019-09-15,2019,REG,2,0,3,11,0,0,0,0,0,16,20.8,4,14.8
15,2019-09-22,2019,REG,3,0,7,53,0,2,2,15,0,22,26.8,4,14.8
16,2019-09-29,2019,REG,4,0,6,28,0,1,1,8,0,20,29.0,10,35.7
17,2019-10-06,2019,REG,5,0,5,17,0,1,1,6,0,20,25.3,6,20.0
18,2019-10-13,2019,REG,6,0,6,34,0,0,0,0,0,33,41.8,6,24.0
19,2019-10-20,2019,REG,7,0,8,35,0,0,0,0,0,21,36.2,7,24.1
0,1970-01-01,2019,DNP,8,0,0,0,0,0,0,0,0,0,0.0,0,0.0
20,2019-11-03,2019,REG,9,0,7,27,1,0,0,0,0,28,41.8,7,24.1
21,2019-11-10,2019,REG,10,0,4,17,0,0,0,0,0,11,23.9,9,37.5
22,2019-11-17,2019,REG,11,0,8,112,1,0,0,0,0,25,37.3,9,37.5
23,2019-11-25,2019,REG,12,0,14,55,0,0,0,0,0,32,41.6,3,11.5
24,2019-12-01,2019,REG,13,0,6,15,0,1,1,7,0,25,38.5,2,10.0
25,2019-12-08,2019,REG,14,0,4,20,0,0,0,0,0,20,33.3,14,45.2
26,2019-12-12,2019,REG,15,0,5,35,0,0,0,0,0,18,29.0,3,10.7
