CarGm,Date,Season,Season_type,Week,Team,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,OffSnp%,STSnp,STSnp%
0,,2024,DNP,1,MIA,0,0,0,0,0,0,0,0,0,0.0,0,0.0
1,2024-09-12,2024,REG,2,MIA,0,5,4,0,0,0,0,0,18,23.7,0,0.0
2,2024-09-22,2024,REG,3,MIA,1,2,17,0,0,0,0,0,13,21.3,0,0.0
3,2024-09-30,2024,REG,4,MIA,0,9,32,0,1,0,0,0,28,46.7,0,0.0
4,2024-10-06,2024,REG,5,MIA,0,13,86,0,0,0,0,0,25,32.1,0,0.0
0,,2024,BYE,6,MIA,0,0,0,0,0,0,0,0,0,0.0,0,0.0
5,2024-10-20,2024,REG,7,MIA,0,5,33,0,0,0,0,0,6,8.7,1,3.7
6,2024-10-27,2024,REG,8,MIA,0,2,18,0,0,0,0,0,3,4.6,0,0.0
7,2024-11-03,2024,REG,9,MIA,0,6,18,0,0,0,0,0,9,14.8,1,4.0
8,2024-11-11,2024,REG,10,MIA,0,5,3,0,0,0,0,0,9,17.0,0,0.0
9,2024-11-17,2024,REG,11,MIA,0,5,4,0,1,1,2,0,18,26.5,1,4.3
10,2024-11-24,2024,REG,12,MIA,0,7,28,0,1,0,0,0,13,19.1,0,0.0
11,2024-11-28,2024,REG,13,MIA,0,0,0,0,0,0,0,0,1,1.4,0,0.0
12,2024-12-08,2024,REG,14,MIA,0,2,7,0,3,2,6,0,14,19.4,4,12.9
13,2024-12-15,2024,REG,15,MIA,0,1,3,0,0,0,0,0,3,4.4,0,0.0
0,,2024,DNP,16,MIA,0,0,0,0,0,0,0,0,0,0.0,0,0.0
14,2024-12-29,2024,REG,17,MIA,0,0,0,0,0,0,0,0,2,3.3,0,0.0
15,2025-01-05,2024,REG,18,MIA,0,6,-4,0,0,0,0,0,9,12.9,0,0.0
