CarGm,Date,Season,Season_type,Week,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,OffSnp%,STSnp,STSnp%
1,2019-09-08,2019,REG,1,0,7,27,0,0,0,0,0,22,28.9,7,21.9
2,2019-09-15,2019,REG,2,0,1,4,0,2,1,10,0,15,19.5,5,18.5
3,2019-09-22,2019,REG,3,0,1,1,0,3,0,0,0,10,12.2,7,25.9
4,2019-09-29,2019,REG,4,0,2,8,0,2,2,9,0,16,23.2,3,10.7
5,2019-10-06,2019,REG,5,0,2,7,0,0,0,0,0,5,6.3,6,20.0
6,2019-10-13,2019,REG,6,0,5,31,0,0,0,0,0,15,19.0,5,20.0
7,2019-10-20,2019,REG,7,0,0,0,0,0,0,0,0,4,6.9,4,13.8
0,1970-01-01,2019,DNP,8,0,0,0,0,0,0,0,0,0,0.0,0,0.0
8,2019-11-03,2019,REG,9,0,3,7,0,1,0,0,0,10,14.9,5,17.2
9,2019-11-10,2019,REG,10,0,3,11,0,0,0,0,0,12,26.1,4,16.7
10,2019-11-17,2019,REG,11,0,5,18,0,1,1,9,0,8,11.9,3,12.5
11,2019-11-25,2019,REG,12,0,8,27,0,0,0,0,0,18,23.4,5,19.2
12,2019-12-01,2019,REG,13,0,1,3,0,0,0,0,0,4,6.2,6,30.0
13,2019-12-08,2019,REG,14,0,3,8,0,0,0,0,0,6,10.0,16,51.6
14,2019-12-12,2019,REG,15,0,4,15,0,0,0,0,0,10,16.1,8,28.6
15,2019-12-22,2019,REG,16,0,3,19,1,4,3,32,0,13,17.8,6,25.0
16,2019-12-29,2019,REG,17,0,10,39,1,2,1,10,0,19,27.9,5,17.2
17,2020-01-11,2019,POST,19,0,0,0,0,5,4,26,0,47,48.5,3,14.3
0,1970-01-01,2020,DNP,1,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,1970-01-01,2020,DNP,2,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,1970-01-01,2020,DNP,3,0,0,0,0,0,0,0,0,0,0.0,0,0.0
18,2020-10-04,2020,REG,4,0,0,0,0,0,0,0,0,0,0.0,15,55.6
0,1970-01-01,2020,DNP,5,0,0,0,0,0,0,0,0,0,0.0,0,0.0
19,2020-10-18,2020,REG,6,0,0,0,0,0,0,0,0,0,0.0,25,78.1
0,1970-01-01,2020,DNP,7,0,0,0,0,0,0,0,0,0,0.0,0,0.0
20,2020-11-01,2020,REG,8,0,0,0,0,0,0,0,0,2,2.4,17,65.4
21,2020-11-08,2020,REG,9,0,0,0,0,0,0,0,0,3,4.7,17,70.8
22,2020-11-15,2020,REG,10,0,0,0,0,1,1,3,0,5,7.6,15,65.2
23,2020-11-22,2020,REG,11,0,0,0,0,0,0,0,0,7,10.8,19,70.4
24,2020-12-02,2020,REG,12,0,9,35,0,2,2,5,0,26,49.1,6,24.0
25,2020-12-08,2020,REG,13,0,0,0,0,1,1,4,0,6,10.9,13,46.4
26,2020-12-14,2020,REG,14,0,1,4,0,0,0,0,0,6,10.0,21,63.6
27,2020-12-20,2020,REG,15,0,0,0,0,1,1,8,0,6,9.1,13,56.5
28,2020-12-27,2020,REG,16,0,0,0,0,0,0,0,0,3,4.4,14,58.3
29,2021-01-03,2020,REG,17,0,2,21,0,0,0,0,0,9,12.2,17,68.0
30,2021-01-10,2020,POST,18,0,0,0,0,0,0,0,0,5,7.7,15,60.0
31,2021-01-16,2020,POST,19,0,0,0,0,1,0,0,0,10,13.2,13,54.2
32,2022-09-11,2022,REG,1,0,2,4,0,2,2,7,0,11,19.6,14,51.9
33,2022-09-18,2022,REG,2,0,3,16,0,0,0,0,0,21,35.6,18,60.0
34,2022-09-25,2022,REG,3,0,6,60,0,0,0,0,0,28,46.7,12,44.4
35,2022-10-02,2022,REG,4,0,8,45,0,2,2,12,0,25,35.7,5,20.0
0,1970-01-01,2022,DNP,5,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,1970-01-01,2022,DNP,6,0,0,0,0,0,0,0,0,0,0.0,0,0.0
36,2022-10-23,2022,REG,7,0,5,26,0,0,0,0,0,20,31.3,15,55.6
37,2022-10-27,2022,REG,8,0,4,28,0,0,0,0,0,16,21.1,18,58.1
38,2022-11-07,2022,REG,9,0,4,11,0,1,1,8,0,17,25.0,14,53.8
0,1970-01-01,2022,DNP,10,0,0,0,0,0,0,0,0,0,0.0,0,0.0
39,2022-11-20,2022,REG,11,0,7,30,0,3,3,8,0,28,40.6,14,60.9
40,2022-11-27,2022,REG,12,0,1,3,0,0,0,0,0,14,19.4,16,59.3
41,2022-12-04,2022,REG,13,0,1,2,0,2,2,4,0,17,23.6,19,73.1
42,2022-12-11,2022,REG,14,0,0,0,0,0,0,0,0,2,3.3,13,61.9
43,2022-12-17,2022,REG,15,0,1,3,0,1,1,15,0,24,38.1,10,55.6
44,2022-12-24,2022,REG,16,0,0,0,0,1,1,4,0,7,13.5,12,57.1
45,2023-01-01,2022,REG,17,0,0,0,0,0,0,0,0,17,32.7,14,60.9
46,2023-01-08,2022,REG,18,0,7,34,0,0,0,0,0,17,21.8,20,66.7
47,2023-01-15,2022,POST,19,0,0,0,0,2,2,10,0,10,14.5,15,68.2
48,2023-09-10,2023,REG,1,0,8,9,2,0,0,0,0,19,29.7,12,48.0
49,2023-09-17,2023,REG,2,1,11,41,0,3,3,12,0,43,57.3,5,20.0
0,1970-01-01,2023,DNP,3,0,0,0,0,0,0,0,0,0,0.0,0,0.0
50,2023-10-01,2023,REG,4,0,3,33,0,0,0,0,0,7,12.1,0,0.0
51,2023-10-08,2023,REG,5,0,7,32,1,4,4,13,0,39,55.7,0,0.0
52,2023-10-15,2023,REG,6,1,8,35,0,3,3,0,0,27,38.0,1,3.2
53,2023-10-22,2023,REG,7,1,4,46,0,1,1,2,0,30,50.0,0,0.0
54,2023-10-29,2023,REG,8,1,4,15,0,4,4,40,0,31,47.7,3,10.7
55,2023-11-05,2023,REG,9,0,13,40,0,1,0,0,0,48,63.2,0,0.0
56,2023-11-12,2023,REG,10,0,2,7,0,0,0,0,0,14,25.9,15,48.4
57,2023-11-16,2023,REG,11,0,1,1,0,1,1,6,0,17,25.8,14,43.8
58,2023-11-26,2023,REG,12,0,5,31,0,1,0,0,0,20,28.2,6,28.6
0,1970-01-01,2023,DNP,13,0,0,0,0,0,0,0,0,0,0.0,0,0.0
59,2023-12-10,2023,REG,14,0,0,0,0,2,1,12,0,30,41.7,13,35.1
60,2023-12-17,2023,REG,15,0,5,23,0,1,0,0,0,18,25.7,5,22.7
61,2023-12-25,2023,REG,16,1,10,26,0,3,3,31,0,42,61.8,4,14.8
62,2023-12-31,2023,REG,17,0,3,48,0,5,5,64,1,20,35.1,5,16.7
63,2024-01-06,2023,REG,18,0,0,0,0,10,3,26,0,31,54.4,5,18.5
64,2024-01-20,2023,POST,20,1,13,66,0,2,2,11,0,39,57.4,3,10.7
65,2024-01-28,2023,POST,21,1,3,3,0,7,4,34,0,39,67.2,4,17.4
66,2024-09-05,2024,REG,1,0,1,3,0,8,6,52,0,43,53.8,0,0.0
67,2024-09-15,2024,REG,2,0,4,22,0,2,2,10,0,35,53.8,0,0.0
68,2024-09-22,2024,REG,3,0,5,33,0,2,2,21,0,26,41.3,5,17.9
69,2024-09-29,2024,REG,4,0,4,18,0,6,6,78,1,20,35.1,5,18.5
70,2024-10-06,2024,REG,5,0,5,17,0,2,1,8,0,41,52.6,7,20.0
71,2024-10-13,2024,REG,6,0,1,2,0,1,1,2,0,26,38.2,6,20.7
72,2024-10-21,2024,REG,7,0,5,4,0,3,3,44,1,27,45.8,6,20.7
73,2024-10-27,2024,REG,8,0,2,5,0,1,1,14,0,34,50.0,7,24.1
74,2024-11-03,2024,REG,9,0,5,15,0,3,3,43,0,19,33.3,3,12.0
75,2024-11-07,2024,REG,10,0,2,-2,0,2,2,0,0,22,34.9,6,21.4
76,2024-11-17,2024,REG,11,0,2,13,0,7,4,28,0,30,49.2,7,24.1
77,2024-11-25,2024,REG,12,0,4,55,1,2,2,7,0,26,40.0,5,18.5
78,2024-12-01,2024,REG,13,0,3,6,0,6,4,15,0,36,50.0,6,18.2
0,1970-01-01,2024,DNP,14,0,0,0,0,0,0,0,0,0,0.0,0,0.0
79,2024-12-15,2024,REG,15,0,2,7,0,5,5,61,1,22,37.3,3,14.3
80,2024-12-21,2024,REG,16,0,2,30,0,1,0,0,0,7,11.3,2,7.4
0,1970-01-01,2024,DNP,17,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,1970-01-01,2024,DNP,18,0,0,0,0,0,0,0,0,0,0.0,0,0.0
81,2025-01-11,2024,POST,19,0,6,12,0,4,4,13,1,29,39.2,0,0.0
82,2025-01-19,2024,POST,20,0,6,50,0,2,2,7,0,24,40.7,0,0.0
