CarGm,Date,Season,Season_type,Week,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,OffSnp%,STSnp,STSnp%
1,2019-09-08,2019,REG,1,0,13,24,0,0,0,0,0,22,32.4,3,11.5
2,2019-09-15,2019,REG,2,0,4,22,0,1,1,3,0,16,23.2,3,12.5
3,2019-09-22,2019,REG,3,0,13,103,1,3,3,25,0,23,31.9,7,25.0
4,2019-09-29,2019,REG,4,0,0,0,0,0,0,0,0,2,3.4,10,47.6
5,2019-10-06,2019,REG,5,0,4,19,0,0,0,0,0,5,7.0,10,30.3
6,2019-10-13,2019,REG,6,0,3,13,0,0,0,0,0,7,8.5,8,30.8
7,2019-10-20,2019,REG,7,0,8,28,0,0,0,0,0,19,27.5,6,24.0
0,1970-01-01,2019,DNP,8,0,0,0,0,0,0,0,0,0,0.0,0,0.0
8,2019-11-04,2019,REG,9,0,3,21,0,3,1,9,0,13,18.8,8,25.8
9,2019-11-10,2019,REG,10,0,1,-4,0,0,0,0,0,3,4.2,12,48.0
10,2019-11-17,2019,REG,11,0,2,12,0,4,4,44,1,12,16.4,8,27.6
11,2019-11-24,2019,REG,12,0,4,19,0,4,3,9,0,12,19.0,10,34.5
12,2019-11-28,2019,REG,13,0,3,7,0,1,0,0,0,11,14.5,8,34.8
0,1970-01-01,2019,DNP,14,0,0,0,0,0,0,0,0,0,0.0,0,0.0
13,2019-12-15,2019,REG,15,0,12,131,1,2,2,12,0,23,32.9,3,10.0
14,2019-12-22,2019,REG,16,0,2,0,0,0,0,0,0,4,6.5,12,44.4
15,2019-12-29,2019,REG,17,0,14,60,0,2,1,5,0,27,36.0,7,20.6
16,2020-09-13,2020,REG,1,0,2,10,0,3,2,22,0,10,13.9,9,34.6
17,2020-09-20,2020,REG,2,1,2,6,0,1,1,3,0,8,9.8,12,32.4
18,2020-09-27,2020,REG,3,0,0,0,0,1,1,-5,0,6,7.3,10,29.4
19,2020-10-04,2020,REG,4,0,3,16,1,2,1,16,0,22,26.8,11,35.5
20,2020-10-11,2020,REG,5,0,6,30,0,3,2,2,0,15,22.7,10,29.4
21,2020-10-19,2020,REG,6,0,10,31,0,4,2,9,0,32,36.0,10,37.0
22,2020-10-25,2020,REG,7,0,8,16,0,1,1,6,0,19,33.3,8,40.0
23,2020-11-01,2020,REG,8,0,7,40,0,2,2,24,0,17,21.5,9,42.9
24,2020-11-08,2020,REG,9,0,9,57,0,2,1,1,0,23,31.9,7,25.9
0,1970-01-01,2020,DNP,10,0,0,0,0,0,0,0,0,0,0.0,0,0.0
25,2020-11-22,2020,REG,11,0,5,60,1,0,0,0,0,21,31.8,8,30.8
26,2020-11-26,2020,REG,12,0,4,12,0,2,2,10,0,21,35.6,11,37.9
27,2020-12-08,2020,REG,13,0,8,22,0,1,1,6,0,31,39.2,8,28.6
28,2020-12-13,2020,REG,14,0,11,39,0,2,2,9,1,19,37.3,2,9.5
29,2020-12-20,2020,REG,15,1,12,69,2,9,6,63,0,52,89.7,2,5.3
30,2020-12-27,2020,REG,16,0,9,12,0,2,1,8,0,33,47.1,4,12.9
31,2021-01-03,2020,REG,17,0,5,15,0,5,3,19,0,34,41.0,5,16.7
32,2021-09-09,2021,REG,1,0,3,14,0,4,4,29,0,20,23.8,9,26.5
33,2021-09-19,2021,REG,2,0,13,109,1,3,3,31,0,21,33.9,6,31.6
34,2021-09-27,2021,REG,3,0,11,60,0,1,1,5,0,29,38.2,8,26.7
35,2021-10-03,2021,REG,4,0,10,67,0,0,0,0,0,18,29.5,9,31.0
36,2021-10-10,2021,REG,5,0,14,75,0,4,4,28,0,31,39.7,6,20.0
37,2021-10-17,2021,REG,6,0,10,41,0,3,3,22,0,26,29.2,6,21.4
0,1970-01-01,2021,DNP,7,0,0,0,0,0,0,0,0,0,0.0,0,0.0
38,2021-10-31,2021,REG,8,0,7,26,0,1,1,1,0,19,26.0,9,30.0
39,2021-11-07,2021,REG,9,0,4,11,0,2,1,32,0,24,38.7,11,47.8
40,2021-11-14,2021,REG,10,0,11,42,0,7,6,56,0,32,41.6,4,16.0
41,2021-11-21,2021,REG,11,0,7,50,0,2,2,20,0,22,32.8,10,37.0
42,2021-11-25,2021,REG,12,0,10,36,0,4,4,32,0,31,41.9,14,33.3
43,2021-12-02,2021,REG,13,0,7,71,1,4,2,3,0,28,40.0,8,25.0
0,1970-01-01,2021,DNP,14,0,0,0,0,0,0,0,0,0,0.0,0,0.0
44,2021-12-19,2021,REG,15,0,12,74,0,3,3,13,0,29,40.8,0,0.0
45,2021-12-26,2021,REG,16,0,8,34,0,3,2,16,0,25,34.2,0,0.0
46,2022-01-02,2021,REG,17,0,3,9,0,5,3,49,0,19,29.7,0,0.0
0,1970-01-01,2021,DNP,18,0,0,0,0,0,0,0,0,0,0.0,0,0.0
47,2022-01-16,2021,POST,19,0,4,14,0,2,2,12,0,25,34.7,6,20.7
48,2022-09-11,2022,REG,1,1,6,8,0,2,2,14,0,38,55.1,2,8.3
49,2022-09-18,2022,REG,2,0,9,43,1,7,4,55,0,24,39.3,0,0.0
50,2022-09-26,2022,REG,3,0,13,105,0,1,0,0,0,28,43.8,1,3.4
51,2022-10-02,2022,REG,4,0,8,6,0,3,1,2,0,24,39.3,2,6.7
52,2022-10-09,2022,REG,5,0,8,86,1,0,0,0,0,23,41.8,0,0.0
53,2022-10-16,2022,REG,6,0,11,44,0,3,2,8,0,27,40.3,0,0.0
54,2022-10-23,2022,REG,7,0,12,83,0,2,2,26,0,41,65.1,0,0.0
55,2022-10-30,2022,REG,8,1,14,131,3,1,1,16,0,31,53.4,0,0.0
0,1970-01-01,2022,DNP,9,0,0,0,0,0,0,0,0,0,0.0,0,0.0
56,2022-11-13,2022,REG,10,1,22,115,1,6,3,13,0,72,86.7,0,0.0
57,2022-11-20,2022,REG,11,0,15,80,0,6,6,109,2,39,54.2,0,0.0
58,2022-11-24,2022,REG,12,0,18,60,0,2,2,1,0,44,58.7,1,4.3
59,2022-12-04,2022,REG,13,1,12,91,2,3,2,15,0,28,41.2,0,0.0
60,2022-12-11,2022,REG,14,0,10,42,1,5,4,20,1,41,57.7,0,0.0
61,2022-12-18,2022,REG,15,0,19,75,0,5,4,31,0,41,54.7,0,0.0
62,2022-12-24,2022,REG,16,0,9,19,0,8,6,61,0,39,53.4,0,0.0
0,1970-01-01,2022,DNP,17,0,0,0,0,0,0,0,0,0,0.0,0,0.0
63,2023-01-08,2022,REG,18,0,7,19,0,1,0,0,0,29,43.3,0,0.0
64,2023-01-16,2022,POST,19,0,15,77,0,3,3,12,0,40,58.0,1,4.3
65,2023-01-22,2022,POST,20,0,6,22,0,3,2,11,0,19,31.1,0,0.0
66,2023-09-10,2023,REG,1,1,14,70,2,3,2,12,0,37,63.8,0,0.0
67,2023-09-17,2023,REG,2,1,25,72,0,8,7,37,0,56,64.4,0,0.0
68,2023-09-24,2023,REG,3,1,23,122,0,3,3,-1,0,70,86.4,0,0.0
69,2023-10-01,2023,REG,4,1,11,47,0,3,3,13,0,37,52.9,0,0.0
70,2023-10-08,2023,REG,5,1,8,29,0,5,4,35,0,34,69.4,0,0.0
71,2023-10-16,2023,REG,6,1,15,30,0,7,6,80,0,51,79.7,0,0.0
0,1970-01-01,2023,DNP,7,0,0,0,0,0,0,0,0,0,0.0,0,0.0
72,2023-10-29,2023,REG,8,1,12,53,0,1,1,2,0,42,64.6,0,0.0
73,2023-11-05,2023,REG,9,1,12,51,0,5,3,12,0,58,77.3,0,0.0
74,2023-11-12,2023,REG,10,1,15,55,0,0,0,0,0,54,69.2,0,0.0
75,2023-11-19,2023,REG,11,1,12,61,1,5,4,19,0,45,62.5,0,0.0
76,2023-11-23,2023,REG,12,1,13,79,1,6,6,24,0,41,75.9,0,0.0
77,2023-11-30,2023,REG,13,1,20,68,1,4,3,15,0,69,77.5,0,0.0
78,2023-12-10,2023,REG,14,1,16,59,0,8,7,37,0,59,72.0,0,0.0
79,2023-12-17,2023,REG,15,1,11,52,0,3,2,5,0,41,71.9,0,0.0
80,2023-12-24,2023,REG,16,1,12,38,0,1,1,5,0,46,69.7,0,0.0
81,2023-12-30,2023,REG,17,1,16,49,0,3,1,0,0,55,84.6,1,3.8
82,2024-01-07,2023,REG,18,1,17,70,1,2,2,16,0,41,56.9,0,0.0
83,2024-01-14,2023,POST,19,1,15,56,1,9,7,29,0,67,70.5,0,0.0
84,2024-09-08,2024,REG,1,1,16,82,1,4,3,12,0,39,60.9,0,0.0
85,2024-09-15,2024,REG,2,1,17,62,0,6,5,40,0,44,66.7,0,0.0
86,2024-09-22,2024,REG,3,1,6,14,0,4,3,15,0,34,63.0,0,0.0
87,2024-09-30,2024,REG,4,1,22,88,1,2,2,20,0,39,60.0,0,0.0
0,1970-01-01,2024,DNP,5,0,0,0,0,0,0,0,0,0,0.0,0,0.0
88,2024-10-13,2024,REG,6,1,17,93,1,3,3,-5,0,43,74.1,0,0.0
89,2024-10-20,2024,REG,7,1,16,61,0,6,2,4,0,65,89.0,0,0.0
90,2024-10-27,2024,REG,8,1,20,94,0,4,3,23,0,62,81.6,0,0.0
91,2024-11-03,2024,REG,9,1,28,128,0,3,3,26,0,66,85.7,0,0.0
92,2024-11-10,2024,REG,10,1,9,44,0,4,4,19,0,29,53.7,0,0.0
93,2024-11-17,2024,REG,11,1,9,15,0,4,2,14,0,37,62.7,0,0.0
94,2024-11-24,2024,REG,12,1,24,119,1,5,3,10,0,63,94.0,0,0.0
95,2024-12-01,2024,REG,13,1,8,35,0,6,4,33,0,40,72.7,0,0.0
96,2024-12-08,2024,REG,14,1,21,102,0,2,2,22,0,40,62.5,0,0.0
97,2024-12-15,2024,REG,15,1,17,45,1,0,0,0,0,31,44.3,0,0.0
98,2024-12-22,2024,REG,16,1,8,35,0,4,2,5,0,24,39.3,0,0.0
0,1970-01-01,2024,DNP,17,0,0,0,0,0,0,0,0,0,0.0,0,0.0
99,2025-01-05,2024,REG,18,1,22,62,0,0,0,0,0,45,72.6,0,0.0
