CarGm,Date,Season,Season_type,Week,Team,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,2019-09-08,2019,REG,1,SEA,0,0,0,0,0,0,0,0,0,9
2,2019-09-15,2019,REG,2,SEA,0,0,0,0,0,0,0,0,0,10
3,2019-09-22,2019,REG,3,SEA,0,0,0,0,0,0,0,0,0,9
4,2019-09-29,2019,REG,4,SEA,0,0,0,0,0,0,0,0,0,14
5,2019-10-03,2019,REG,5,SEA,0,0,0,0,0,0,0,0,0,13
6,2019-10-13,2019,REG,6,SEA,0,0,0,0,0,0,0,0,0,13
7,2019-10-20,2019,REG,7,SEA,0,0,0,0,0,0,0,0,0,11
8,2019-10-27,2019,REG,8,SEA,0,0,0,0,0,0,0,0,0,12
9,2019-11-03,2019,REG,9,SEA,0,0,0,0,0,0,0,0,0,13
10,2019-11-11,2019,REG,10,SEA,0,0,0,0,0,0,0,0,0,19
0,1970-01-01,2019,BYE,11,SEA,0,0,0,0,0,0,0,0,0,0
11,2019-11-24,2019,REG,12,SEA,0,0,0,0,0,0,0,0,0,18
12,2019-12-02,2019,REG,13,SEA,0,1,29,0,0,0,0,0,0,20
13,2019-12-08,2019,REG,14,SEA,0,0,0,0,0,0,0,0,0,17
14,2019-12-15,2019,REG,15,SEA,0,2,7,0,0,0,0,0,6,18
15,2019-12-22,2019,REG,16,SEA,0,5,16,0,8,6,26,0,28,16
16,2019-12-29,2019,REG,17,SEA,1,10,62,0,5,5,30,0,50,3
17,2020-01-05,2019,POST,18,SEA,1,11,12,0,1,1,5,0,41,4
18,2020-01-12,2019,POST,19,SEA,0,3,13,0,3,2,27,0,25,8
19,2020-09-13,2020,REG,1,SEA,0,3,-1,0,2,2,4,0,13,19
20,2020-09-20,2020,REG,2,SEA,0,3,21,0,0,0,0,0,8,18
21,2020-09-27,2020,REG,3,SEA,0,2,19,0,1,0,0,0,16,23
22,2020-10-04,2020,REG,4,SEA,0,4,5,0,1,1,3,1,17,15
23,2020-10-11,2020,REG,5,SEA,0,3,14,0,0,0,0,0,23,18
0,1970-01-01,2020,BYE,6,SEA,0,0,0,0,0,0,0,0,0,0
24,2020-10-25,2020,REG,7,SEA,0,3,10,0,0,0,0,0,16,13
25,2020-11-01,2020,REG,8,SEA,0,1,4,0,0,0,0,0,7,0
26,2020-11-08,2020,REG,9,SEA,0,6,16,0,3,3,64,0,31,2
27,2020-11-15,2020,REG,10,SEA,0,0,0,0,3,3,19,0,7,8
0,1970-01-01,2020,DNP,11,SEA,0,0,0,0,0,0,0,0,0,0
0,1970-01-01,2020,DNP,12,SEA,0,0,0,0,0,0,0,0,0,0
0,1970-01-01,2020,DNP,13,SEA,0,0,0,0,0,0,0,0,0,0
0,1970-01-01,2020,DNP,14,SEA,0,0,0,0,0,0,0,0,0,0
0,1970-01-01,2020,DNP,15,SEA,0,0,0,0,0,0,0,0,0,0
0,1970-01-01,2020,DNP,16,SEA,0,0,0,0,0,0,0,0,0,0
0,1970-01-01,2020,DNP,17,SEA,0,0,0,0,0,0,0,0,0,0
28,2021-09-12,2021,REG,1,SEA,0,0,0,0,0,0,0,0,2,18
29,2021-09-19,2021,REG,2,SEA,0,0,0,0,2,2,14,0,14,23
30,2021-09-26,2021,REG,3,SEA,0,0,0,0,3,3,48,0,16,15
31,2021-10-03,2021,REG,4,SEA,0,1,5,0,0,0,0,0,9,24
32,2021-10-07,2021,REG,5,SEA,0,1,5,0,1,1,13,0,8,18
33,2021-10-17,2021,REG,6,SEA,0,2,27,0,1,1,27,0,5,22
34,2021-10-25,2021,REG,7,SEA,0,1,14,0,0,0,0,0,12,17
35,2021-10-31,2021,REG,8,SEA,0,4,9,0,1,1,3,0,17,17
0,1970-01-01,2021,BYE,9,SEA,0,0,0,0,0,0,0,0,0,0
36,2021-11-14,2021,REG,10,SEA,0,1,2,0,4,3,23,0,31,14
37,2021-11-21,2021,REG,11,SEA,0,1,4,0,0,0,0,0,5,16
0,1970-01-01,2021,DNP,12,SEA,0,0,0,0,0,0,0,0,0,0
38,2021-12-05,2021,REG,13,SEA,0,3,80,1,5,4,10,0,21,20
0,1970-01-01,2021,DNP,14,SEA,0,0,0,0,0,0,0,0,0,0
0,1970-01-01,2021,DNP,15,SEA,0,0,0,0,0,0,0,0,0,0
39,2021-12-26,2021,REG,16,SEA,0,0,0,0,0,0,0,0,4,17
40,2022-01-02,2021,REG,17,SEA,0,6,27,0,0,0,0,0,24,19
41,2022-01-09,2021,REG,18,SEA,0,1,4,0,3,1,23,0,13,20
42,2022-09-12,2022,REG,1,SEA,0,1,2,0,0,0,0,0,19,10
43,2022-09-18,2022,REG,2,SEA,0,2,9,0,4,4,33,0,22,16
44,2022-09-25,2022,REG,3,SEA,0,1,7,0,0,0,0,0,2,1
0,1970-01-01,2022,DNP,4,SEA,0,0,0,0,0,0,0,0,0,0
0,1970-01-01,2022,DNP,5,SEA,0,0,0,0,0,0,0,0,0,0
0,1970-01-01,2022,DNP,6,SEA,0,0,0,0,0,0,0,0,0,0
0,1970-01-01,2022,DNP,7,SEA,0,0,0,0,0,0,0,0,0,0
45,2022-10-30,2022,REG,8,SEA,0,2,10,0,1,1,21,0,14,22
46,2022-11-06,2022,REG,9,SEA,0,1,7,0,3,3,25,0,21,19
47,2022-11-13,2022,REG,10,SEA,0,0,0,0,0,0,0,0,8,15
0,1970-01-01,2022,BYE,11,SEA,0,0,0,0,0,0,0,0,0,0
48,2022-11-27,2022,REG,12,SEA,0,2,8,0,3,2,45,1,13,21
0,1970-01-01,2022,DNP,13,SEA,0,0,0,0,0,0,0,0,0,0
49,2022-12-11,2022,REG,14,SEA,1,9,26,0,3,2,8,0,49,7
50,2022-12-15,2022,REG,15,SEA,0,1,5,0,4,4,25,0,16,15
51,2022-12-24,2022,REG,16,SEA,0,0,0,0,0,0,0,0,1,4
