CarGm,Date,Season,Season_type,Week,Team,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,2020-09-13,2020,REG,1,BUF,0,9,11,0,4,3,16,1,39,0
2,2020-09-20,2020,REG,2,BUF,0,8,37,0,0,0,0,0,28,0
0,1970-01-01,2020,DNP,3,BUF,0,0,0,0,0,0,0,0,0,0
0,1970-01-01,2020,DNP,4,BUF,0,0,0,0,0,0,0,0,0,0
0,1970-01-01,2020,DNP,5,BUF,0,0,0,0,0,0,0,0,0,0
3,2020-10-19,2020,REG,6,BUF,0,5,10,0,0,0,0,0,13,0
4,2020-10-25,2020,REG,7,BUF,0,7,47,0,3,3,25,0,35,0
5,2020-11-01,2020,REG,8,BUF,0,14,81,2,1,0,0,0,31,0
6,2020-11-08,2020,REG,9,BUF,0,9,18,1,2,2,30,0,38,0
7,2020-11-15,2020,REG,10,BUF,0,7,20,0,2,1,-3,0,39,0
0,1970-01-01,2020,BYE,11,BUF,0,0,0,0,0,0,0,0,0,0
8,2020-11-29,2020,REG,12,BUF,0,9,59,0,2,2,9,0,37,0
9,2020-12-07,2020,REG,13,BUF,0,3,9,0,1,1,5,0,11,0
10,2020-12-13,2020,REG,14,BUF,0,13,43,0,1,0,0,0,44,0
11,2020-12-19,2020,REG,15,BUF,0,13,81,0,0,0,0,0,34,0
12,2020-12-28,2020,REG,16,BUF,0,12,57,1,1,1,0,0,36,0
13,2021-01-03,2020,REG,17,BUF,0,3,8,0,1,1,13,0,18,0
14,2021-01-09,2020,POST,18,BUF,1,7,21,0,4,4,26,0,20,0
0,1970-01-01,2021,DNP,1,BUF,0,0,0,0,0,0,0,0,0,0
15,2021-09-19,2021,REG,2,BUF,0,8,26,2,2,2,8,0,18,0
16,2021-09-26,2021,REG,3,BUF,0,13,60,0,3,3,31,1,44,0
17,2021-10-03,2021,REG,4,BUF,0,14,61,1,1,0,0,0,40,0
18,2021-10-10,2021,REG,5,BUF,0,11,37,0,4,3,55,0,42,0
19,2021-10-18,2021,REG,6,BUF,0,8,24,0,4,2,15,0,42,0
0,1970-01-01,2021,BYE,7,BUF,0,0,0,0,0,0,0,0,0,0
20,2021-10-31,2021,REG,8,BUF,0,8,19,0,7,6,39,0,47,0
21,2021-11-07,2021,REG,9,BUF,0,3,6,0,4,2,18,0,19,0
22,2021-11-14,2021,REG,10,BUF,0,7,27,1,0,0,0,0,28,0
23,2021-11-21,2021,REG,11,BUF,0,3,5,0,1,0,0,0,16,0
0,1970-01-01,2021,DNP,12,BUF,0,0,0,0,0,0,0,0,0,0
24,2021-12-06,2021,REG,13,BUF,0,8,21,0,3,2,12,0,24,0
0,1970-01-01,2021,DNP,14,BUF,0,0,0,0,0,0,0,0,0,0
0,1970-01-01,2021,DNP,15,BUF,0,0,0,0,0,0,0,0,0,0
25,2021-12-26,2021,REG,16,BUF,0,3,12,0,1,1,13,0,26,0
26,2022-01-02,2021,REG,17,BUF,0,5,39,0,0,0,0,0,16,0
27,2022-01-09,2021,REG,18,BUF,0,5,8,0,2,2,6,0,18,0
28,2022-01-15,2021,POST,19,BUF,0,1,0,0,0,0,0,0,6,0
29,2022-09-08,2022,REG,1,BUF,0,6,15,0,6,6,21,0,22,0
30,2022-09-19,2022,REG,2,BUF,0,3,17,0,1,0,0,0,13,0
31,2022-09-25,2022,REG,3,BUF,0,4,46,0,1,1,6,0,16,0
32,2022-10-02,2022,REG,4,BUF,0,3,6,0,0,0,0,0,6,0
33,2022-10-09,2022,REG,5,BUF,0,1,7,0,0,0,0,0,16,0
0,1970-01-01,2022,DNP,6,BUF,0,0,0,0,0,0,0,0,0,0
0,1970-01-01,2022,BYE,7,BUF,0,0,0,0,0,0,0,0,0,0
0,1970-01-01,2022,DNP,8,BUF,0,0,0,0,0,0,0,0,0,0
0,1970-01-01,2022,DNP,9,BUF,0,0,0,0,0,0,0,0,0,0
34,2022-11-13,2022,REG,10,IND,0,1,4,0,0,0,0,0,1,0
35,2022-11-20,2022,REG,11,IND,0,2,7,0,0,0,0,0,4,0
36,2022-11-28,2022,REG,12,IND,0,1,2,0,0,0,0,0,1,0
37,2022-12-04,2022,REG,13,IND,0,3,18,0,0,0,0,0,5,0
0,1970-01-01,2022,BYE,14,IND,0,0,0,0,0,0,0,0,0,0
38,2022-12-17,2022,REG,15,IND,0,24,81,0,1,0,0,0,53,0
39,2022-12-26,2022,REG,16,IND,1,12,65,0,1,1,5,0,36,0
40,2023-01-01,2022,REG,17,IND,1,15,74,0,0,0,0,0,34,0
41,2023-01-08,2022,REG,18,IND,1,18,114,1,3,3,7,0,42,0
0,1970-01-01,2023,DNP,1,IND,0,0,0,0,0,0,0,0,0,0
42,2023-09-17,2023,REG,2,IND,1,18,88,1,4,4,19,0,56,0
43,2023-09-24,2023,REG,3,IND,1,30,122,0,3,2,23,1,64,0
44,2023-10-01,2023,REG,4,IND,1,18,70,0,1,0,0,0,53,0
45,2023-10-08,2023,REG,5,IND,1,23,165,2,2,2,30,0,53,0
46,2023-10-15,2023,REG,6,IND,1,7,21,1,7,6,38,0,39,0
47,2023-10-22,2023,REG,7,IND,0,18,57,0,2,1,5,0,35,0
48,2023-10-29,2023,REG,8,IND,0,11,66,1,1,1,8,0,28,0
49,2023-11-05,2023,REG,9,IND,0,7,26,0,0,0,0,0,13,0
50,2023-11-12,2023,REG,10,IND,0,1,2,0,0,0,0,0,9,0
0,1970-01-01,2023,BYE,11,IND,0,0,0,0,0,0,0,0,0,0
51,2023-11-26,2023,REG,12,IND,0,8,55,0,3,2,15,0,30,0
52,2023-12-03,2023,REG,13,IND,1,19,51,0,3,2,6,0,67,0
53,2023-12-10,2023,REG,14,IND,1,13,28,0,8,4,28,0,54,0
54,2023-12-16,2023,REG,15,IND,1,4,13,0,3,3,20,1,19,0
