CarGm,Date,Season,Season_type,Week,Team,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,OffSnp%,STSnp,STSnp%
0,,2022,DNP,1,WAS,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2022,DNP,2,WAS,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2022,DNP,3,WAS,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2022,DNP,4,WAS,0,0,0,0,0,0,0,0,0,0.0,0,0.0
1,2022-10-09,2022,REG,5,WAS,0,9,22,0,0,0,0,0,18,28.6,0,0.0
2,2022-10-13,2022,REG,6,WAS,1,17,60,1,0,0,0,0,27,47.4,0,0.0
3,2022-10-23,2022,REG,7,WAS,1,20,73,0,2,2,13,0,35,47.3,0,0.0
4,2022-10-30,2022,REG,8,WAS,0,8,20,0,0,0,0,0,15,24.6,0,0.0
5,2022-11-06,2022,REG,9,WAS,1,13,44,0,2,2,-6,0,28,43.8,0,0.0
6,2022-11-14,2022,REG,10,WAS,1,26,86,1,0,0,0,0,43,51.8,0,0.0
7,2022-11-20,2022,REG,11,WAS,1,15,57,0,0,0,0,0,23,33.8,0,0.0
8,2022-11-27,2022,REG,12,WAS,1,18,105,0,3,2,20,1,30,48.4,0,0.0
9,2022-12-04,2022,REG,13,WAS,1,21,96,0,2,2,15,0,40,47.1,0,0.0
0,,2022,BYE,14,WAS,0,0,0,0,0,0,0,0,0,0.0,0,0.0
10,2022-12-18,2022,REG,15,WAS,1,12,89,0,1,1,18,0,24,38.1,0,0.0
11,2022-12-24,2022,REG,16,WAS,1,22,58,0,1,0,0,0,32,43.8,0,0.0
12,2023-01-01,2022,REG,17,WAS,0,24,87,0,1,0,0,0,36,52.2,0,0.0
0,,2022,DNP,18,WAS,0,0,0,0,0,0,0,0,0,0.0,0,0.0
13,2023-09-10,2023,REG,1,WAS,1,19,59,0,2,1,7,1,43,60.6,0,0.0
14,2023-09-17,2023,REG,2,WAS,1,18,87,2,3,2,42,0,38,52.1,0,0.0
15,2023-09-24,2023,REG,3,WAS,1,10,70,0,0,0,0,0,20,37.0,0,0.0
16,2023-10-01,2023,REG,4,WAS,1,14,45,1,2,2,6,0,43,55.1,0,0.0
17,2023-10-05,2023,REG,5,WAS,1,6,10,0,4,4,33,0,25,35.7,0,0.0
18,2023-10-15,2023,REG,6,WAS,1,10,31,0,2,2,25,1,27,52.9,0,0.0
19,2023-10-22,2023,REG,7,WAS,1,8,23,1,1,0,0,0,34,49.3,0,0.0
20,2023-10-29,2023,REG,8,WAS,1,10,59,0,2,2,20,0,35,48.6,0,0.0
21,2023-11-05,2023,REG,9,WAS,1,18,63,1,2,1,4,0,44,56.4,0,0.0
22,2023-11-12,2023,REG,10,WAS,1,8,38,0,6,6,119,1,31,50.8,0,0.0
23,2023-11-19,2023,REG,11,WAS,1,17,73,0,9,7,59,0,63,77.8,0,0.0
24,2023-11-23,2023,REG,12,WAS,1,15,53,0,3,2,11,0,35,44.9,0,0.0
25,2023-12-03,2023,REG,13,WAS,1,7,53,0,0,0,0,0,12,21.8,0,0.0
0,,2023,BYE,14,WAS,0,0,0,0,0,0,0,0,0,0.0,0,0.0
