CarGm,Date,Season,Season_type,Week,Team,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,OffSnp%,STSnp,STSnp%
1,2023-09-10,2023,REG,1,WAS,0,3,7,0,0,0,0,0,3,4.2,20,71.4
2,2023-09-17,2023,REG,2,WAS,0,0,0,0,0,0,0,0,2,2.7,17,56.7
3,2023-09-24,2023,REG,3,WAS,0,0,0,0,0,0,0,0,1,1.9,14,63.6
0,1970-01-01,2023,DNP,4,WAS,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,1970-01-01,2023,DNP,5,WAS,0,0,0,0,0,0,0,0,0,0.0,0,0.0
4,2023-10-15,2023,REG,6,WAS,0,4,23,0,0,0,0,0,6,11.8,13,54.2
5,2023-10-22,2023,REG,7,WAS,0,7,31,0,0,0,0,0,9,13.0,19,65.5
6,2023-10-29,2023,REG,8,WAS,0,0,0,0,0,0,0,0,0,0.0,11,39.3
7,2023-11-05,2023,REG,9,WAS,0,0,0,0,0,0,0,0,0,0.0,17,60.7
8,2023-11-12,2023,REG,10,WAS,0,0,0,0,0,0,0,0,0,0.0,16,45.7
9,2023-11-19,2023,REG,11,WAS,0,6,43,0,1,1,5,0,16,19.8,14,48.3
10,2023-11-23,2023,REG,12,WAS,0,4,21,0,0,0,0,0,4,5.1,14,56.0
11,2023-12-03,2023,REG,13,WAS,0,7,29,0,0,0,0,0,12,21.8,17,60.7
0,1970-01-01,2023,BYE,14,WAS,0,0,0,0,0,0,0,0,0,0.0,0,0.0
12,2023-12-17,2023,REG,15,WAS,0,10,35,0,0,0,0,0,20,33.3,14,51.9
13,2023-12-24,2023,REG,16,WAS,0,10,58,2,1,1,7,0,24,39.3,13,36.1
0,1970-01-01,2023,DNP,17,WAS,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,1970-01-01,2023,DNP,18,WAS,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,1970-01-01,2024,DNP,1,WAS,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,1970-01-01,2024,DNP,2,WAS,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,1970-01-01,2024,DNP,3,WAS,0,0,0,0,0,0,0,0,0,0.0,0,0.0
14,2024-09-29,2024,REG,4,WAS,0,0,0,0,0,0,0,0,0,0.0,6,26.1
0,1970-01-01,2024,DNP,5,WAS,0,0,0,0,0,0,0,0,0,0.0,0,0.0
15,2024-10-13,2024,REG,6,WAS,0,0,0,0,0,0,0,0,0,0.0,4,13.8
0,1970-01-01,2024,DNP,7,WAS,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,1970-01-01,2024,DNP,8,WAS,0,0,0,0,0,0,0,0,0,0.0,0,0.0
16,2024-11-03,2024,REG,9,WAS,0,11,52,0,0,0,0,0,20,32.3,2,9.1
17,2024-11-10,2024,REG,10,WAS,0,2,4,0,0,0,0,0,5,7.8,6,18.8
0,1970-01-01,2024,DNP,11,WAS,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,1970-01-01,2024,DNP,12,WAS,0,0,0,0,0,0,0,0,0,0.0,0,0.0
18,2024-12-01,2024,REG,13,WAS,0,13,94,1,0,0,0,0,23,27.7,1,3.6
0,1970-01-01,2024,BYE,14,WAS,0,0,0,0,0,0,0,0,0,0.0,0,0.0
19,2024-12-15,2024,REG,15,WAS,0,1,2,0,0,0,0,0,3,3.8,4,16.0
20,2024-12-22,2024,REG,16,WAS,0,3,5,0,0,0,0,0,7,10.3,6,18.8
21,2024-12-29,2024,REG,17,WAS,0,5,16,1,1,1,12,0,18,21.7,12,44.4
22,2025-01-05,2024,REG,18,WAS,0,0,0,0,0,0,0,0,1,1.7,13,46.4
