CarGm,Date,Season,Season_type,Week,Team,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,OffSnp%,STSnp,STSnp%
1,2021-09-12,2021,REG,1,CAR,0,0,0,0,2,2,4,0,7,10.9,24,85.7
2,2021-09-19,2021,REG,2,CAR,0,8,10,0,1,0,0,0,19,25.0,16,64.0
3,2021-09-23,2021,REG,3,CAR,0,11,52,0,5,3,27,0,40,54.8,6,26.1
4,2021-10-03,2021,REG,4,CAR,1,13,57,0,2,2,14,0,33,47.1,0,0.0
5,2021-10-10,2021,REG,5,CAR,1,24,101,0,6,5,33,0,46,64.8,0,0.0
6,2021-10-17,2021,REG,6,CAR,1,16,61,1,3,1,4,0,48,64.9,0,0.0
7,2021-10-24,2021,REG,7,CAR,1,12,28,0,5,4,28,0,34,53.1,0,0.0
8,2021-10-31,2021,REG,8,CAR,1,24,82,1,2,1,9,0,41,55.4,1,3.8
9,2021-11-07,2021,REG,9,CAR,0,3,3,0,2,1,33,0,10,16.9,9,40.9
10,2021-11-14,2021,REG,10,CAR,0,9,27,1,0,0,0,0,16,21.3,14,56.0
11,2021-11-21,2021,REG,11,CAR,0,0,0,0,0,0,0,0,1,2.0,11,42.3
12,2021-11-28,2021,REG,12,CAR,0,2,6,0,1,0,0,0,11,20.0,11,39.3
0,,2021,BYE,13,CAR,0,0,0,0,0,0,0,0,0,0.0,0,0.0
13,2021-12-12,2021,REG,14,CAR,1,10,33,1,0,0,0,0,25,39.1,0,0.0
14,2021-12-19,2021,REG,15,CAR,1,8,40,0,1,1,1,0,36,47.4,0,0.0
15,2021-12-26,2021,REG,16,CAR,1,6,9,0,1,0,0,0,34,48.6,0,0.0
16,2022-01-02,2021,REG,17,CAR,1,17,55,1,4,3,13,0,32,52.5,1,3.7
17,2022-01-09,2021,REG,18,CAR,1,9,48,0,2,2,8,1,32,44.4,1,3.6
18,2022-09-11,2022,REG,1,CAR,0,1,3,0,0,0,0,0,3,5.7,21,65.6
19,2022-09-18,2022,REG,2,CAR,0,0,0,0,0,0,0,0,2,3.4,21,70.0
20,2022-09-25,2022,REG,3,CAR,0,3,25,0,0,0,0,0,7,11.5,17,58.6
21,2022-10-02,2022,REG,4,CAR,0,0,0,0,0,0,0,0,3,5.8,16,69.6
22,2022-10-09,2022,REG,5,CAR,0,0,0,0,0,0,0,0,11,15.9,10,35.7
23,2022-10-16,2022,REG,6,CAR,0,2,6,0,1,1,1,0,4,9.1,14,53.8
24,2022-10-23,2022,REG,7,CAR,1,9,63,1,3,2,10,0,23,46.0,6,25.0
0,,2022,DNP,8,CAR,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2022,DNP,9,CAR,0,0,0,0,0,0,0,0,0,0.0,0,0.0
25,2022-11-10,2022,REG,10,CAR,0,5,14,0,0,0,0,0,12,18.2,1,3.4
26,2022-11-20,2022,REG,11,CAR,0,4,0,0,3,2,25,0,23,40.4,6,26.1
27,2022-11-27,2022,REG,12,CAR,0,17,65,0,0,0,0,0,28,42.4,7,23.3
0,,2022,BYE,13,CAR,0,0,0,0,0,0,0,0,0,0.0,0,0.0
28,2022-12-11,2022,REG,14,CAR,0,14,74,1,3,3,25,0,23,31.9,3,10.7
29,2022-12-18,2022,REG,15,CAR,0,4,10,0,3,3,57,0,29,63.0,5,20.0
30,2022-12-24,2022,REG,16,CAR,1,12,125,0,0,0,0,0,31,45.6,6,20.7
31,2023-01-01,2022,REG,17,CAR,0,3,12,0,3,3,53,0,35,53.0,6,19.4
32,2023-01-08,2022,REG,18,CAR,0,21,69,0,1,0,0,0,41,69.5,6,30.0
33,2023-09-10,2023,REG,1,CAR,0,9,60,0,2,2,9,0,28,36.4,5,19.2
34,2023-09-18,2023,REG,2,CAR,0,2,16,0,5,5,34,0,22,36.7,11,40.7
35,2023-09-24,2023,REG,3,CAR,0,1,2,0,3,2,2,0,27,34.2,16,45.7
36,2023-10-01,2023,REG,4,CAR,0,14,41,0,2,2,12,0,39,54.2,0,0.0
37,2023-10-08,2023,REG,5,CAR,0,9,35,0,2,1,0,0,34,47.9,1,3.7
38,2023-10-15,2023,REG,6,CAR,1,19,88,1,1,1,2,0,53,76.8,1,3.3
0,,2023,BYE,7,CAR,0,0,0,0,0,0,0,0,0,0.0,0,0.0
39,2023-10-29,2023,REG,8,CAR,1,15,28,0,2,2,26,0,45,67.2,0,0.0
40,2023-11-05,2023,REG,9,CAR,1,16,58,0,6,4,9,0,46,64.8,0,0.0
41,2023-11-09,2023,REG,10,CAR,1,9,23,0,2,2,16,0,30,50.0,6,21.4
42,2023-11-19,2023,REG,11,CAR,1,10,57,0,2,2,8,0,29,49.2,0,0.0
43,2023-11-26,2023,REG,12,CAR,1,14,45,1,5,5,47,0,47,63.5,3,12.5
44,2023-12-03,2023,REG,13,CAR,1,25,104,2,0,0,0,0,47,65.3,8,27.6
45,2023-12-10,2023,REG,14,CAR,1,23,87,0,2,2,9,0,62,77.5,0,0.0
46,2023-12-17,2023,REG,15,CAR,1,22,87,0,2,2,16,0,48,72.7,0,0.0
47,2023-12-24,2023,REG,16,CAR,1,16,43,1,1,1,8,0,42,63.6,0,0.0
48,2023-12-31,2023,REG,17,CAR,1,11,45,0,5,4,26,0,38,70.4,0,0.0
49,2024-01-07,2023,REG,18,CAR,1,23,83,0,2,2,9,0,42,80.8,0,0.0
50,2024-09-08,2024,REG,1,CAR,1,6,14,0,0,0,0,0,32,54.2,0,0.0
51,2024-09-15,2024,REG,2,CAR,1,10,64,0,5,4,12,0,28,58.3,0,0.0
52,2024-09-22,2024,REG,3,CAR,1,21,114,0,5,5,55,1,43,58.1,0,0.0
53,2024-09-29,2024,REG,4,CAR,1,18,104,1,4,4,17,0,52,74.3,0,0.0
54,2024-10-06,2024,REG,5,CAR,1,13,97,1,4,4,-2,0,39,65.0,0,0.0
55,2024-10-13,2024,REG,6,CAR,1,18,92,0,6,5,11,0,54,81.8,0,0.0
56,2024-10-20,2024,REG,7,CAR,1,17,52,1,0,0,0,0,36,83.7,0,0.0
57,2024-10-27,2024,REG,8,CAR,1,15,56,0,2,2,15,0,45,73.8,0,0.0
58,2024-11-03,2024,REG,9,CAR,1,15,72,2,3,2,0,0,42,79.2,0,0.0
