CarGm,Date,Season,Season_type,Week,Team,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,OffSnp%,STSnp,STSnp%
1,2016-09-11,2016,REG,1,DAL,1,20,51,1,2,1,1,0,48,61.5,0,0.0
2,2016-09-18,2016,REG,2,DAL,1,21,83,1,2,2,4,0,43,63.2,0,0.0
3,2016-09-25,2016,REG,3,DAL,1,30,140,0,2,2,20,0,51,75.0,1,3.7
4,2016-10-02,2016,REG,4,DAL,1,23,138,1,1,1,19,0,47,61.8,0,0.0
5,2016-10-09,2016,REG,5,DAL,1,15,134,2,4,3,37,0,45,78.9,2,9.1
6,2016-10-16,2016,REG,6,DAL,1,28,157,0,4,2,17,0,58,90.6,1,4.0
0,,2016,BYE,7,DAL,0,0,0,0,0,0,0,0,0,0.0,0,0.0
7,2016-10-30,2016,REG,8,DAL,1,22,96,0,4,4,52,0,64,83.1,0,0.0
8,2016-11-06,2016,REG,9,DAL,1,18,92,2,1,1,5,0,44,60.3,0,0.0
9,2016-11-13,2016,REG,10,DAL,1,21,114,2,2,2,95,1,43,66.2,0,0.0
10,2016-11-20,2016,REG,11,DAL,1,25,97,0,5,4,30,0,50,70.4,0,0.0
11,2016-11-24,2016,REG,12,DAL,1,20,97,2,2,2,23,0,46,82.1,1,3.8
12,2016-12-01,2016,REG,13,DAL,1,20,86,1,5,4,19,0,43,82.7,1,3.6
13,2016-12-11,2016,REG,14,DAL,1,24,107,0,2,0,0,0,44,66.7,0,0.0
14,2016-12-18,2016,REG,15,DAL,1,23,159,1,3,3,29,0,58,78.4,0,0.0
15,2016-12-26,2016,REG,16,DAL,1,12,80,2,1,1,12,0,29,50.9,0,0.0
0,,2016,DNP,17,DAL,0,0,0,0,0,0,0,0,0,0.0,0,0.0
16,2017-01-15,2016,POST,19,DAL,1,22,125,0,1,1,-2,0,56,81.2,0,0.0
17,2017-09-10,2017,REG,1,DAL,1,24,104,0,5,5,36,0,60,81.1,0,0.0
18,2017-09-17,2017,REG,2,DAL,1,9,8,0,5,4,14,0,63,88.7,0,0.0
19,2017-09-25,2017,REG,3,DAL,1,22,80,1,4,3,14,0,43,91.5,0,0.0
20,2017-10-01,2017,REG,4,DAL,1,21,85,1,5,4,54,1,64,90.1,0,0.0
21,2017-10-08,2017,REG,5,DAL,1,29,116,0,2,1,16,0,64,86.5,0,0.0
0,,2017,BYE,6,DAL,0,0,0,0,0,0,0,0,0,0.0,0,0.0
