CarGm,Date,Season,Season_type,Week,Team,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,OffSnp%,STSnp,STSnp%
0,,2020,DNP,1,SFO,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2020,DNP,2,SFO,0,0,0,0,0,0,0,0,0,0.0,0,0.0
1,2020-09-27,2020,REG,3,SFO,0,2,9,0,1,1,9,0,6,7.6,11,47.8
2,2020-10-04,2020,REG,4,SFO,0,0,0,0,0,0,0,0,0,0.0,14,58.3
3,2020-10-11,2020,REG,5,SFO,0,0,0,0,0,0,0,0,2,3.1,14,43.8
4,2020-10-18,2020,REG,6,SFO,0,9,37,0,1,0,0,0,15,20.5,10,37.0
5,2020-10-25,2020,REG,7,SFO,0,9,57,0,1,1,16,0,15,22.7,7,33.3
6,2020-11-01,2020,REG,8,SFO,0,12,29,1,1,1,2,0,29,41.4,3,10.3
7,2020-11-05,2020,REG,9,SFO,0,4,3,0,2,2,10,0,15,26.3,3,11.1
8,2020-11-15,2020,REG,10,SFO,0,3,13,0,2,2,-4,0,15,21.1,0,0.0
0,,2020,BYE,11,SFO,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2020,DNP,12,SFO,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2020,DNP,13,SFO,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2020,DNP,14,SFO,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2020,DNP,15,SFO,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2020,DNP,16,SFO,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2020,DNP,17,SFO,0,0,0,0,0,0,0,0,0,0.0,0,0.0
9,2021-09-12,2021,REG,1,SFO,0,1,3,1,1,1,15,0,16,29.1,2,6.5
10,2021-09-19,2021,REG,2,SFO,0,5,38,0,5,4,21,0,25,35.7,6,28.6
0,,2021,DNP,3,SFO,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2021,DNP,4,SFO,0,0,0,0,0,0,0,0,0,0.0,0,0.0
