CarGm,Date,Season,Season_type,Week,Team,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,OffSnp%,STSnp,STSnp%
1,2022-09-11,2022,REG,1,PIT,0,3,7,0,1,0,0,0,23,36.5,11,34.4
2,2022-09-18,2022,REG,2,PIT,0,4,15,0,1,1,0,0,17,28.8,8,36.4
3,2022-09-22,2022,REG,3,PIT,0,4,30,0,1,1,3,0,12,20.3,9,32.1
4,2022-10-02,2022,REG,4,PIT,0,3,18,0,1,1,4,0,16,25.0,9,34.6
5,2022-10-09,2022,REG,5,PIT,0,5,24,0,5,4,39,0,38,50.7,9,36.0
6,2022-10-16,2022,REG,6,PIT,0,2,2,0,0,0,0,0,20,31.3,10,35.7
7,2022-10-23,2022,REG,7,PIT,0,2,7,0,2,2,17,0,17,22.7,8,30.8
8,2022-10-30,2022,REG,8,PIT,0,6,50,0,3,3,25,0,22,28.9,10,37.0
0,,2022,BYE,9,PIT,0,0,0,0,0,0,0,0,0,0.0,0,0.0
9,2022-11-13,2022,REG,10,PIT,0,9,37,0,3,3,40,0,36,42.9,8,33.3
10,2022-11-20,2022,REG,11,PIT,0,0,0,0,1,1,9,0,3,4.1,1,2.8
0,,2022,DNP,12,PIT,0,0,0,0,0,0,0,0,0,0.0,0,0.0
11,2022-12-04,2022,REG,13,PIT,0,1,5,0,2,2,14,0,13,20.0,5,20.0
12,2022-12-11,2022,REG,14,PIT,0,3,11,0,3,2,16,0,22,40.0,5,23.8
13,2022-12-18,2022,REG,15,PIT,0,11,38,1,1,1,11,0,23,33.8,9,36.0
14,2022-12-24,2022,REG,16,PIT,0,6,23,0,2,1,7,0,21,30.9,7,31.8
15,2023-01-01,2022,REG,17,PIT,0,12,76,0,3,3,22,0,28,40.0,9,39.1
16,2023-01-08,2022,REG,18,PIT,0,6,36,0,4,3,7,0,31,42.5,9,40.9
17,2023-09-10,2023,REG,1,PIT,0,3,6,0,6,5,12,0,25,39.7,7,26.9
18,2023-09-18,2023,REG,2,PIT,0,6,20,0,6,4,66,0,23,42.6,5,16.1
19,2023-09-24,2023,REG,3,PIT,0,8,29,0,4,3,23,0,28,45.2,3,10.3
20,2023-10-01,2023,REG,4,PIT,0,8,29,0,6,6,26,0,29,49.2,6,24.0
21,2023-10-08,2023,REG,5,PIT,0,9,40,0,3,3,39,0,32,48.5,4,16.0
0,,2023,BYE,6,PIT,0,0,0,0,0,0,0,0,0,0.0,0,0.0
22,2023-10-22,2023,REG,7,PIT,0,6,32,1,2,1,-1,0,27,45.8,4,15.4
23,2023-10-29,2023,REG,8,PIT,0,5,19,0,5,4,19,0,33,49.3,6,23.1
24,2023-11-02,2023,REG,9,PIT,0,11,88,0,3,3,25,0,26,40.0,4,16.7
25,2023-11-12,2023,REG,10,PIT,0,15,101,1,4,2,9,0,33,50.8,0,0.0
26,2023-11-19,2023,REG,11,PIT,0,9,129,1,3,3,16,0,26,44.8,0,0.0
27,2023-11-26,2023,REG,12,PIT,0,13,49,0,3,3,13,0,34,47.9,1,4.2
28,2023-12-03,2023,REG,13,PIT,0,9,59,0,3,1,-4,0,26,42.6,5,20.8
29,2023-12-07,2023,REG,14,PIT,0,7,11,0,5,4,29,0,37,52.9,4,14.3
30,2023-12-16,2023,REG,15,PIT,0,10,40,0,6,5,28,0,40,69.0,7,26.9
31,2023-12-23,2023,REG,16,PIT,0,8,24,0,6,5,30,0,34,57.6,3,12.5
32,2023-12-31,2023,REG,17,PIT,0,13,75,1,4,4,23,0,39,54.2,5,17.9
33,2024-01-06,2023,REG,18,PIT,0,9,33,0,5,5,17,0,27,43.5,2,7.4
34,2024-01-15,2023,POST,19,PIT,0,8,38,0,2,2,16,0,28,43.1,6,22.2
35,2024-09-08,2024,REG,1,PIT,0,2,7,0,2,2,13,0,21,30.9,3,12.0
36,2024-09-15,2024,REG,2,PIT,0,9,42,0,2,2,19,0,32,48.5,3,12.0
37,2024-09-22,2024,REG,3,PIT,0,3,5,0,1,1,-4,0,23,33.8,3,11.5
