CarGm,Date,Season,Season_type,Week,Team,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,OffSnp%,STSnp,STSnp%
1,2017-09-07,2017,REG,1,KAN,1,17,148,1,5,5,98,2,39,57.4,0,0.0
2,2017-09-17,2017,REG,2,KAN,1,13,81,2,3,3,28,0,39,73.6,0,0.0
3,2017-09-24,2017,REG,3,KAN,1,17,172,1,1,1,11,0,37,69.8,0,0.0
4,2017-10-02,2017,REG,4,KAN,1,21,101,0,4,4,20,0,50,65.8,0,0.0
5,2017-10-08,2017,REG,5,KAN,1,29,107,0,4,3,9,0,55,71.4,0,0.0
6,2017-10-15,2017,REG,6,KAN,1,9,21,0,6,5,89,0,42,77.8,0,0.0
7,2017-10-19,2017,REG,7,KAN,1,18,87,0,4,4,30,0,45,72.6,0,0.0
8,2017-10-30,2017,REG,8,KAN,1,22,46,0,5,3,22,0,46,74.2,0,0.0
9,2017-11-05,2017,REG,9,KAN,1,9,37,0,5,4,24,0,31,54.4,0,0.0
0,,2017,BYE,10,KAN,0,0,0,0,0,0,0,0,0,0.0,0,0.0
10,2017-11-19,2017,REG,11,KAN,1,18,73,0,4,3,4,0,50,66.7,0,0.0
11,2017-11-26,2017,REG,12,KAN,1,11,17,0,1,1,9,0,38,65.5,0,0.0
12,2017-12-03,2017,REG,13,KAN,1,9,40,0,5,3,23,0,40,87.0,0,0.0
13,2017-12-10,2017,REG,14,KAN,1,25,116,1,3,3,22,0,51,68.0,0,0.0
14,2017-12-16,2017,REG,15,KAN,1,24,155,1,9,7,51,1,43,65.2,0,0.0
15,2017-12-24,2017,REG,16,KAN,1,29,91,1,4,4,15,0,54,68.4,0,0.0
16,2017-12-31,2017,REG,17,KAN,1,1,35,1,0,0,0,0,5,7.6,0,0.0
17,2018-01-06,2017,POST,18,KAN,1,11,42,1,3,3,5,0,41,70.7,0,0.0
18,2018-09-09,2018,REG,1,KAN,1,16,49,0,1,0,0,0,40,71.4,0,0.0
19,2018-09-16,2018,REG,2,KAN,1,18,75,0,1,1,5,1,40,69.0,0,0.0
20,2018-09-23,2018,REG,3,KAN,1,18,44,2,1,0,0,0,46,61.3,0,0.0
21,2018-10-01,2018,REG,4,KAN,1,19,121,1,4,3,54,0,45,57.7,0,0.0
22,2018-10-07,2018,REG,5,KAN,1,22,87,1,2,1,7,0,52,74.3,0,0.0
