CarGm,Date,Season,Season_type,Week,Team,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,OffSnp%,STSnp,STSnp%
0,,2020,DNP,1,TAM,0,0,0,0,0,0,0,0,0,0.0,0,0.0
1,2020-09-20,2020,REG,2,TAM,0,0,0,0,0,0,0,0,0,0.0,5,20.0
0,,2020,DNP,3,TAM,0,0,0,0,0,0,0,0,0,0.0,0,0.0
2,2020-10-04,2020,REG,4,TAM,0,3,4,0,3,2,22,1,19,25.0,0,0.0
3,2020-10-08,2020,REG,5,TAM,0,0,0,0,3,2,5,0,18,25.4,0,0.0
4,2020-10-18,2020,REG,6,TAM,0,5,42,0,1,0,0,0,10,15.6,0,0.0
5,2020-10-25,2020,REG,7,TAM,0,0,0,0,0,0,0,0,0,0.0,2,6.5
6,2020-11-02,2020,REG,8,TAM,0,0,0,0,0,0,0,0,0,0.0,3,11.1
0,,2020,DNP,9,TAM,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2020,DNP,10,TAM,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2020,DNP,11,TAM,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2020,DNP,12,TAM,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2020,BYE,13,TAM,0,0,0,0,0,0,0,0,0,0.0,0,0.0
7,2020-12-13,2020,REG,14,TAM,0,1,-3,0,0,0,0,0,4,7.8,4,18.2
8,2020-12-20,2020,REG,15,TAM,0,2,4,0,1,0,0,0,10,14.7,6,18.2
9,2020-12-26,2020,REG,16,TAM,0,15,62,0,2,1,7,0,35,45.5,10,33.3
10,2021-01-03,2020,REG,17,TAM,0,0,0,0,0,0,0,0,3,4.5,7,25.0
11,2021-01-09,2020,POST,18,TAM,0,5,21,0,1,0,0,0,12,16.4,2,6.7
0,,2021,DNP,1,TAM,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2021,DNP,2,TAM,0,0,0,0,0,0,0,0,0,0.0,0,0.0
12,2021-09-26,2021,REG,3,TAM,0,0,0,0,0,0,0,0,0,0.0,16,53.3
13,2021-10-03,2021,REG,4,TAM,0,0,0,0,0,0,0,0,0,0.0,14,48.3
0,,2021,DNP,5,TAM,0,0,0,0,0,0,0,0,0,0.0,0,0.0
14,2021-10-14,2021,REG,6,TAM,0,0,0,0,0,0,0,0,0,0.0,16,66.7
