CarGm,Date,Season,Season_type,Week,Team,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,OffSnp%,STSnp,STSnp%
0,,2022,DNP,1,SEA,0,0,0,0,0,0,0,0,0,0.0,0,0.0
1,2022-09-18,2022,REG,2,SEA,0,4,10,0,3,2,5,0,12,24.5,0,0.0
2,2022-09-25,2022,REG,3,SEA,0,3,19,0,3,3,14,0,9,12.7,0,0.0
3,2022-10-02,2022,REG,4,SEA,0,8,29,0,1,1,-5,0,25,35.7,0,0.0
4,2022-10-09,2022,REG,5,SEA,0,8,88,1,0,0,0,0,30,57.7,0,0.0
5,2022-10-16,2022,REG,6,SEA,1,21,97,1,3,2,13,0,47,69.1,0,0.0
6,2022-10-23,2022,REG,7,SEA,1,23,167,2,0,0,0,0,52,73.2,0,0.0
7,2022-10-30,2022,REG,8,SEA,1,18,51,1,2,1,1,0,49,76.6,0,0.0
8,2022-11-06,2022,REG,9,SEA,1,26,109,2,4,3,20,0,56,76.7,0,0.0
9,2022-11-13,2022,REG,10,SEA,1,10,17,0,8,6,55,0,45,86.5,0,0.0
0,,2022,BYE,11,SEA,0,0,0,0,0,0,0,0,0,0.0,0,0.0
10,2022-11-27,2022,REG,12,SEA,1,14,26,2,1,1,13,0,46,70.8,0,0.0
11,2022-12-04,2022,REG,13,SEA,1,3,36,0,1,0,0,0,14,20.9,0,0.0
0,,2022,DNP,14,SEA,0,0,0,0,0,0,0,0,0,0.0,0,0.0
12,2022-12-15,2022,REG,15,SEA,1,12,47,0,5,4,32,0,48,75.0,0,0.0
13,2022-12-24,2022,REG,16,SEA,1,26,107,0,2,2,-2,0,40,52.6,0,0.0
14,2023-01-01,2022,REG,17,SEA,1,23,133,0,1,1,9,0,41,56.9,0,0.0
15,2023-01-08,2022,REG,18,SEA,1,29,114,0,1,1,10,0,61,87.1,0,0.0
16,2023-01-14,2022,POST,19,SEA,1,15,63,1,1,1,3,0,48,70.6,0,0.0
17,2023-09-10,2023,REG,1,SEA,1,12,64,0,5,4,3,0,32,62.7,0,0.0
18,2023-09-17,2023,REG,2,SEA,1,17,43,2,2,1,11,0,44,61.1,0,0.0
19,2023-09-24,2023,REG,3,SEA,1,18,97,2,3,3,59,0,38,50.7,0,0.0
20,2023-10-02,2023,REG,4,SEA,1,17,79,1,0,0,0,0,39,70.9,0,0.0
0,,2023,BYE,5,SEA,0,0,0,0,0,0,0,0,0,0.0,0,0.0
21,2023-10-15,2023,REG,6,SEA,1,19,62,1,3,3,27,0,56,75.7,0,0.0
22,2023-10-22,2023,REG,7,SEA,1,26,105,0,3,2,6,0,48,80.0,0,0.0
23,2023-10-29,2023,REG,8,SEA,1,8,66,0,2,1,4,0,24,41.4,0,0.0
24,2023-11-05,2023,REG,9,SEA,1,9,16,0,2,1,1,0,24,49.0,0,0.0
25,2023-11-12,2023,REG,10,SEA,1,19,63,0,2,1,64,1,39,48.1,0,0.0
26,2023-11-19,2023,REG,11,SEA,1,4,18,0,1,1,-2,0,7,10.8,0,0.0
0,,2023,DNP,12,SEA,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2023,DNP,13,SEA,0,0,0,0,0,0,0,0,0,0.0,0,0.0
27,2023-12-10,2023,REG,14,SEA,1,8,21,0,5,4,33,0,33,55.9,0,0.0
28,2023-12-18,2023,REG,15,SEA,1,19,86,1,3,3,26,0,34,55.7,0,0.0
29,2023-12-24,2023,REG,16,SEA,1,16,54,0,2,1,2,0,36,58.1,0,0.0
30,2023-12-31,2023,REG,17,SEA,1,10,53,1,3,3,22,0,21,42.9,0,0.0
31,2024-01-07,2023,REG,18,SEA,1,17,78,0,1,1,3,0,27,49.1,0,0.0
32,2024-09-08,2024,REG,1,SEA,1,20,103,1,3,2,6,0,44,65.7,0,0.0
0,,2024,DNP,2,SEA,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2024,DNP,3,SEA,0,0,0,0,0,0,0,0,0,0.0,0,0.0
33,2024-09-30,2024,REG,4,SEA,1,12,80,3,5,4,36,0,53,58.9,0,0.0
34,2024-10-06,2024,REG,5,SEA,1,5,19,0,8,7,57,0,39,67.2,0,0.0
35,2024-10-10,2024,REG,6,SEA,1,14,32,1,8,8,37,0,54,69.2,0,0.0
36,2024-10-20,2024,REG,7,SEA,1,14,69,1,2,2,24,1,28,46.7,0,0.0
37,2024-10-27,2024,REG,8,SEA,1,9,12,0,5,4,33,0,28,54.9,0,0.0
38,2024-11-03,2024,REG,9,SEA,1,25,83,0,3,3,24,0,61,76.3,0,0.0
0,,2024,BYE,10,SEA,0,0,0,0,0,0,0,0,0,0.0,0,0.0
39,2024-11-17,2024,REG,11,SEA,1,14,54,1,2,2,5,0,44,73.3,0,0.0
40,2024-11-24,2024,REG,12,SEA,1,16,41,0,6,4,52,0,41,64.1,0,0.0
41,2024-12-01,2024,REG,13,SEA,1,16,49,0,3,2,-3,0,39,60.9,0,0.0
0,,2024,DNP,14,SEA,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2024,DNP,15,SEA,0,0,0,0,0,0,0,0,0,0.0,0,0.0
42,2024-12-22,2024,REG,16,SEA,1,8,31,0,8,8,28,0,38,59.4,0,0.0
0,,2024,DNP,17,SEA,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2024,DNP,18,SEA,0,0,0,0,0,0,0,0,0,0.0,0,0.0
