CarGm,Date,Season,Season_type,Week,Team,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,OffSnp%,STSnp,STSnp%
0,1970-01-01,2023,DNP,1,SEA,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,1970-01-01,2023,DNP,2,SEA,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,1970-01-01,2023,DNP,3,SEA,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,1970-01-01,2023,DNP,4,SEA,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,1970-01-01,2023,BYE,5,SEA,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,1970-01-01,2023,DNP,6,SEA,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,1970-01-01,2023,DNP,7,SEA,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,1970-01-01,2023,DNP,8,SEA,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,1970-01-01,2023,DNP,9,SEA,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,1970-01-01,2023,DNP,10,SEA,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,1970-01-01,2023,DNP,11,SEA,0,0,0,0,0,0,0,0,0,0.0,0,0.0
1,2023-11-23,2023,REG,12,SEA,0,0,0,0,0,0,0,0,0,0.0,3,10.3
2,2023-11-30,2023,REG,13,SEA,0,0,0,0,0,0,0,0,0,0.0,5,17.9
3,2023-12-10,2023,REG,14,SEA,0,0,0,0,0,0,0,0,0,0.0,5,18.5
0,1970-01-01,2023,DNP,15,SEA,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,1970-01-01,2023,DNP,16,SEA,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,1970-01-01,2023,DNP,17,SEA,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,1970-01-01,2023,DNP,18,SEA,0,0,0,0,0,0,0,0,0,0.0,0,0.0
4,2024-09-08,2024,REG,1,SEA,0,0,0,0,0,0,0,0,0,0.0,5,14.7
5,2024-09-15,2024,REG,2,SEA,0,0,0,0,0,0,0,0,2,2.9,5,16.1
6,2024-09-22,2024,REG,3,SEA,0,3,11,0,0,0,0,0,10,15.6,10,37.0
7,2024-09-30,2024,REG,4,SEA,0,0,0,0,0,0,0,0,0,0.0,16,55.2
8,2024-10-06,2024,REG,5,SEA,0,0,0,0,0,0,0,0,0,0.0,9,30.0
9,2024-10-10,2024,REG,6,SEA,0,0,0,0,0,0,0,0,0,0.0,16,53.3
10,2024-10-20,2024,REG,7,SEA,0,1,5,0,0,0,0,0,1,1.7,11,42.3
11,2024-10-27,2024,REG,8,SEA,0,0,0,0,0,0,0,0,0,0.0,13,56.5
12,2024-11-03,2024,REG,9,SEA,0,0,0,0,0,0,0,0,0,0.0,9,28.1
0,1970-01-01,2024,BYE,10,SEA,0,0,0,0,0,0,0,0,0,0.0,0,0.0
13,2024-11-17,2024,REG,11,SEA,0,0,0,0,0,0,0,0,0,0.0,8,38.1
14,2024-11-24,2024,REG,12,SEA,0,0,0,0,0,0,0,0,0,0.0,8,33.3
15,2024-12-01,2024,REG,13,SEA,0,0,0,0,0,0,0,0,0,0.0,13,54.2
16,2024-12-08,2024,REG,14,SEA,0,7,38,0,2,2,7,0,15,23.4,5,17.2
17,2024-12-15,2024,REG,15,SEA,0,3,9,0,0,0,0,0,9,15.3,12,41.4
18,2024-12-22,2024,REG,16,SEA,0,3,14,0,1,1,15,0,12,18.8,15,45.5
19,2024-12-26,2024,REG,17,SEA,0,7,46,0,0,0,0,0,13,25.0,8,38.1
20,2025-01-05,2024,REG,18,SEA,0,7,49,0,1,0,0,0,13,23.6,10,37.0
