CarGm,Date,Season,Season_type,Week,Team,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,OffSnp%,STSnp,STSnp%
0,,2022,DNP,1,SFO,0,0,0,0,0,0,0,0,0,0.0,0,0.0
1,2022-09-18,2022,REG,2,SFO,0,14,33,0,0,0,0,0,30,39.5,0,0.0
0,,2022,DNP,3,SFO,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2022,DNP,4,SFO,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2022,DNP,5,SFO,0,0,0,0,0,0,0,0,0,0.0,0,0.0
2,2022-10-16,2022,REG,6,SFO,0,0,0,0,0,0,0,0,1,1.7,5,22.7
3,2022-10-23,2022,REG,7,SFO,0,2,4,0,2,0,0,0,13,16.5,8,28.6
0,,2022,DNP,8,SFO,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2022,BYE,9,SFO,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2022,DNP,10,SFO,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2022,DNP,11,SFO,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2022,DNP,12,SFO,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2022,DNP,13,SFO,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2022,DNP,14,SFO,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2022,DNP,15,SFO,0,0,0,0,0,0,0,0,0,0.0,0,0.0
4,2022-12-24,2022,REG,16,SFO,0,9,30,0,0,0,0,0,13,25.0,0,0.0
5,2023-01-01,2022,REG,17,SFO,0,1,5,0,0,0,0,0,5,7.5,6,18.2
6,2023-01-08,2022,REG,18,SFO,0,8,27,0,0,0,0,0,8,12.9,4,15.4
0,,2023,DNP,1,SFO,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2023,DNP,2,SFO,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2023,DNP,3,SFO,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2023,DNP,4,SFO,0,0,0,0,0,0,0,0,0,0.0,0,0.0
7,2023-10-08,2023,REG,5,SFO,0,6,21,0,0,0,0,0,7,9.9,0,0.0
0,,2023,DNP,6,SFO,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2023,DNP,7,SFO,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2023,DNP,8,SFO,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2023,BYE,9,SFO,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2023,DNP,10,SFO,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2023,DNP,11,SFO,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2023,DNP,12,SFO,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2023,DNP,13,SFO,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2023,DNP,14,SFO,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2023,DNP,15,SFO,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2023,DNP,16,SFO,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2023,DNP,17,SFO,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2023,DNP,18,SFO,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2024,DNP,1,PHI,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2024,DNP,2,PHI,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2024,DNP,3,PHI,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2024,DNP,4,PHI,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2024,BYE,5,PHI,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2024,DNP,6,PHI,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2024,DNP,7,PHI,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2024,DNP,8,PHI,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2024,DNP,9,PHI,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2024,DNP,10,PHI,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2024,DNP,11,PHI,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2024,DNP,12,PHI,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2024,DNP,13,PHI,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2024,DNP,14,PHI,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2024,DNP,15,PHI,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2024,DNP,16,PHI,0,0,0,0,0,0,0,0,0,0.0,0,0.0
8,2024-12-29,2024,REG,17,PHI,0,3,7,0,0,0,0,0,5,7.7,0,0.0
0,,2024,DNP,18,PHI,0,0,0,0,0,0,0,0,0,0.0,0,0.0
