CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp,SUSP,INJ,Game Status,Injuries
0,IND,Albert Bentley,BentAl00,1985-09-08,1985,1,DNP,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
1,IND,Albert Bentley,BentAl00,1985-09-15,1985,2,REG,0,3,15,0,1,1,6,0,0,0,0,0,nan,nan
2,IND,Albert Bentley,BentAl00,1985-09-22,1985,3,REG,0,4,23,0,2,1,9,0,0,0,0,0,nan,nan
3,IND,Albert Bentley,BentAl00,1985-09-29,1985,4,REG,0,8,15,0,2,1,-1,0,0,0,0,0,nan,nan
4,IND,Albert Bentley,BentAl00,1985-10-06,1985,5,REG,1,17,100,0,3,3,19,0,0,0,0,0,nan,nan
5,IND,Albert Bentley,BentAl00,1985-10-13,1985,6,REG,0,6,15,0,2,1,6,0,0,0,0,0,nan,nan
6,IND,Albert Bentley,BentAl00,1985-10-20,1985,7,REG,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
7,IND,Albert Bentley,BentAl00,1985-10-27,1985,8,REG,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
8,IND,Albert Bentley,BentAl00,1985-11-03,1985,9,REG,0,0,0,0,2,1,8,0,0,0,0,0,nan,nan
9,IND,Albert Bentley,BentAl00,1985-11-10,1985,10,REG,0,0,0,0,2,1,14,0,0,0,0,0,nan,nan
10,IND,Albert Bentley,BentAl00,1985-11-17,1985,11,REG,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
11,IND,Albert Bentley,BentAl00,1985-11-24,1985,12,REG,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
12,IND,Albert Bentley,BentAl00,1985-12-01,1985,13,REG,0,3,16,0,1,0,0,0,0,0,0,0,nan,nan
13,IND,Albert Bentley,BentAl00,1985-12-08,1985,14,REG,0,0,0,0,2,1,16,0,0,0,0,0,nan,nan
14,IND,Albert Bentley,BentAl00,1985-12-15,1985,15,REG,0,3,31,1,0,0,0,0,0,0,0,0,nan,nan
15,IND,Albert Bentley,BentAl00,1985-12-22,1985,16,REG,0,10,73,1,1,1,8,0,0,0,0,0,nan,nan
16,IND,Albert Bentley,BentAl00,1986-09-07,1986,1,REG,0,2,6,0,1,1,16,0,0,0,0,0,nan,nan
17,IND,Albert Bentley,BentAl00,1986-09-14,1986,2,REG,0,9,19,1,7,5,34,0,0,0,0,0,nan,nan
18,IND,Albert Bentley,BentAl00,1986-09-21,1986,3,REG,0,1,2,0,1,0,0,0,0,0,0,0,nan,nan
19,IND,Albert Bentley,BentAl00,1986-09-28,1986,4,REG,0,1,9,0,5,1,9,0,0,0,0,0,nan,nan
20,IND,Albert Bentley,BentAl00,1986-10-05,1986,5,REG,0,3,15,0,7,3,19,0,0,0,0,0,nan,nan
21,IND,Albert Bentley,BentAl00,1986-10-12,1986,6,REG,1,10,44,0,9,7,99,0,0,0,0,0,nan,nan
22,IND,Albert Bentley,BentAl00,1986-10-19,1986,7,REG,1,7,51,0,1,1,-2,0,0,0,0,0,nan,nan
0,IND,Albert Bentley,BentAl00,1986-10-26,1986,8,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,IND,Albert Bentley,BentAl00,1986-11-02,1986,9,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,IND,Albert Bentley,BentAl00,1986-11-09,1986,10,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,IND,Albert Bentley,BentAl00,1986-11-16,1986,11,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
23,IND,Albert Bentley,BentAl00,1986-11-23,1986,12,REG,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
24,IND,Albert Bentley,BentAl00,1986-11-30,1986,13,REG,1,8,33,0,5,4,20,0,0,0,0,0,nan,nan
25,IND,Albert Bentley,BentAl00,1986-12-07,1986,14,REG,0,4,7,1,1,1,0,0,0,0,0,0,nan,nan
26,IND,Albert Bentley,BentAl00,1986-12-14,1986,15,REG,0,3,3,0,0,0,0,0,0,0,0,0,nan,nan
27,IND,Albert Bentley,BentAl00,1986-12-21,1986,16,REG,0,25,162,1,2,2,35,0,0,0,0,0,nan,nan
28,IND,Albert Bentley,BentAl00,1987-09-13,1987,1,REG,1,25,77,1,0,0,0,0,0,0,0,0,nan,nan
29,IND,Albert Bentley,BentAl00,1987-09-20,1987,2,REG,1,22,84,0,13,9,69,0,0,0,0,0,nan,nan
0,IND,Albert Bentley,BentAl00,1987-10-04,1987,4,DNP,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
0,IND,Albert Bentley,BentAl00,1987-10-11,1987,5,DNP,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
0,IND,Albert Bentley,BentAl00,1987-10-18,1987,6,DNP,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
30,IND,Albert Bentley,BentAl00,1987-10-25,1987,7,REG,1,16,65,1,6,4,53,0,0,0,0,0,nan,nan
31,IND,Albert Bentley,BentAl00,1987-11-01,1987,8,REG,1,29,145,0,6,3,32,0,0,0,0,0,nan,nan
32,IND,Albert Bentley,BentAl00,1987-11-08,1987,9,REG,0,10,53,1,0,0,0,0,0,0,0,0,nan,nan
33,IND,Albert Bentley,BentAl00,1987-11-15,1987,10,REG,0,13,83,2,4,4,38,0,0,0,0,0,nan,nan
34,IND,Albert Bentley,BentAl00,1987-11-22,1987,11,REG,0,2,10,0,1,1,7,0,0,0,0,0,nan,nan
35,IND,Albert Bentley,BentAl00,1987-11-29,1987,12,REG,0,8,64,0,2,2,94,2,0,0,0,0,nan,nan
