CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,HOU,Alonzo Highsmith,HighAl00,1987-11-08,1987,9,REG,0,2,1,0,0,0,0,0,0,0
2,HOU,Alonzo Highsmith,HighAl00,1987-11-15,1987,10,REG,0,2,3,0,0,0,0,0,0,0
3,HOU,Alonzo Highsmith,HighAl00,1987-11-22,1987,11,REG,0,1,1,0,2,1,5,0,0,0
4,HOU,Alonzo Highsmith,HighAl00,1987-11-29,1987,12,REG,0,1,-2,0,0,0,0,0,0,0
5,HOU,Alonzo Highsmith,HighAl00,1987-12-06,1987,13,REG,0,10,32,0,2,1,11,0,0,0
6,HOU,Alonzo Highsmith,HighAl00,1987-12-13,1987,14,REG,1,3,7,0,1,0,0,0,0,0
7,HOU,Alonzo Highsmith,HighAl00,1987-12-20,1987,15,REG,1,1,3,0,1,1,6,0,0,0
8,HOU,Alonzo Highsmith,HighAl00,1987-12-27,1987,16,REG,1,9,61,1,2,1,33,1,0,0
9,HOU,Alonzo Highsmith,HighAl00,1988-01-03,1987,17,POST,1,12,74,0,2,2,17,0,0,0
10,HOU,Alonzo Highsmith,HighAl00,1988-01-10,1987,18,POST,1,5,13,0,5,4,20,0,0,0
11,HOU,Alonzo Highsmith,HighAl00,1988-09-04,1988,1,REG,1,2,3,0,2,2,22,0,0,0
12,HOU,Alonzo Highsmith,HighAl00,1988-09-11,1988,2,REG,1,11,31,0,0,0,0,0,0,0
13,HOU,Alonzo Highsmith,HighAl00,1988-09-18,1988,3,REG,1,4,19,0,0,0,0,0,0,0
14,HOU,Alonzo Highsmith,HighAl00,1988-09-25,1988,4,REG,1,8,35,0,1,0,0,0,0,0
15,HOU,Alonzo Highsmith,HighAl00,1988-10-02,1988,5,REG,1,1,2,0,0,0,0,0,0,0
16,HOU,Alonzo Highsmith,HighAl00,1988-10-09,1988,6,REG,1,8,38,0,1,1,9,0,0,0
17,HOU,Alonzo Highsmith,HighAl00,1988-10-16,1988,7,REG,1,5,7,0,0,0,0,0,0,0
18,HOU,Alonzo Highsmith,HighAl00,1988-10-23,1988,8,REG,1,4,24,0,2,2,20,0,0,0
19,HOU,Alonzo Highsmith,HighAl00,1988-10-30,1988,9,REG,1,8,75,0,2,1,0,0,0,0
20,HOU,Alonzo Highsmith,HighAl00,1988-11-07,1988,10,REG,1,8,40,1,0,0,0,0,0,0
21,HOU,Alonzo Highsmith,HighAl00,1988-11-13,1988,11,REG,1,9,80,0,0,0,0,0,0,0
22,HOU,Alonzo Highsmith,HighAl00,1988-11-20,1988,12,REG,1,10,38,1,1,1,-3,0,0,0
23,HOU,Alonzo Highsmith,HighAl00,1988-11-24,1988,13,REG,1,7,46,0,1,1,26,0,0,0
24,HOU,Alonzo Highsmith,HighAl00,1988-12-04,1988,14,REG,1,3,8,0,4,1,7,0,0,0
25,HOU,Alonzo Highsmith,HighAl00,1988-12-11,1988,15,REG,1,2,8,0,1,1,6,0,0,0
26,HOU,Alonzo Highsmith,HighAl00,1988-12-18,1988,16,REG,1,4,12,0,2,2,44,0,0,0
27,HOU,Alonzo Highsmith,HighAl00,1988-12-24,1988,17,POST,1,2,3,0,1,1,8,0,0,0
28,HOU,Alonzo Highsmith,HighAl00,1989-01-01,1988,18,POST,1,5,57,0,4,2,3,0,0,0
29,HOU,Alonzo Highsmith,HighAl00,1989-09-10,1989,1,REG,1,6,18,1,1,0,0,0,0,0
30,HOU,Alonzo Highsmith,HighAl00,1989-09-17,1989,2,REG,1,8,50,1,0,0,0,0,0,0
31,HOU,Alonzo Highsmith,HighAl00,1989-09-24,1989,3,REG,1,14,55,1,4,4,47,0,0,0
32,HOU,Alonzo Highsmith,HighAl00,1989-10-01,1989,4,REG,1,11,53,1,2,2,25,0,0,0
