CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,NOR,Alvin Kamara,KamaAl00,2017-09-11,2017,1,REG,0,7,18,0,6,4,20,0,31,8
2,NOR,Alvin Kamara,KamaAl00,2017-09-17,2017,2,REG,0,1,3,0,7,3,51,0,17,8
3,NOR,Alvin Kamara,KamaAl00,2017-09-24,2017,3,REG,0,2,37,1,5,3,5,0,17,4
4,NOR,Alvin Kamara,KamaAl00,2017-10-01,2017,4,REG,0,5,25,0,10,10,71,1,26,1
0,NOR,Alvin Kamara,KamaAl00,,2017,5,BYE,0,0,0,0,0,0,0,0,0,0
5,NOR,Alvin Kamara,KamaAl00,2017-10-15,2017,6,REG,1,10,75,0,3,3,12,0,31,7
6,NOR,Alvin Kamara,KamaAl00,2017-10-22,2017,7,REG,0,9,57,0,7,5,50,0,37,0
7,NOR,Alvin Kamara,KamaAl00,2017-10-29,2017,8,REG,0,8,28,1,3,3,48,0,31,1
8,NOR,Alvin Kamara,KamaAl00,2017-11-05,2017,9,REG,0,10,68,1,7,6,84,1,26,1
9,NOR,Alvin Kamara,KamaAl00,2017-11-12,2017,10,REG,0,12,106,1,5,5,32,0,29,1
10,NOR,Alvin Kamara,KamaAl00,2017-11-19,2017,11,REG,0,8,42,0,9,6,74,1,46,0
11,NOR,Alvin Kamara,KamaAl00,2017-11-26,2017,12,REG,1,5,87,1,6,6,101,1,32,1
12,NOR,Alvin Kamara,KamaAl00,2017-12-03,2017,13,REG,1,9,60,2,6,5,66,0,37,1
13,NOR,Alvin Kamara,KamaAl00,2017-12-07,2017,14,REG,0,1,2,0,3,3,25,0,6,0
14,NOR,Alvin Kamara,KamaAl00,2017-12-17,2017,15,REG,0,12,44,0,7,6,45,1,32,1
15,NOR,Alvin Kamara,KamaAl00,2017-12-24,2017,16,REG,0,12,32,0,9,7,58,0,37,4
16,NOR,Alvin Kamara,KamaAl00,2017-12-31,2017,17,REG,0,9,44,1,7,6,84,0,31,6
17,NOR,Alvin Kamara,KamaAl00,2018-01-07,2017,18,POST,1,10,23,1,3,1,10,0,37,6
18,NOR,Alvin Kamara,KamaAl00,2018-01-14,2017,19,POST,0,11,43,0,7,4,62,1,45,6
19,NOR,Alvin Kamara,KamaAl00,2018-09-09,2018,1,REG,1,8,29,2,12,9,112,1,52,0
20,NOR,Alvin Kamara,KamaAl00,2018-09-16,2018,2,REG,1,13,46,0,6,6,53,0,51,2
21,NOR,Alvin Kamara,KamaAl00,2018-09-23,2018,3,REG,1,16,66,0,20,15,124,0,67,3
22,NOR,Alvin Kamara,KamaAl00,2018-09-30,2018,4,REG,1,19,134,3,9,5,47,0,59,1
