CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,PIT,Amos Zereoue,ZereAm00,1999-09-12,1999,1,REG,0,17,44,0,1,1,14,0,0,0
2,PIT,Amos Zereoue,ZereAm00,1999-09-19,1999,2,REG,0,0,0,0,0,0,0,0,0,0
3,PIT,Amos Zereoue,ZereAm00,1999-09-26,1999,3,REG,0,0,0,0,1,1,3,0,0,0
0,PIT,Amos Zereoue,ZereAm00,1999-10-03,1999,4,DNP,0,0,0,0,0,0,0,0,0,0
0,PIT,Amos Zereoue,ZereAm00,1999-10-10,1999,5,DNP,0,0,0,0,0,0,0,0,0,0
0,PIT,Amos Zereoue,ZereAm00,1999-10-17,1999,6,DNP,0,0,0,0,0,0,0,0,0,0
0,PIT,Amos Zereoue,ZereAm00,1999-10-25,1999,7,DNP,0,0,0,0,0,0,0,0,0,0
0,PIT,Amos Zereoue,ZereAm00,,1999,8,BYE,0,0,0,0,0,0,0,0,0,0
0,PIT,Amos Zereoue,ZereAm00,1999-11-07,1999,9,DNP,0,0,0,0,0,0,0,0,0,0
0,PIT,Amos Zereoue,ZereAm00,1999-11-14,1999,10,DNP,0,0,0,0,0,0,0,0,0,0
4,PIT,Amos Zereoue,ZereAm00,1999-11-21,1999,11,REG,0,0,0,0,0,0,0,0,0,0
5,PIT,Amos Zereoue,ZereAm00,1999-11-28,1999,12,REG,0,1,4,0,0,0,0,0,0,0
6,PIT,Amos Zereoue,ZereAm00,1999-12-02,1999,13,REG,0,0,0,0,0,0,0,0,0,0
0,PIT,Amos Zereoue,ZereAm00,1999-12-12,1999,14,DNP,0,0,0,0,0,0,0,0,0,0
0,PIT,Amos Zereoue,ZereAm00,1999-12-18,1999,15,DNP,0,0,0,0,0,0,0,0,0,0
7,PIT,Amos Zereoue,ZereAm00,1999-12-26,1999,16,REG,0,0,0,0,0,0,0,0,0,0
8,PIT,Amos Zereoue,ZereAm00,2000-01-02,1999,17,REG,0,0,0,0,0,0,0,0,0,0
0,PIT,Amos Zereoue,ZereAm00,2000-09-03,2000,1,DNP,0,0,0,0,0,0,0,0,0,0
0,PIT,Amos Zereoue,ZereAm00,,2000,2,BYE,0,0,0,0,0,0,0,0,0,0
0,PIT,Amos Zereoue,ZereAm00,2000-09-17,2000,3,DNP,0,0,0,0,0,0,0,0,0,0
9,PIT,Amos Zereoue,ZereAm00,2000-09-24,2000,4,REG,0,0,0,0,0,0,0,0,0,0
10,PIT,Amos Zereoue,ZereAm00,2000-10-01,2000,5,REG,0,0,0,0,0,0,0,0,0,0
11,PIT,Amos Zereoue,ZereAm00,2000-10-08,2000,6,REG,0,0,0,0,0,0,0,0,0,0
0,PIT,Amos Zereoue,ZereAm00,2000-10-15,2000,7,DNP,0,0,0,0,0,0,0,0,0,0
0,PIT,Amos Zereoue,ZereAm00,2000-10-22,2000,8,DNP,0,0,0,0,0,0,0,0,0,0
12,PIT,Amos Zereoue,ZereAm00,2000-10-29,2000,9,REG,0,0,0,0,0,0,0,0,0,0
13,PIT,Amos Zereoue,ZereAm00,2000-11-05,2000,10,REG,0,0,0,0,0,0,0,0,0,0
14,PIT,Amos Zereoue,ZereAm00,2000-11-12,2000,11,REG,0,0,0,0,0,0,0,0,0,0
15,PIT,Amos Zereoue,ZereAm00,2000-11-19,2000,12,REG,0,0,0,0,0,0,0,0,0,0
16,PIT,Amos Zereoue,ZereAm00,2000-11-26,2000,13,REG,0,3,5,0,0,0,0,0,0,0
17,PIT,Amos Zereoue,ZereAm00,2000-12-03,2000,14,REG,0,0,0,0,0,0,0,0,0,0
