CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,NOR,Barry Word,WordBa00,1987-09-13,1987,1,REG,0,1,3,0,0,0,0,0,0,0
2,NOR,Barry Word,WordBa00,1987-09-20,1987,2,REG,0,1,-2,0,0,0,0,0,0,0
3,NOR,Barry Word,WordBa00,1987-10-25,1987,7,REG,1,5,7,0,0,0,0,0,0,0
4,NOR,Barry Word,WordBa00,1987-11-01,1987,8,REG,0,5,18,1,2,2,8,0,0,0
5,NOR,Barry Word,WordBa00,1987-11-08,1987,9,REG,0,4,31,0,0,0,0,0,0,0
6,NOR,Barry Word,WordBa00,1987-11-15,1987,10,REG,0,0,0,0,1,1,14,0,0,0
7,NOR,Barry Word,WordBa00,1987-11-22,1987,11,REG,0,6,21,1,0,0,0,0,0,0
8,NOR,Barry Word,WordBa00,1987-11-29,1987,12,REG,0,2,5,0,2,1,7,0,0,0
9,NOR,Barry Word,WordBa00,1987-12-06,1987,13,REG,0,0,0,0,2,2,25,0,0,0
10,NOR,Barry Word,WordBa00,1987-12-13,1987,14,REG,0,1,-1,0,0,0,0,0,0,0
11,NOR,Barry Word,WordBa00,1987-12-20,1987,15,REG,0,4,24,0,0,0,0,0,0,0
12,NOR,Barry Word,WordBa00,1987-12-27,1987,16,REG,0,7,27,0,0,0,0,0,0,0
13,NOR,Barry Word,WordBa00,1988-01-03,1987,17,POST,0,0,0,0,0,0,0,0,0,0
14,NOR,Barry Word,WordBa00,1988-09-04,1988,1,REG,0,0,0,0,0,0,0,0,0,0
15,NOR,Barry Word,WordBa00,1988-09-11,1988,2,REG,0,0,0,0,0,0,0,0,0,0
16,KAN,Barry Word,WordBa00,1990-09-09,1990,1,REG,0,6,21,0,0,0,0,0,0,0
17,KAN,Barry Word,WordBa00,1990-09-17,1990,2,REG,0,0,0,0,0,0,0,0,0,0
18,KAN,Barry Word,WordBa00,1990-09-23,1990,3,REG,0,6,29,0,1,1,6,0,0,0
19,KAN,Barry Word,WordBa00,1990-09-30,1990,4,REG,0,11,29,0,0,0,0,0,0,0
20,KAN,Barry Word,WordBa00,1990-10-07,1990,5,REG,0,1,2,0,0,0,0,0,0,0
21,KAN,Barry Word,WordBa00,1990-10-14,1990,6,REG,0,18,200,2,0,0,0,0,0,0
22,KAN,Barry Word,WordBa00,1990-10-21,1990,7,REG,0,7,35,0,0,0,0,0,0,0
0,KAN,Barry Word,WordBa00,,1990,8,BYE,0,0,0,0,0,0,0,0,0,0
23,KAN,Barry Word,WordBa00,1990-11-04,1990,9,REG,0,15,85,0,1,0,0,0,0,0
24,KAN,Barry Word,WordBa00,1990-11-11,1990,10,REG,0,6,21,0,0,0,0,0,0,0
25,KAN,Barry Word,WordBa00,1990-11-18,1990,11,REG,0,17,90,0,1,1,9,0,0,0
26,KAN,Barry Word,WordBa00,1990-11-25,1990,12,REG,0,17,52,0,0,0,0,0,0,0
27,KAN,Barry Word,WordBa00,1990-12-02,1990,13,REG,0,19,112,0,0,0,0,0,0,0
28,KAN,Barry Word,WordBa00,1990-12-09,1990,14,REG,0,16,72,1,0,0,0,0,0,0
29,KAN,Barry Word,WordBa00,1990-12-16,1990,15,REG,1,19,88,0,0,0,0,0,0,0
30,KAN,Barry Word,WordBa00,1990-12-23,1990,16,REG,1,28,106,1,2,2,13,0,0,0
31,KAN,Barry Word,WordBa00,1990-12-29,1990,17,REG,1,18,73,0,0,0,0,0,0,0
32,KAN,Barry Word,WordBa00,1991-01-05,1990,18,POST,1,9,13,0,1,0,0,0,0,0
33,KAN,Barry Word,WordBa00,1991-09-01,1991,1,REG,0,6,13,0,0,0,0,0,0,0
34,KAN,Barry Word,WordBa00,1991-09-08,1991,2,REG,0,10,40,0,0,0,0,0,0,0
35,KAN,Barry Word,WordBa00,1991-09-16,1991,3,REG,0,14,54,0,0,0,0,0,0,0
36,KAN,Barry Word,WordBa00,1991-09-22,1991,4,REG,0,6,21,0,0,0,0,0,0,0
37,KAN,Barry Word,WordBa00,1991-09-29,1991,5,REG,0,5,18,0,1,1,8,0,0,0
38,KAN,Barry Word,WordBa00,1991-10-07,1991,6,REG,0,5,14,0,0,0,0,0,0,0
39,KAN,Barry Word,WordBa00,1991-10-13,1991,7,REG,0,8,22,0,0,0,0,0,0,0
40,KAN,Barry Word,WordBa00,1991-10-20,1991,8,REG,0,0,0,0,0,0,0,0,0,0
41,KAN,Barry Word,WordBa00,1991-10-28,1991,9,REG,0,1,3,0,0,0,0,0,0,0
0,KAN,Barry Word,WordBa00,,1991,10,BYE,0,0,0,0,0,0,0,0,0,0
42,KAN,Barry Word,WordBa00,1991-11-10,1991,11,REG,1,5,29,1,0,0,0,0,0,0
43,KAN,Barry Word,WordBa00,1991-11-17,1991,12,REG,0,0,0,0,0,0,0,0,0,0
44,KAN,Barry Word,WordBa00,1991-11-24,1991,13,REG,0,8,41,0,0,0,0,0,0,0
45,KAN,Barry Word,WordBa00,1991-12-01,1991,14,REG,0,26,96,0,0,0,0,0,0,0
46,KAN,Barry Word,WordBa00,1991-12-08,1991,15,REG,1,14,66,1,0,0,0,0,0,0
47,KAN,Barry Word,WordBa00,1991-12-14,1991,16,REG,0,17,115,1,1,1,5,0,0,0
48,KAN,Barry Word,WordBa00,1991-12-22,1991,17,REG,1,35,152,1,0,0,0,0,0,0
49,KAN,Barry Word,WordBa00,1991-12-28,1991,18,POST,1,33,130,0,1,1,8,0,0,0
50,KAN,Barry Word,WordBa00,1992-01-05,1991,19,POST,1,15,50,1,0,0,0,0,0,0
51,KAN,Barry Word,WordBa00,1992-09-06,1992,1,REG,1,18,37,1,1,1,22,0,0,0
52,KAN,Barry Word,WordBa00,1992-09-13,1992,2,REG,1,13,46,1,2,2,18,0,0,0
53,KAN,Barry Word,WordBa00,1992-09-20,1992,3,REG,1,22,114,0,1,0,0,0,0,0
54,KAN,Barry Word,WordBa00,1992-09-28,1992,4,REG,1,27,125,0,2,0,0,0,0,0
55,KAN,Barry Word,WordBa00,1992-10-04,1992,5,REG,1,21,84,0,4,3,19,0,0,0
56,KAN,Barry Word,WordBa00,1992-10-11,1992,6,REG,0,0,0,0,0,0,0,0,0,0
57,KAN,Barry Word,WordBa00,1992-10-18,1992,7,REG,1,13,46,1,1,1,5,0,0,0
58,KAN,Barry Word,WordBa00,1992-10-25,1992,8,REG,1,8,32,0,0,0,0,0,0,0
0,KAN,Barry Word,WordBa00,,1992,9,BYE,0,0,0,0,0,0,0,0,0,0
0,KAN,Barry Word,WordBa00,1992-11-08,1992,10,DNP,0,0,0,0,0,0,0,0,0,0
0,KAN,Barry Word,WordBa00,1992-11-15,1992,11,DNP,0,0,0,0,0,0,0,0,0,0
59,KAN,Barry Word,WordBa00,1992-11-22,1992,12,REG,1,19,85,1,0,0,0,0,0,0
60,KAN,Barry Word,WordBa00,1992-11-29,1992,13,REG,1,13,30,0,1,1,9,0,0,0
61,KAN,Barry Word,WordBa00,1992-12-06,1992,14,REG,1,4,4,0,0,0,0,0,0,0
0,KAN,Barry Word,WordBa00,1992-12-13,1992,15,DNP,0,0,0,0,0,0,0,0,0,0
0,KAN,Barry Word,WordBa00,1992-12-19,1992,16,DNP,0,0,0,0,0,0,0,0,0,0
62,KAN,Barry Word,WordBa00,1992-12-27,1992,17,REG,1,5,4,0,2,1,7,0,0,0
