CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp,SUSP,INJ,Game Status,Injuries
1,BAL,Bernard Pierce,PierBe00,2012-09-10,2012,1,REG,0,4,19,0,0,0,0,0,12,0,0,0,,
2,BAL,Bernard Pierce,PierBe00,2012-09-16,2012,2,REG,0,3,4,0,0,0,0,0,7,1,0,0,,
3,BAL,Bernard Pierce,PierBe00,2012-09-23,2012,3,REG,0,4,17,0,1,1,10,0,15,0,0,0,,
4,BAL,Bernard Pierce,PierBe00,2012-09-27,2012,4,REG,0,6,48,0,0,0,0,0,10,0,0,0,,
5,BAL,Bernard Pierce,PierBe00,2012-10-07,2012,5,REG,0,2,13,0,0,0,0,0,6,4,0,0,,
6,BAL,Bernard Pierce,PierBe00,2012-10-14,2012,6,REG,0,4,21,0,1,1,6,0,5,5,0,0,,
7,BAL,Bernard Pierce,PierBe00,2012-10-21,2012,7,REG,0,0,0,0,0,0,0,0,4,0,0,0,,
0,BAL,Bernard Pierce,PierBe00,,2012,8,BYE,0,0,0,0,0,0,0,0,0,0,0,0,,
8,BAL,Bernard Pierce,PierBe00,2012-11-04,2012,9,REG,0,7,26,1,0,0,0,0,12,0,0,0,,
9,BAL,Bernard Pierce,PierBe00,2012-11-11,2012,10,REG,0,10,23,0,0,0,0,0,19,10,0,0,,
10,BAL,Bernard Pierce,PierBe00,2012-11-18,2012,11,REG,0,2,8,0,1,1,11,0,10,0,0,0,,
11,BAL,Bernard Pierce,PierBe00,2012-11-25,2012,12,REG,0,9,34,0,0,0,0,0,14,0,0,0,,
12,BAL,Bernard Pierce,PierBe00,2012-12-02,2012,13,REG,0,8,34,0,1,1,5,0,14,0,0,0,,
13,BAL,Bernard Pierce,PierBe00,2012-12-09,2012,14,REG,0,8,53,0,2,2,11,0,17,0,0,0,,
14,BAL,Bernard Pierce,PierBe00,2012-12-16,2012,15,REG,0,5,20,0,0,0,0,0,6,0,0,0,,
15,BAL,Bernard Pierce,PierBe00,2012-12-23,2012,16,REG,0,14,123,0,1,0,0,0,22,0,0,0,,
16,BAL,Bernard Pierce,PierBe00,2012-12-30,2012,17,REG,0,22,89,0,4,1,4,0,45,0,0,0,,
17,BAL,Bernard Pierce,PierBe00,2013-01-06,2012,18,POST,0,13,103,0,0,0,0,0,20,0,0,0,,
18,BAL,Bernard Pierce,PierBe00,2013-01-12,2012,19,POST,0,5,14,0,0,0,0,0,16,1,0,0,,
19,BAL,Bernard Pierce,PierBe00,2013-01-20,2012,20,POST,0,9,52,0,1,1,8,0,22,0,0,0,,
20,BAL,Bernard Pierce,PierBe00,2013-02-03,2012,21,POST,0,12,33,0,0,0,0,0,21,0,0,0,,
21,BAL,Bernard Pierce,PierBe00,2013-09-05,2013,1,REG,0,9,22,0,1,0,0,0,33,6,0,0,,
22,BAL,Bernard Pierce,PierBe00,2013-09-15,2013,2,REG,0,19,57,1,1,1,-2,0,35,0,0,0,,
23,BAL,Bernard Pierce,PierBe00,2013-09-22,2013,3,REG,1,24,65,1,2,2,7,0,50,0,0,0,,
24,BAL,Bernard Pierce,PierBe00,2013-09-29,2013,4,REG,0,4,7,0,1,1,2,0,20,0,0,0,,
25,BAL,Bernard Pierce,PierBe00,2013-10-06,2013,5,REG,0,11,46,0,0,0,0,0,18,0,0,0,,
26,BAL,Bernard Pierce,PierBe00,2013-10-13,2013,6,REG,0,6,9,0,2,2,22,0,19,0,0,0,,
27,BAL,Bernard Pierce,PierBe00,2013-10-20,2013,7,REG,0,6,13,0,1,1,9,0,15,0,0,0,,
0,BAL,Bernard Pierce,PierBe00,,2013,8,BYE,0,0,0,0,0,0,0,0,0,0,0,0,,
28,BAL,Bernard Pierce,PierBe00,2013-11-03,2013,9,REG,0,6,11,0,0,0,0,0,22,0,0,0,,
29,BAL,Bernard Pierce,PierBe00,2013-11-10,2013,10,REG,0,8,31,0,3,2,12,0,23,0,0,0,,
30,BAL,Bernard Pierce,PierBe00,2013-11-17,2013,11,REG,0,10,18,0,0,0,0,0,19,1,0,0,,
31,BAL,Bernard Pierce,PierBe00,2013-11-24,2013,12,REG,0,11,30,0,0,0,0,0,30,2,0,0,,
32,BAL,Bernard Pierce,PierBe00,2013-11-28,2013,13,REG,0,9,35,0,3,3,4,0,21,0,0,0,,
33,BAL,Bernard Pierce,PierBe00,2013-12-08,2013,14,REG,0,7,12,0,2,1,5,0,24,1,0,0,,
34,BAL,Bernard Pierce,PierBe00,2013-12-16,2013,15,REG,0,7,21,0,0,0,0,0,17,0,0,0,,
35,BAL,Bernard Pierce,PierBe00,2013-12-22,2013,16,REG,0,10,31,0,5,3,27,0,35,0,0,0,,
36,BAL,Bernard Pierce,PierBe00,2013-12-29,2013,17,REG,0,5,28,0,4,4,18,0,17,0,0,0,,
37,BAL,Bernard Pierce,PierBe00,2014-09-07,2014,1,REG,1,6,17,0,0,0,0,0,8,0,0,0,,
38,BAL,Bernard Pierce,PierBe00,2014-09-11,2014,2,REG,1,22,96,0,2,1,7,0,38,0,0,0,,
0,BAL,Bernard Pierce,PierBe00,2014-09-21,2014,3,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Questionable,Thigh
0,BAL,Bernard Pierce,PierBe00,2014-09-28,2014,4,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Probable,Thigh
39,BAL,Bernard Pierce,PierBe00,2014-10-05,2014,5,REG,0,4,30,0,0,0,0,0,6,0,0,0,,
40,BAL,Bernard Pierce,PierBe00,2014-10-12,2014,6,REG,0,15,32,1,0,0,0,0,23,0,0,0,,
41,BAL,Bernard Pierce,PierBe00,2014-10-19,2014,7,REG,0,8,21,1,1,0,0,0,17,0,0,0,,
0,BAL,Bernard Pierce,PierBe00,2014-10-26,2014,8,DNP,0,0,0,0,0,0,0,0,0,0,0,0,,
42,BAL,Bernard Pierce,PierBe00,2014-11-02,2014,9,REG,0,1,2,0,0,0,0,0,1,0,0,0,,
43,BAL,Bernard Pierce,PierBe00,2014-11-09,2014,10,REG,0,8,31,0,0,0,0,0,13,0,0,0,,
0,BAL,Bernard Pierce,PierBe00,,2014,11,BYE,0,0,0,0,0,0,0,0,0,0,0,0,,
44,BAL,Bernard Pierce,PierBe00,2014-11-24,2014,12,REG,0,7,28,0,1,1,6,0,12,0,0,0,,
45,BAL,Bernard Pierce,PierBe00,2014-11-30,2014,13,REG,0,6,16,0,1,0,0,0,9,0,0,0,,
46,BAL,Bernard Pierce,PierBe00,2014-12-07,2014,14,REG,0,3,50,0,0,0,0,0,7,2,0,0,,
47,BAL,Bernard Pierce,PierBe00,2014-12-14,2014,15,REG,0,6,37,0,1,0,0,0,13,0,0,0,,
48,BAL,Bernard Pierce,PierBe00,2014-12-21,2014,16,REG,0,1,-2,0,0,0,0,0,3,0,0,0,,
49,BAL,Bernard Pierce,PierBe00,2014-12-28,2014,17,REG,0,6,8,0,0,0,0,0,9,0,0,0,,
50,BAL,Bernard Pierce,PierBe00,2015-01-03,2014,18,POST,0,1,5,1,0,0,0,0,4,0,0,0,,
51,BAL,Bernard Pierce,PierBe00,2015-01-10,2014,19,POST,0,1,2,0,0,0,0,0,4,0,0,0,,
52,JAX,Bernard Pierce,PierBe00,2015-09-13,2015,1,REG,0,0,0,0,2,1,4,0,8,16,0,0,,
53,JAX,Bernard Pierce,PierBe00,2015-09-20,2015,2,REG,0,3,4,0,0,0,0,0,8,23,0,0,,
54,JAX,Bernard Pierce,PierBe00,2015-09-27,2015,3,REG,0,1,1,0,3,2,3,0,10,19,0,0,,
55,JAX,Bernard Pierce,PierBe00,2015-10-04,2015,4,REG,0,0,0,0,0,0,0,0,1,23,0,0,,
56,JAX,Bernard Pierce,PierBe00,2015-10-11,2015,5,REG,0,2,6,0,0,0,0,0,2,10,0,0,,
0,JAX,Bernard Pierce,PierBe00,2015-10-18,2015,6,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,"Concussion, Hamstring"
57,JAX,Bernard Pierce,PierBe00,2015-10-25,2015,7,REG,0,0,0,0,0,0,0,0,0,21,0,0,,
0,JAX,Bernard Pierce,PierBe00,,2015,8,BYE,0,0,0,0,0,0,0,0,0,0,0,0,,
58,JAX,Bernard Pierce,PierBe00,2015-11-08,2015,9,REG,0,0,0,0,0,0,0,0,0,15,0,0,,
0,JAX,Bernard Pierce,PierBe00,2015-11-15,2015,10,DNP,0,0,0,0,0,0,0,0,0,0,0,0,,
0,JAX,Bernard Pierce,PierBe00,2015-11-19,2015,11,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Doubtful,Calf
0,JAX,Bernard Pierce,PierBe00,2015-11-29,2015,12,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Doubtful,Calf
0,JAX,Bernard Pierce,PierBe00,2015-12-06,2015,13,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Questionable,Calf
