CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp,SUSP,INJ,Game Status,Injuries
0,RAI,Bo Jackson,JackBo00,1987-09-13,1987,1,DNP,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
0,RAI,Bo Jackson,JackBo00,1987-09-20,1987,2,DNP,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
0,RAI,Bo Jackson,JackBo00,1987-10-04,1987,4,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,RAI,Bo Jackson,JackBo00,1987-10-12,1987,5,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,RAI,Bo Jackson,JackBo00,1987-10-18,1987,6,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,RAI,Bo Jackson,JackBo00,1987-10-25,1987,7,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
1,RAI,Bo Jackson,JackBo00,1987-11-01,1987,8,REG,0,8,37,0,2,1,6,0,0,0,0,0,nan,nan
2,RAI,Bo Jackson,JackBo00,1987-11-08,1987,9,REG,0,12,74,0,2,1,7,0,0,0,0,0,nan,nan
3,RAI,Bo Jackson,JackBo00,1987-11-15,1987,10,REG,1,8,45,0,4,3,26,0,0,0,0,0,nan,nan
4,RAI,Bo Jackson,JackBo00,1987-11-22,1987,11,REG,1,13,98,2,6,5,20,0,0,0,0,0,nan,nan
5,RAI,Bo Jackson,JackBo00,1987-11-30,1987,12,REG,1,18,221,2,2,1,14,1,0,0,0,0,nan,nan
6,RAI,Bo Jackson,JackBo00,1987-12-06,1987,13,REG,1,19,78,0,4,4,59,1,0,0,0,0,nan,nan
7,RAI,Bo Jackson,JackBo00,1987-12-13,1987,14,REG,1,3,1,0,1,1,4,0,0,0,0,0,nan,nan
0,RAI,Bo Jackson,JackBo00,1987-12-20,1987,15,DNP,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
0,RAI,Bo Jackson,JackBo00,1987-12-27,1987,16,DNP,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
0,RAI,Bo Jackson,JackBo00,1988-09-04,1988,1,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,RAI,Bo Jackson,JackBo00,1988-09-11,1988,2,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,RAI,Bo Jackson,JackBo00,1988-09-18,1988,3,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,RAI,Bo Jackson,JackBo00,1988-09-26,1988,4,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,RAI,Bo Jackson,JackBo00,1988-10-02,1988,5,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,RAI,Bo Jackson,JackBo00,1988-10-09,1988,6,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
8,RAI,Bo Jackson,JackBo00,1988-10-16,1988,7,REG,0,21,70,1,3,2,10,0,0,0,0,0,nan,nan
9,RAI,Bo Jackson,JackBo00,1988-10-23,1988,8,REG,1,2,45,0,0,0,0,0,0,0,0,0,nan,nan
10,RAI,Bo Jackson,JackBo00,1988-10-30,1988,9,REG,1,17,80,1,2,1,12,0,0,0,0,0,nan,nan
11,RAI,Bo Jackson,JackBo00,1988-11-06,1988,10,REG,1,16,64,0,2,2,16,0,0,0,0,0,nan,nan
12,RAI,Bo Jackson,JackBo00,1988-11-13,1988,11,REG,1,18,85,0,3,0,0,0,0,0,0,0,nan,nan
13,RAI,Bo Jackson,JackBo00,1988-11-20,1988,12,REG,1,9,25,0,5,1,27,0,0,0,0,0,nan,nan
14,RAI,Bo Jackson,JackBo00,1988-11-28,1988,13,REG,1,13,31,0,0,0,0,0,0,0,0,0,nan,nan
15,RAI,Bo Jackson,JackBo00,1988-12-04,1988,14,REG,1,14,49,1,0,0,0,0,0,0,0,0,nan,nan
16,RAI,Bo Jackson,JackBo00,1988-12-11,1988,15,REG,1,12,64,0,0,0,0,0,0,0,0,0,nan,nan
17,RAI,Bo Jackson,JackBo00,1988-12-18,1988,16,REG,1,14,67,0,5,3,14,0,0,0,0,0,nan,nan
0,RAI,Bo Jackson,JackBo00,1989-09-10,1989,1,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,RAI,Bo Jackson,JackBo00,1989-09-17,1989,2,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,RAI,Bo Jackson,JackBo00,1989-09-24,1989,3,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,RAI,Bo Jackson,JackBo00,1989-10-01,1989,4,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,RAI,Bo Jackson,JackBo00,1989-10-09,1989,5,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
18,RAI,Bo Jackson,JackBo00,1989-10-15,1989,6,REG,0,11,85,1,1,0,0,0,0,0,0,0,nan,nan
19,RAI,Bo Jackson,JackBo00,1989-10-22,1989,7,REG,0,20,79,0,3,1,-3,0,0,0,0,0,nan,nan
20,RAI,Bo Jackson,JackBo00,1989-10-29,1989,8,REG,1,19,144,1,2,0,0,0,0,0,0,0,nan,nan
21,RAI,Bo Jackson,JackBo00,1989-11-05,1989,9,REG,1,13,159,2,1,0,0,0,0,0,0,0,nan,nan
22,RAI,Bo Jackson,JackBo00,1989-11-12,1989,10,REG,1,21,103,0,2,2,18,0,0,0,0,0,nan,nan
23,RAI,Bo Jackson,JackBo00,1989-11-19,1989,11,REG,1,11,54,0,4,2,5,0,0,0,0,0,nan,nan
24,RAI,Bo Jackson,JackBo00,1989-11-26,1989,12,REG,1,20,64,0,3,2,35,0,0,0,0,0,nan,nan
25,RAI,Bo Jackson,JackBo00,1989-12-03,1989,13,REG,1,14,44,0,1,0,0,0,0,0,0,0,nan,nan
26,RAI,Bo Jackson,JackBo00,1989-12-10,1989,14,REG,1,22,114,0,0,0,0,0,0,0,0,0,nan,nan
27,RAI,Bo Jackson,JackBo00,1989-12-17,1989,15,REG,1,12,69,0,0,0,0,0,0,0,0,0,nan,nan
28,RAI,Bo Jackson,JackBo00,1989-12-24,1989,16,REG,1,10,35,0,3,2,14,0,0,0,0,0,nan,nan
0,RAI,Bo Jackson,JackBo00,1990-09-09,1990,1,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,RAI,Bo Jackson,JackBo00,1990-09-16,1990,2,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,RAI,Bo Jackson,JackBo00,1990-09-23,1990,3,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,RAI,Bo Jackson,JackBo00,1990-09-30,1990,4,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,RAI,Bo Jackson,JackBo00,1990-10-07,1990,5,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,RAI,Bo Jackson,JackBo00,1990-10-14,1990,6,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
29,RAI,Bo Jackson,JackBo00,1990-10-21,1990,7,REG,0,12,53,2,0,0,0,0,0,0,0,0,nan,nan
0,RAI,Bo Jackson,JackBo00,1970-01-01,1990,8,BYE,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
30,RAI,Bo Jackson,JackBo00,1990-11-04,1990,9,REG,0,10,40,0,1,0,0,0,0,0,0,0,nan,nan
31,RAI,Bo Jackson,JackBo00,1990-11-11,1990,10,REG,0,10,25,0,3,2,24,0,0,0,0,0,nan,nan
32,RAI,Bo Jackson,JackBo00,1990-11-19,1990,11,REG,0,17,99,0,0,0,0,0,0,0,0,0,nan,nan
33,RAI,Bo Jackson,JackBo00,1990-11-25,1990,12,REG,0,9,25,0,3,1,13,0,0,0,0,0,nan,nan
34,RAI,Bo Jackson,JackBo00,1990-12-02,1990,13,REG,0,13,117,2,0,0,0,0,0,0,0,0,nan,nan
35,RAI,Bo Jackson,JackBo00,1990-12-10,1990,14,REG,0,18,129,1,1,0,0,0,0,0,0,0,nan,nan
36,RAI,Bo Jackson,JackBo00,1990-12-16,1990,15,REG,0,8,117,0,0,0,0,0,0,0,0,0,nan,nan
37,RAI,Bo Jackson,JackBo00,1990-12-22,1990,16,REG,0,17,65,0,0,0,0,0,0,0,0,0,nan,nan
38,RAI,Bo Jackson,JackBo00,1990-12-30,1990,17,REG,0,11,28,0,4,3,31,0,0,0,0,0,nan,nan
39,RAI,Bo Jackson,JackBo00,1991-01-13,1990,19,POST,0,6,77,0,0,0,0,0,0,0,0,0,nan,nan
