CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp,SUSP,INJ,Game Status,Injuries
1,CHI,Brad Muster,MustBr00,1988-09-04,1988,1,REG,0,3,7,0,1,0,0,0,0,0,0,0,nan,nan
2,CHI,Brad Muster,MustBr00,1988-09-11,1988,2,REG,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
3,CHI,Brad Muster,MustBr00,1988-09-18,1988,3,REG,0,1,14,0,3,2,9,0,0,0,0,0,nan,nan
4,CHI,Brad Muster,MustBr00,1988-09-25,1988,4,REG,0,3,11,0,0,0,0,0,0,0,0,0,nan,nan
5,CHI,Brad Muster,MustBr00,1988-10-02,1988,5,REG,0,6,25,0,1,1,10,0,0,0,0,0,nan,nan
6,CHI,Brad Muster,MustBr00,1988-10-09,1988,6,REG,0,4,15,0,4,3,21,0,0,0,0,0,nan,nan
7,CHI,Brad Muster,MustBr00,1988-10-16,1988,7,REG,0,1,11,0,5,3,26,0,0,0,0,0,nan,nan
8,CHI,Brad Muster,MustBr00,1988-10-24,1988,8,REG,0,5,10,0,0,0,0,0,0,0,0,0,nan,nan
9,CHI,Brad Muster,MustBr00,1988-10-30,1988,9,REG,0,1,15,0,3,2,30,0,0,0,0,0,nan,nan
10,CHI,Brad Muster,MustBr00,1988-11-06,1988,10,REG,0,2,4,0,2,1,9,0,0,0,0,0,nan,nan
11,CHI,Brad Muster,MustBr00,1988-11-13,1988,11,REG,0,3,13,0,0,0,0,0,0,0,0,0,nan,nan
12,CHI,Brad Muster,MustBr00,1988-11-20,1988,12,REG,0,3,17,0,2,1,40,1,0,0,0,0,nan,nan
13,CHI,Brad Muster,MustBr00,1988-11-27,1988,13,REG,0,6,17,0,3,2,13,0,0,0,0,0,nan,nan
14,CHI,Brad Muster,MustBr00,1988-12-05,1988,14,REG,0,0,0,0,5,4,35,0,0,0,0,0,nan,nan
15,CHI,Brad Muster,MustBr00,1988-12-11,1988,15,REG,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
16,CHI,Brad Muster,MustBr00,1988-12-19,1988,16,REG,0,6,38,0,3,2,43,0,0,0,0,0,nan,nan
0,CHI,Brad Muster,MustBr00,1988-12-31,1988,17,DNP,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
17,CHI,Brad Muster,MustBr00,1988-12-31,1988,18,POST,0,6,12,0,0,0,0,0,0,0,0,0,nan,nan
18,CHI,Brad Muster,MustBr00,1989-01-08,1988,19,POST,0,1,2,0,3,1,9,0,0,0,0,0,nan,nan
19,CHI,Brad Muster,MustBr00,1989-09-10,1989,1,REG,1,4,11,0,1,1,4,0,0,0,0,0,nan,nan
20,CHI,Brad Muster,MustBr00,1989-09-17,1989,2,REG,1,3,-5,0,5,1,1,0,0,0,0,0,nan,nan
21,CHI,Brad Muster,MustBr00,1989-09-24,1989,3,REG,1,10,73,1,4,3,11,1,0,0,0,0,nan,nan
22,CHI,Brad Muster,MustBr00,1989-10-02,1989,4,REG,1,1,1,0,1,0,0,0,0,0,0,0,nan,nan
23,CHI,Brad Muster,MustBr00,1989-10-08,1989,5,REG,1,0,0,0,3,2,8,0,0,0,0,0,nan,nan
24,CHI,Brad Muster,MustBr00,1989-10-15,1989,6,REG,1,4,16,0,0,0,0,0,0,0,0,0,nan,nan
25,CHI,Brad Muster,MustBr00,1989-10-23,1989,7,REG,1,10,48,0,3,2,12,0,0,0,0,0,nan,nan
26,CHI,Brad Muster,MustBr00,1989-10-29,1989,8,REG,1,9,33,1,6,4,44,0,0,0,0,0,nan,nan
27,CHI,Brad Muster,MustBr00,1989-11-05,1989,9,REG,1,8,16,1,6,6,68,0,0,0,0,0,nan,nan
28,CHI,Brad Muster,MustBr00,1989-11-12,1989,10,REG,1,8,25,0,4,3,31,1,0,0,0,0,nan,nan
29,CHI,Brad Muster,MustBr00,1989-11-19,1989,11,REG,1,4,18,0,3,2,27,0,0,0,0,0,nan,nan
30,CHI,Brad Muster,MustBr00,1989-11-26,1989,12,REG,1,3,9,0,1,1,6,0,0,0,0,0,nan,nan
31,CHI,Brad Muster,MustBr00,1989-12-03,1989,13,REG,1,3,23,0,0,0,0,0,0,0,0,0,nan,nan
32,CHI,Brad Muster,MustBr00,1989-12-10,1989,14,REG,1,3,17,1,6,3,31,0,0,0,0,0,nan,nan
33,CHI,Brad Muster,MustBr00,1989-12-17,1989,15,REG,1,8,35,1,2,2,11,1,0,0,0,0,nan,nan
34,CHI,Brad Muster,MustBr00,1989-12-24,1989,16,REG,1,4,7,0,3,2,5,0,0,0,0,0,nan,nan
35,CHI,Brad Muster,MustBr00,1990-09-09,1990,1,REG,1,4,17,0,4,3,33,0,0,0,0,0,nan,nan
36,CHI,Brad Muster,MustBr00,1990-09-16,1990,2,REG,1,5,19,0,0,0,0,0,0,0,0,0,nan,nan
37,CHI,Brad Muster,MustBr00,1990-09-23,1990,3,REG,1,14,90,0,3,1,12,0,0,0,0,0,nan,nan
38,CHI,Brad Muster,MustBr00,1990-09-30,1990,4,REG,0,3,9,0,4,3,27,0,0,0,0,0,nan,nan
39,CHI,Brad Muster,MustBr00,1990-10-07,1990,5,REG,1,11,27,0,9,5,51,0,0,0,0,0,nan,nan
40,CHI,Brad Muster,MustBr00,1990-10-14,1990,6,REG,1,7,39,1,4,2,27,0,0,0,0,0,nan,nan
0,CHI,Brad Muster,MustBr00,,1990,7,BYE,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
41,CHI,Brad Muster,MustBr00,1990-10-28,1990,8,REG,1,12,99,0,1,1,6,0,0,0,0,0,nan,nan
42,CHI,Brad Muster,MustBr00,1990-11-04,1990,9,REG,1,9,78,1,6,4,43,0,0,0,0,0,nan,nan
43,CHI,Brad Muster,MustBr00,1990-11-11,1990,10,REG,1,11,21,1,5,3,25,0,0,0,0,0,nan,nan
44,CHI,Brad Muster,MustBr00,1990-11-18,1990,11,REG,1,11,48,1,8,6,47,0,0,0,0,0,nan,nan
45,CHI,Brad Muster,MustBr00,1990-11-25,1990,12,REG,1,8,43,0,3,3,26,0,0,0,0,0,nan,nan
46,CHI,Brad Muster,MustBr00,1990-12-02,1990,13,REG,1,14,70,1,8,7,50,0,0,0,0,0,nan,nan
47,CHI,Brad Muster,MustBr00,1990-12-09,1990,14,REG,1,9,23,0,2,2,11,0,0,0,0,0,nan,nan
48,CHI,Brad Muster,MustBr00,1990-12-16,1990,15,REG,1,4,15,1,3,2,1,0,0,0,0,0,nan,nan
49,CHI,Brad Muster,MustBr00,1990-12-23,1990,16,REG,1,14,50,0,7,5,93,0,0,0,0,0,nan,nan
50,CHI,Brad Muster,MustBr00,1990-12-29,1990,17,REG,1,5,16,0,1,0,0,0,0,0,0,0,nan,nan
51,CHI,Brad Muster,MustBr00,1991-01-06,1990,18,POST,1,12,71,0,3,2,21,0,0,0,0,0,nan,nan
52,CHI,Brad Muster,MustBr00,1991-01-13,1990,19,POST,1,4,8,0,5,3,21,0,0,0,0,0,nan,nan
0,CHI,Brad Muster,MustBr00,1991-09-01,1991,1,DNP,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
0,CHI,Brad Muster,MustBr00,1991-09-08,1991,2,DNP,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
53,CHI,Brad Muster,MustBr00,1991-09-15,1991,3,REG,1,3,8,0,6,5,29,0,0,0,0,0,nan,nan
54,CHI,Brad Muster,MustBr00,1991-09-23,1991,4,REG,1,0,0,0,0,0,0,0,0,0,0,0,nan,nan
0,CHI,Brad Muster,MustBr00,1991-09-29,1991,5,DNP,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
0,CHI,Brad Muster,MustBr00,1991-10-06,1991,6,DNP,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
0,CHI,Brad Muster,MustBr00,,1991,7,BYE,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
55,CHI,Brad Muster,MustBr00,1991-10-17,1991,8,REG,1,9,30,0,3,3,24,0,0,0,0,0,nan,nan
56,CHI,Brad Muster,MustBr00,1991-10-27,1991,9,REG,1,10,57,1,2,0,0,0,0,0,0,0,nan,nan
57,CHI,Brad Muster,MustBr00,1991-11-03,1991,10,REG,1,10,22,0,5,4,41,0,0,0,0,0,nan,nan
58,CHI,Brad Muster,MustBr00,1991-11-11,1991,11,REG,1,11,56,0,4,3,41,0,0,0,0,0,nan,nan
59,CHI,Brad Muster,MustBr00,1991-11-17,1991,12,REG,1,15,101,1,8,6,44,1,0,0,0,0,nan,nan
60,CHI,Brad Muster,MustBr00,1991-11-24,1991,13,REG,1,8,54,1,7,6,26,0,0,0,0,0,nan,nan
0,CHI,Brad Muster,MustBr00,1991-11-28,1991,14,DNP,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
61,CHI,Brad Muster,MustBr00,1991-12-08,1991,15,REG,1,9,44,2,2,2,23,0,0,0,0,0,nan,nan
62,CHI,Brad Muster,MustBr00,1991-12-14,1991,16,REG,1,12,34,1,3,1,19,0,0,0,0,0,nan,nan
63,CHI,Brad Muster,MustBr00,1991-12-23,1991,17,REG,1,3,6,0,5,5,40,0,0,0,0,0,nan,nan
64,CHI,Brad Muster,MustBr00,1991-12-29,1991,18,POST,1,5,25,0,0,0,0,0,0,0,0,0,nan,nan
65,CHI,Brad Muster,MustBr00,1992-09-06,1992,1,REG,1,5,16,0,3,3,31,0,0,0,0,0,nan,nan
66,CHI,Brad Muster,MustBr00,1992-09-13,1992,2,REG,1,7,37,0,3,2,36,0,0,0,0,0,nan,nan
67,CHI,Brad Muster,MustBr00,1992-09-21,1992,3,REG,1,4,20,0,4,3,61,1,0,0,0,0,nan,nan
68,CHI,Brad Muster,MustBr00,1992-09-27,1992,4,REG,1,10,96,1,4,3,51,0,0,0,0,0,nan,nan
69,CHI,Brad Muster,MustBr00,1992-10-04,1992,5,REG,1,8,16,0,3,2,18,0,0,0,0,0,nan,nan
0,CHI,Brad Muster,MustBr00,,1992,6,BYE,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
70,CHI,Brad Muster,MustBr00,1992-10-18,1992,7,REG,1,10,20,1,5,3,52,1,0,0,0,0,nan,nan
71,CHI,Brad Muster,MustBr00,1992-10-25,1992,8,REG,1,11,23,1,2,2,18,0,0,0,0,0,nan,nan
72,CHI,Brad Muster,MustBr00,1992-11-02,1992,9,REG,1,5,27,0,2,2,13,0,0,0,0,0,nan,nan
73,CHI,Brad Muster,MustBr00,1992-11-08,1992,10,REG,1,5,4,0,1,0,0,0,0,0,0,0,nan,nan
74,CHI,Brad Muster,MustBr00,1992-11-15,1992,11,REG,1,1,5,0,0,0,0,0,0,0,0,0,nan,nan
75,CHI,Brad Muster,MustBr00,1992-11-22,1992,12,REG,1,4,20,0,8,5,25,0,0,0,0,0,nan,nan
76,CHI,Brad Muster,MustBr00,1992-11-29,1992,13,REG,1,5,25,0,5,5,64,0,0,0,0,0,nan,nan
77,CHI,Brad Muster,MustBr00,1992-12-07,1992,14,REG,1,10,54,0,2,1,6,0,0,0,0,0,nan,nan
78,CHI,Brad Muster,MustBr00,1992-12-13,1992,15,REG,1,8,27,0,2,2,6,0,0,0,0,0,nan,nan
79,CHI,Brad Muster,MustBr00,1992-12-20,1992,16,REG,1,3,19,0,1,1,8,0,0,0,0,0,nan,nan
80,CHI,Brad Muster,MustBr00,1992-12-27,1992,17,REG,1,2,5,0,0,0,0,0,0,0,0,0,nan,nan
0,NOR,Brad Muster,MustBr00,1993-09-05,1993,1,DNP,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
0,NOR,Brad Muster,MustBr00,1993-09-12,1993,2,DNP,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
0,NOR,Brad Muster,MustBr00,1993-09-19,1993,3,DNP,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
81,NOR,Brad Muster,MustBr00,1993-09-26,1993,4,REG,1,2,7,0,3,2,14,0,0,0,0,0,nan,nan
82,NOR,Brad Muster,MustBr00,1993-10-03,1993,5,REG,1,6,19,0,0,0,0,0,0,0,0,0,nan,nan
0,NOR,Brad Muster,MustBr00,,1993,6,BYE,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
83,NOR,Brad Muster,MustBr00,1993-10-17,1993,7,REG,0,2,5,0,2,0,0,0,0,0,0,0,nan,nan
84,NOR,Brad Muster,MustBr00,1993-10-24,1993,8,REG,1,1,0,0,1,1,31,0,0,0,0,0,nan,nan
85,NOR,Brad Muster,MustBr00,1993-10-31,1993,9,REG,1,7,23,1,4,3,34,0,0,0,0,0,nan,nan
0,NOR,Brad Muster,MustBr00,,1993,10,BYE,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
86,NOR,Brad Muster,MustBr00,1993-11-14,1993,11,REG,1,9,22,0,1,1,11,0,0,0,0,0,nan,nan
87,NOR,Brad Muster,MustBr00,1993-11-22,1993,12,REG,1,6,38,0,5,3,21,0,0,0,0,0,nan,nan
88,NOR,Brad Muster,MustBr00,1993-11-28,1993,13,REG,1,3,7,0,0,0,0,0,0,0,0,0,nan,nan
89,NOR,Brad Muster,MustBr00,1993-12-05,1993,14,REG,1,1,2,0,0,0,0,0,0,0,0,0,nan,nan
