CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,SFO,Carlos Hyde,HydeCa00,2014-09-07,2014,1,REG,0,7,50,1,0,0,0,0,15,4
2,SFO,Carlos Hyde,HydeCa00,2014-09-14,2014,2,REG,0,4,0,0,2,1,5,0,20,1
3,SFO,Carlos Hyde,HydeCa00,2014-09-21,2014,3,REG,0,3,13,1,2,2,-2,0,17,1
4,SFO,Carlos Hyde,HydeCa00,2014-09-28,2014,4,REG,0,10,26,0,1,0,0,0,23,0
5,SFO,Carlos Hyde,HydeCa00,2014-10-05,2014,5,REG,0,10,43,0,1,0,0,0,30,0
6,SFO,Carlos Hyde,HydeCa00,2014-10-13,2014,6,REG,0,11,14,0,1,1,1,0,31,2
7,SFO,Carlos Hyde,HydeCa00,2014-10-19,2014,7,REG,0,3,15,0,2,2,8,0,23,0
0,SFO,Carlos Hyde,HydeCa00,,2014,8,BYE,0,0,0,0,0,0,0,0,0,0
8,SFO,Carlos Hyde,HydeCa00,2014-11-02,2014,9,REG,0,2,17,0,2,1,5,0,29,0
9,SFO,Carlos Hyde,HydeCa00,2014-11-09,2014,10,REG,0,4,36,1,0,0,0,0,13,3
10,SFO,Carlos Hyde,HydeCa00,2014-11-16,2014,11,REG,0,9,25,0,1,1,5,0,22,3
11,SFO,Carlos Hyde,HydeCa00,2014-11-23,2014,12,REG,0,7,16,1,0,0,0,0,15,4
12,SFO,Carlos Hyde,HydeCa00,2014-11-27,2014,13,REG,0,5,19,0,3,3,38,0,17,6
13,SFO,Carlos Hyde,HydeCa00,2014-12-07,2014,14,REG,0,2,4,0,1,1,8,0,20,0
14,SFO,Carlos Hyde,HydeCa00,2014-12-14,2014,15,REG,0,6,55,0,0,0,0,0,17,0
0,SFO,Carlos Hyde,HydeCa00,2014-12-20,2014,16,DNP,0,0,0,0,0,0,0,0,0,0
0,SFO,Carlos Hyde,HydeCa00,2014-12-28,2014,17,DNP,0,0,0,0,0,0,0,0,0,0
15,SFO,Carlos Hyde,HydeCa00,2015-09-14,2015,1,REG,1,26,168,2,2,2,14,0,53,0
16,SFO,Carlos Hyde,HydeCa00,2015-09-20,2015,2,REG,1,13,43,0,4,4,18,0,44,0
17,SFO,Carlos Hyde,HydeCa00,2015-09-27,2015,3,REG,1,15,51,0,1,1,10,0,30,0
18,SFO,Carlos Hyde,HydeCa00,2015-10-04,2015,4,REG,1,8,20,0,1,1,2,0,37,0
19,SFO,Carlos Hyde,HydeCa00,2015-10-11,2015,5,REG,1,21,93,1,5,1,4,0,61,0
20,SFO,Carlos Hyde,HydeCa00,2015-10-18,2015,6,REG,1,21,55,0,2,2,5,0,47,0
21,SFO,Carlos Hyde,HydeCa00,2015-10-22,2015,7,REG,1,11,40,0,0,0,0,0,20,0
0,SFO,Carlos Hyde,HydeCa00,2015-11-01,2015,8,DNP,0,0,0,0,0,0,0,0,0,0
0,SFO,Carlos Hyde,HydeCa00,2015-11-08,2015,9,DNP,0,0,0,0,0,0,0,0,0,0
0,SFO,Carlos Hyde,HydeCa00,,2015,10,BYE,0,0,0,0,0,0,0,0,0,0
0,SFO,Carlos Hyde,HydeCa00,2015-11-22,2015,11,DNP,0,0,0,0,0,0,0,0,0,0
0,SFO,Carlos Hyde,HydeCa00,2015-11-29,2015,12,DNP,0,0,0,0,0,0,0,0,0,0
0,SFO,Carlos Hyde,HydeCa00,2015-12-06,2015,13,DNP,0,0,0,0,0,0,0,0,0,0
0,SFO,Carlos Hyde,HydeCa00,2015-12-13,2015,14,DNP,0,0,0,0,0,0,0,0,0,0
0,SFO,Carlos Hyde,HydeCa00,2015-12-20,2015,15,DNP,0,0,0,0,0,0,0,0,0,0
0,SFO,Carlos Hyde,HydeCa00,2015-12-27,2015,16,DNP,0,0,0,0,0,0,0,0,0,0
0,SFO,Carlos Hyde,HydeCa00,2016-01-03,2015,17,DNP,0,0,0,0,0,0,0,0,0,0
22,SFO,Carlos Hyde,HydeCa00,2016-09-12,2016,1,REG,1,23,88,2,3,2,5,0,57,0
23,SFO,Carlos Hyde,HydeCa00,2016-09-18,2016,2,REG,1,14,34,0,3,3,18,0,39,0
24,SFO,Carlos Hyde,HydeCa00,2016-09-25,2016,3,REG,1,21,103,2,1,1,2,0,41,0
25,SFO,Carlos Hyde,HydeCa00,2016-10-02,2016,4,REG,1,15,74,1,1,1,5,0,44,0
26,SFO,Carlos Hyde,HydeCa00,2016-10-06,2016,5,REG,1,22,78,1,6,6,36,0,64,0
27,SFO,Carlos Hyde,HydeCa00,2016-10-16,2016,6,REG,1,14,52,0,0,0,0,0,32,0
0,SFO,Carlos Hyde,HydeCa00,2016-10-23,2016,7,DNP,0,0,0,0,0,0,0,0,0,0
0,SFO,Carlos Hyde,HydeCa00,,2016,8,BYE,0,0,0,0,0,0,0,0,0,0
0,SFO,Carlos Hyde,HydeCa00,2016-11-06,2016,9,DNP,0,0,0,0,0,0,0,0,0,0
28,SFO,Carlos Hyde,HydeCa00,2016-11-13,2016,10,REG,1,13,14,0,1,0,0,0,42,0
29,SFO,Carlos Hyde,HydeCa00,2016-11-20,2016,11,REG,1,19,86,0,3,3,24,0,41,0
30,SFO,Carlos Hyde,HydeCa00,2016-11-27,2016,12,REG,1,13,65,0,6,5,30,1,49,0
31,SFO,Carlos Hyde,HydeCa00,2016-12-04,2016,13,REG,1,20,92,0,2,1,6,0,33,0
32,SFO,Carlos Hyde,HydeCa00,2016-12-11,2016,14,REG,1,17,193,0,1,1,7,1,30,0
33,SFO,Carlos Hyde,HydeCa00,2016-12-18,2016,15,REG,1,13,71,0,3,1,6,0,34,0
