CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,CHI,Cedric Benson,BensCe00,2005-09-11,2005,1,REG,0,3,10,0,0,0,0,0,0,0
2,CHI,Cedric Benson,BensCe00,2005-09-18,2005,2,REG,0,16,49,0,0,0,0,0,0,0
0,CHI,Cedric Benson,BensCe00,2005-09-25,2005,3,DNP,0,0,0,0,0,0,0,0,0,0
0,CHI,Cedric Benson,BensCe00,,2005,4,BYE,0,0,0,0,0,0,0,0,0,0
3,CHI,Cedric Benson,BensCe00,2005-10-09,2005,5,REG,0,5,6,0,0,0,0,0,0,0
4,CHI,Cedric Benson,BensCe00,2005-10-16,2005,6,REG,0,3,2,0,0,0,0,0,0,0
5,CHI,Cedric Benson,BensCe00,2005-10-23,2005,7,REG,0,2,6,0,0,0,0,0,0,0
6,CHI,Cedric Benson,BensCe00,2005-10-30,2005,8,REG,0,3,35,0,0,0,0,0,0,0
7,CHI,Cedric Benson,BensCe00,2005-11-06,2005,9,REG,0,14,79,0,0,0,0,0,0,0
8,CHI,Cedric Benson,BensCe00,2005-11-13,2005,10,REG,1,12,50,0,0,0,0,0,0,0
0,CHI,Cedric Benson,BensCe00,2005-11-20,2005,11,DNP,0,0,0,0,0,0,0,0,0,0
0,CHI,Cedric Benson,BensCe00,2005-11-27,2005,12,DNP,0,0,0,0,0,0,0,0,0,0
0,CHI,Cedric Benson,BensCe00,2005-12-04,2005,13,DNP,0,0,0,0,0,0,0,0,0,0
0,CHI,Cedric Benson,BensCe00,2005-12-11,2005,14,DNP,0,0,0,0,0,0,0,0,0,0
0,CHI,Cedric Benson,BensCe00,2005-12-18,2005,15,DNP,0,0,0,0,0,0,0,0,0,0
0,CHI,Cedric Benson,BensCe00,2005-12-25,2005,16,DNP,0,0,0,0,0,0,0,0,0,0
9,CHI,Cedric Benson,BensCe00,2006-01-01,2005,17,REG,0,9,35,0,1,1,3,0,0,0
10,CHI,Cedric Benson,BensCe00,2006-09-10,2006,1,REG,0,11,34,0,1,0,0,0,0,0
11,CHI,Cedric Benson,BensCe00,2006-09-17,2006,2,REG,0,10,25,0,0,0,0,0,0,0
0,CHI,Cedric Benson,BensCe00,2006-09-24,2006,3,DNP,0,0,0,0,0,0,0,0,0,0
12,CHI,Cedric Benson,BensCe00,2006-10-01,2006,4,REG,0,11,37,0,0,0,0,0,0,0
13,CHI,Cedric Benson,BensCe00,2006-10-08,2006,5,REG,0,14,48,2,2,2,14,0,0,0
14,CHI,Cedric Benson,BensCe00,2006-10-16,2006,6,REG,0,1,4,0,1,1,8,0,0,0
0,CHI,Cedric Benson,BensCe00,,2006,7,BYE,0,0,0,0,0,0,0,0,0,0
15,CHI,Cedric Benson,BensCe00,2006-10-29,2006,8,REG,0,8,26,1,1,1,3,0,0,0
16,CHI,Cedric Benson,BensCe00,2006-11-05,2006,9,REG,0,8,34,0,0,0,0,0,0,0
17,CHI,Cedric Benson,BensCe00,2006-11-12,2006,10,REG,0,6,7,0,1,1,-1,0,0,0
18,CHI,Cedric Benson,BensCe00,2006-11-19,2006,11,REG,0,10,51,0,0,0,0,0,0,0
19,CHI,Cedric Benson,BensCe00,2006-11-26,2006,12,REG,0,10,46,1,0,0,0,0,0,0
20,CHI,Cedric Benson,BensCe00,2006-12-03,2006,13,REG,0,9,60,1,0,0,0,0,0,0
21,CHI,Cedric Benson,BensCe00,2006-12-11,2006,14,REG,0,16,64,0,0,0,0,0,0,0
22,CHI,Cedric Benson,BensCe00,2006-12-17,2006,15,REG,0,15,53,1,1,0,0,0,0,0
23,CHI,Cedric Benson,BensCe00,2006-12-24,2006,16,REG,0,15,49,0,2,2,8,0,0,0
24,CHI,Cedric Benson,BensCe00,2006-12-31,2006,17,REG,0,13,109,0,1,1,22,0,0,0
25,CHI,Cedric Benson,BensCe00,2007-01-14,2006,19,POST,0,12,45,0,4,3,24,0,0,0
26,CHI,Cedric Benson,BensCe00,2007-01-21,2006,20,POST,0,24,60,1,0,0,0,0,0,0
27,CHI,Cedric Benson,BensCe00,2007-02-04,2006,21,POST,0,2,-1,0,0,0,0,0,0,0
