CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
0,CIN,Chase Brown,BrowCh10,2023-09-10,2023,1,DNP,0,0,0,0,0,0,0,0,0,0
1,CIN,Chase Brown,BrowCh10,2023-09-17,2023,2,REG,0,1,2,0,0,0,0,0,1,7
2,CIN,Chase Brown,BrowCh10,2023-09-25,2023,3,REG,0,0,0,0,0,0,0,0,1,14
3,CIN,Chase Brown,BrowCh10,2023-10-01,2023,4,REG,0,0,0,0,1,1,-3,0,1,10
4,CIN,Chase Brown,BrowCh10,2023-10-08,2023,5,REG,0,0,0,0,1,1,2,0,1,15
5,CIN,Chase Brown,BrowCh10,2023-10-15,2023,6,REG,0,1,4,0,1,1,8,0,4,10
0,CIN,Chase Brown,BrowCh10,1970-01-01,2023,7,BYE,0,0,0,0,0,0,0,0,0,0
0,CIN,Chase Brown,BrowCh10,2023-10-29,2023,8,DNP,0,0,0,0,0,0,0,0,0,0
0,CIN,Chase Brown,BrowCh10,2023-11-05,2023,9,DNP,0,0,0,0,0,0,0,0,0,0
0,CIN,Chase Brown,BrowCh10,2023-11-12,2023,10,DNP,0,0,0,0,0,0,0,0,0,0
0,CIN,Chase Brown,BrowCh10,2023-11-16,2023,11,DNP,0,0,0,0,0,0,0,0,0,0
6,CIN,Chase Brown,BrowCh10,2023-11-26,2023,12,REG,0,0,0,0,0,0,0,0,0,11
7,CIN,Chase Brown,BrowCh10,2023-12-04,2023,13,REG,0,9,61,0,0,0,0,0,11,17
8,CIN,Chase Brown,BrowCh10,2023-12-10,2023,14,REG,0,8,25,0,3,3,80,1,18,13
9,CIN,Chase Brown,BrowCh10,2023-12-16,2023,15,REG,0,7,23,0,3,3,28,0,13,14
10,CIN,Chase Brown,BrowCh10,2023-12-23,2023,16,REG,0,4,16,0,2,2,8,0,14,13
11,CIN,Chase Brown,BrowCh10,2023-12-31,2023,17,REG,0,3,5,0,2,2,23,0,11,16
12,CIN,Chase Brown,BrowCh10,2024-01-07,2023,18,REG,0,11,43,0,2,1,10,0,18,20
13,CIN,Chase Brown,BrowCh10,2024-09-08,2024,1,REG,0,3,11,0,3,3,12,0,17,9
14,CIN,Chase Brown,BrowCh10,2024-09-15,2024,2,REG,0,4,31,0,0,0,0,0,13,15
15,CIN,Chase Brown,BrowCh10,2024-09-23,2024,3,REG,0,7,62,0,3,2,7,0,15,14
16,CIN,Chase Brown,BrowCh10,2024-09-29,2024,4,REG,0,15,80,2,3,2,12,0,27,18
17,CIN,Chase Brown,BrowCh10,2024-10-06,2024,5,REG,0,12,46,0,3,3,8,1,22,23
18,CIN,Chase Brown,BrowCh10,2024-10-13,2024,6,REG,1,10,53,1,3,2,11,0,33,2
19,CIN,Chase Brown,BrowCh10,2024-10-20,2024,7,REG,1,15,44,0,2,2,9,0,32,1
20,CIN,Chase Brown,BrowCh10,2024-10-27,2024,8,REG,0,12,32,1,4,2,2,0,28,0
21,CIN,Chase Brown,BrowCh10,2024-11-03,2024,9,REG,1,27,120,0,5,5,37,1,59,0
22,CIN,Chase Brown,BrowCh10,2024-11-07,2024,10,REG,1,13,42,1,11,9,52,0,71,0
23,CIN,Chase Brown,BrowCh10,2024-11-17,2024,11,REG,1,22,86,0,7,5,57,0,68,0
0,CIN,Chase Brown,BrowCh10,1970-01-01,2024,12,BYE,0,0,0,0,0,0,0,0,0,0
24,CIN,Chase Brown,BrowCh10,2024-12-01,2024,13,REG,1,12,70,1,3,3,30,0,50,0
25,CIN,Chase Brown,BrowCh10,2024-12-09,2024,14,REG,1,14,58,0,8,6,65,1,59,0
26,CIN,Chase Brown,BrowCh10,2024-12-15,2024,15,REG,1,25,97,1,3,3,16,1,64,0
27,CIN,Chase Brown,BrowCh10,2024-12-22,2024,16,REG,1,18,91,0,3,3,18,0,55,0
28,CIN,Chase Brown,BrowCh10,2024-12-28,2024,17,REG,1,20,67,0,4,4,24,0,73,0
0,CIN,Chase Brown,BrowCh10,2025-01-04,2024,18,DNP,0,0,0,0,0,0,0,0,0,0
