CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
0,TEN,Chris Brown,BrowCh03,2003-09-07,2003,1,DNP,0,0,0,0,0,0,0,0,0,0
0,TEN,Chris Brown,BrowCh03,2003-09-14,2003,2,DNP,0,0,0,0,0,0,0,0,0,0
0,TEN,Chris Brown,BrowCh03,2003-09-21,2003,3,DNP,0,0,0,0,0,0,0,0,0,0
1,TEN,Chris Brown,BrowCh03,2003-09-28,2003,4,REG,0,6,3,0,0,0,0,0,0,0
2,TEN,Chris Brown,BrowCh03,2003-10-05,2003,5,REG,0,2,6,0,1,0,0,0,0,0
3,TEN,Chris Brown,BrowCh03,2003-10-12,2003,6,REG,0,4,15,0,2,2,21,0,0,0
0,TEN,Chris Brown,BrowCh03,2003-10-19,2003,7,DNP,0,0,0,0,0,0,0,0,0,0
0,TEN,Chris Brown,BrowCh03,2003-10-26,2003,8,DNP,0,0,0,0,0,0,0,0,0,0
0,TEN,Chris Brown,BrowCh03,1970-01-01,2003,9,BYE,0,0,0,0,0,0,0,0,0,0
4,TEN,Chris Brown,BrowCh03,2003-11-09,2003,10,REG,0,12,46,0,1,1,4,0,0,0
5,TEN,Chris Brown,BrowCh03,2003-11-16,2003,11,REG,0,3,2,0,0,0,0,0,0,0
6,TEN,Chris Brown,BrowCh03,2003-11-23,2003,12,REG,0,2,17,0,1,1,10,0,0,0
7,TEN,Chris Brown,BrowCh03,2003-12-01,2003,13,REG,0,2,8,0,1,1,3,0,0,0
8,TEN,Chris Brown,BrowCh03,2003-12-07,2003,14,REG,0,4,23,0,0,0,0,0,0,0
9,TEN,Chris Brown,BrowCh03,2003-12-14,2003,15,REG,0,4,6,0,0,0,0,0,0,0
10,TEN,Chris Brown,BrowCh03,2003-12-21,2003,16,REG,0,10,69,0,2,2,19,0,0,0
11,TEN,Chris Brown,BrowCh03,2003-12-28,2003,17,REG,0,7,26,0,1,1,4,0,0,0
12,TEN,Chris Brown,BrowCh03,2004-01-03,2003,18,POST,0,11,61,1,1,1,2,0,0,0
13,TEN,Chris Brown,BrowCh03,2004-01-10,2003,19,POST,0,7,35,1,0,0,0,0,0,0
14,TEN,Chris Brown,BrowCh03,2004-09-11,2004,1,REG,1,16,100,0,1,1,5,0,0,0
15,TEN,Chris Brown,BrowCh03,2004-09-19,2004,2,REG,1,26,152,1,4,1,8,0,0,0
16,TEN,Chris Brown,BrowCh03,2004-09-26,2004,3,REG,1,23,101,1,6,3,30,0,0,0
17,TEN,Chris Brown,BrowCh03,2004-10-03,2004,4,REG,1,15,55,0,5,2,15,0,0,0
18,TEN,Chris Brown,BrowCh03,2004-10-11,2004,5,REG,1,27,148,2,4,3,24,0,0,0
19,TEN,Chris Brown,BrowCh03,2004-10-17,2004,6,REG,1,13,52,0,1,1,5,0,0,0
20,TEN,Chris Brown,BrowCh03,2004-10-24,2004,7,REG,1,14,55,0,3,2,18,0,0,0
21,TEN,Chris Brown,BrowCh03,2004-10-31,2004,8,REG,1,32,147,1,4,4,23,0,0,0
0,TEN,Chris Brown,BrowCh03,1970-01-01,2004,9,BYE,0,0,0,0,0,0,0,0,0,0
22,TEN,Chris Brown,BrowCh03,2004-11-14,2004,10,REG,1,20,62,0,3,2,6,0,0,0
0,TEN,Chris Brown,BrowCh03,2004-11-21,2004,11,DNP,0,0,0,0,0,0,0,0,0,0
0,TEN,Chris Brown,BrowCh03,2004-11-28,2004,12,DNP,0,0,0,0,0,0,0,0,0,0
23,TEN,Chris Brown,BrowCh03,2004-12-05,2004,13,REG,1,19,104,0,1,0,0,0,0,0
24,TEN,Chris Brown,BrowCh03,2004-12-13,2004,14,REG,1,15,91,1,1,1,13,0,0,0
0,TEN,Chris Brown,BrowCh03,2004-12-19,2004,15,DNP,0,0,0,0,0,0,0,0,0,0
0,TEN,Chris Brown,BrowCh03,2004-12-25,2004,16,DNP,0,0,0,0,0,0,0,0,0,0
0,TEN,Chris Brown,BrowCh03,2005-01-02,2004,17,DNP,0,0,0,0,0,0,0,0,0,0
25,TEN,Chris Brown,BrowCh03,2005-09-11,2005,1,REG,1,11,63,0,0,0,0,0,0,0
26,TEN,Chris Brown,BrowCh03,2005-09-18,2005,2,REG,1,8,33,0,4,3,25,0,0,0
27,TEN,Chris Brown,BrowCh03,2005-09-25,2005,3,REG,1,20,83,0,2,2,5,0,0,0
28,TEN,Chris Brown,BrowCh03,2005-10-02,2005,4,REG,1,10,31,0,2,2,17,0,0,0
29,TEN,Chris Brown,BrowCh03,2005-10-09,2005,5,REG,1,22,78,0,3,1,13,0,0,0
30,TEN,Chris Brown,BrowCh03,2005-10-16,2005,6,REG,1,18,84,2,3,3,28,0,0,0
31,TEN,Chris Brown,BrowCh03,2005-10-23,2005,7,REG,1,10,37,0,0,0,0,0,0,0
32,TEN,Chris Brown,BrowCh03,2005-10-30,2005,8,REG,1,19,97,1,2,2,13,0,0,0
33,TEN,Chris Brown,BrowCh03,2005-11-06,2005,9,REG,1,22,95,1,4,1,8,0,0,0
0,TEN,Chris Brown,BrowCh03,1970-01-01,2005,10,BYE,0,0,0,0,0,0,0,0,0,0
34,TEN,Chris Brown,BrowCh03,2005-11-20,2005,11,REG,1,20,61,1,6,4,58,1,0,0
35,TEN,Chris Brown,BrowCh03,2005-11-27,2005,12,REG,1,10,30,0,5,3,105,1,0,0
36,TEN,Chris Brown,BrowCh03,2005-12-04,2005,13,REG,1,11,32,0,1,1,6,0,0,0
37,TEN,Chris Brown,BrowCh03,2005-12-11,2005,14,REG,0,16,53,0,4,3,49,0,0,0
38,TEN,Chris Brown,BrowCh03,2005-12-18,2005,15,REG,1,20,56,0,0,0,0,0,0,0
