CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,PHI,Correll Buckhalter,BuckCo00,2001-09-09,2001,1,REG,0,0,0,0,0,0,0,0,0,0
2,PHI,Correll Buckhalter,BuckCo00,2001-09-23,2001,2,REG,0,18,52,0,4,4,50,0,0,0
3,PHI,Correll Buckhalter,BuckCo00,2001-09-30,2001,3,REG,0,20,99,1,2,1,9,0,0,0
4,PHI,Correll Buckhalter,BuckCo00,2001-10-07,2001,4,REG,1,21,134,0,1,0,0,0,0,0
0,PHI,Correll Buckhalter,BuckCo00,,2001,5,BYE,0,0,0,0,0,0,0,0,0,0
5,PHI,Correll Buckhalter,BuckCo00,2001-10-22,2001,6,REG,1,11,34,0,0,0,0,0,0,0
6,PHI,Correll Buckhalter,BuckCo00,2001-10-28,2001,7,REG,1,7,29,0,2,0,0,0,0,0
7,PHI,Correll Buckhalter,BuckCo00,2001-11-04,2001,8,REG,1,4,14,0,2,1,-1,0,0,0
8,PHI,Correll Buckhalter,BuckCo00,2001-11-11,2001,9,REG,0,11,66,1,0,0,0,0,0,0
0,PHI,Correll Buckhalter,BuckCo00,2001-11-18,2001,10,DNP,0,0,0,0,0,0,0,0,0,0
9,PHI,Correll Buckhalter,BuckCo00,2001-11-25,2001,11,REG,0,4,5,0,1,1,4,0,0,0
10,PHI,Correll Buckhalter,BuckCo00,2001-11-29,2001,12,REG,0,2,6,0,0,0,0,0,0,0
11,PHI,Correll Buckhalter,BuckCo00,2001-12-09,2001,13,REG,0,1,4,0,0,0,0,0,0,0
12,PHI,Correll Buckhalter,BuckCo00,2001-12-16,2001,14,REG,1,1,2,0,3,1,18,0,0,0
13,PHI,Correll Buckhalter,BuckCo00,2001-12-22,2001,15,REG,0,2,13,0,0,0,0,0,0,0
14,PHI,Correll Buckhalter,BuckCo00,2001-12-30,2001,16,REG,0,7,39,0,0,0,0,0,0,0
15,PHI,Correll Buckhalter,BuckCo00,2002-01-06,2001,17,REG,1,20,89,0,6,5,50,0,0,0
16,PHI,Correll Buckhalter,BuckCo00,2002-01-12,2001,18,POST,0,9,55,1,2,2,13,0,0,0
17,PHI,Correll Buckhalter,BuckCo00,2002-01-19,2001,19,POST,0,3,5,0,2,2,13,0,0,0
18,PHI,Correll Buckhalter,BuckCo00,2002-01-27,2001,20,POST,0,6,50,0,1,0,0,0,0,0
19,PHI,Correll Buckhalter,BuckCo00,2003-09-08,2003,1,REG,1,1,0,0,1,0,0,0,0,0
20,PHI,Correll Buckhalter,BuckCo00,2003-09-14,2003,2,REG,0,0,0,0,1,1,21,0,0,0
0,PHI,Correll Buckhalter,BuckCo00,,2003,3,BYE,0,0,0,0,0,0,0,0,0,0
21,PHI,Correll Buckhalter,BuckCo00,2003-09-28,2003,4,REG,0,11,25,1,1,0,0,0,0,0
22,PHI,Correll Buckhalter,BuckCo00,2003-10-05,2003,5,REG,0,3,3,0,0,0,0,0,0,0
23,PHI,Correll Buckhalter,BuckCo00,2003-10-12,2003,6,REG,0,11,52,1,1,1,2,0,0,0
24,PHI,Correll Buckhalter,BuckCo00,2003-10-19,2003,7,REG,0,3,19,0,0,0,0,0,0,0
25,PHI,Correll Buckhalter,BuckCo00,2003-10-26,2003,8,REG,1,15,100,2,0,0,0,0,0,0
26,PHI,Correll Buckhalter,BuckCo00,2003-11-02,2003,9,REG,1,23,92,0,2,1,18,0,0,0
27,PHI,Correll Buckhalter,BuckCo00,2003-11-10,2003,10,REG,1,9,23,0,0,0,0,0,0,0
28,PHI,Correll Buckhalter,BuckCo00,2003-11-16,2003,11,REG,0,5,2,1,1,1,27,0,0,0
29,PHI,Correll Buckhalter,BuckCo00,2003-11-23,2003,12,REG,0,7,18,1,1,1,20,0,0,0
30,PHI,Correll Buckhalter,BuckCo00,2003-11-30,2003,13,REG,1,6,30,0,0,0,0,0,0,0
31,PHI,Correll Buckhalter,BuckCo00,2003-12-07,2003,14,REG,0,13,115,1,3,2,29,0,0,0
32,PHI,Correll Buckhalter,BuckCo00,2003-12-15,2003,15,REG,0,6,9,1,0,0,0,0,0,0
0,PHI,Correll Buckhalter,BuckCo00,2003-12-21,2003,16,DNP,0,0,0,0,0,0,0,0,0,0
33,PHI,Correll Buckhalter,BuckCo00,2003-12-27,2003,17,REG,0,13,54,0,3,3,16,1,0,0
34,PHI,Correll Buckhalter,BuckCo00,2004-01-11,2003,19,POST,0,9,12,0,1,1,5,0,0,0
35,PHI,Correll Buckhalter,BuckCo00,2004-01-18,2003,20,POST,0,11,48,0,2,2,26,0,0,0
36,PHI,Correll Buckhalter,BuckCo00,2006-09-10,2006,1,REG,0,8,50,0,1,1,-1,0,0,0
37,PHI,Correll Buckhalter,BuckCo00,2006-09-17,2006,2,REG,0,6,6,0,1,1,9,0,0,0
38,PHI,Correll Buckhalter,BuckCo00,2006-09-24,2006,3,REG,1,5,16,0,2,2,25,0,0,0
39,PHI,Correll Buckhalter,BuckCo00,2006-10-02,2006,4,REG,0,11,49,0,3,2,39,0,0,0
40,PHI,Correll Buckhalter,BuckCo00,2006-10-08,2006,5,REG,0,4,16,0,0,0,0,0,0,0
41,PHI,Correll Buckhalter,BuckCo00,2006-10-15,2006,6,REG,0,1,5,0,1,1,10,0,0,0
42,PHI,Correll Buckhalter,BuckCo00,2006-10-22,2006,7,REG,0,8,31,0,0,0,0,0,0,0
43,PHI,Correll Buckhalter,BuckCo00,2006-10-29,2006,8,REG,0,2,10,0,3,3,5,0,0,0
0,PHI,Correll Buckhalter,BuckCo00,,2006,9,BYE,0,0,0,0,0,0,0,0,0,0
44,PHI,Correll Buckhalter,BuckCo00,2006-11-12,2006,10,REG,0,8,20,0,1,1,55,1,0,0
45,PHI,Correll Buckhalter,BuckCo00,2006-11-19,2006,11,REG,0,3,16,0,7,6,41,0,0,0
46,PHI,Correll Buckhalter,BuckCo00,2006-11-26,2006,12,REG,0,4,18,0,3,2,26,0,0,0
47,PHI,Correll Buckhalter,BuckCo00,2006-12-04,2006,13,REG,0,5,17,0,4,3,25,0,0,0
48,PHI,Correll Buckhalter,BuckCo00,2006-12-10,2006,14,REG,0,1,4,0,0,0,0,0,0,0
49,PHI,Correll Buckhalter,BuckCo00,2006-12-17,2006,15,REG,0,8,48,1,1,1,9,0,0,0
50,PHI,Correll Buckhalter,BuckCo00,2006-12-25,2006,16,REG,0,8,38,1,1,1,13,0,0,0
51,PHI,Correll Buckhalter,BuckCo00,2006-12-31,2006,17,REG,0,1,1,0,0,0,0,0,0,0
52,PHI,Correll Buckhalter,BuckCo00,2007-01-07,2006,18,POST,0,6,17,0,2,1,3,0,0,0
