CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp,SUSP,INJ,Game Status,Injuries
0,NYG,Derrick Ward,WardDe01,2004-09-12,2004,1,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,NYG,Derrick Ward,WardDe01,2004-09-19,2004,2,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,NYG,Derrick Ward,WardDe01,2004-09-26,2004,3,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,NYG,Derrick Ward,WardDe01,2004-10-03,2004,4,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,NYG,Derrick Ward,WardDe01,2004-10-10,2004,5,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,NYG,Derrick Ward,WardDe01,1970-01-01,2004,6,BYE,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,NYG,Derrick Ward,WardDe01,2004-10-24,2004,7,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,NYG,Derrick Ward,WardDe01,2004-10-31,2004,8,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,NYG,Derrick Ward,WardDe01,2004-11-07,2004,9,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
1,NYG,Derrick Ward,WardDe01,2004-11-14,2004,10,REG,0,0,0,0,0,0,0,0,0,0,0,0,,
2,NYG,Derrick Ward,WardDe01,2004-11-21,2004,11,REG,0,0,0,0,0,0,0,0,0,0,0,0,,
0,NYG,Derrick Ward,WardDe01,2004-11-28,2004,12,DNP,0,0,0,0,0,0,0,0,0,0,0,0,,
3,NYG,Derrick Ward,WardDe01,2004-12-05,2004,13,REG,0,0,0,0,0,0,0,0,0,0,0,0,,
4,NYG,Derrick Ward,WardDe01,2004-12-12,2004,14,REG,0,0,0,0,0,0,0,0,0,0,0,0,,
0,NYG,Derrick Ward,WardDe01,2004-12-18,2004,15,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Questionable,Ankle
0,NYG,Derrick Ward,WardDe01,2004-12-26,2004,16,DNP,0,0,0,0,0,0,0,0,0,0,0,0,,
5,NYG,Derrick Ward,WardDe01,2005-01-02,2004,17,REG,0,0,0,0,0,0,0,0,0,0,0,0,,
6,NYG,Derrick Ward,WardDe01,2005-09-11,2005,1,REG,0,4,23,0,0,0,0,0,0,0,0,0,,
7,NYG,Derrick Ward,WardDe01,2005-09-19,2005,2,REG,0,0,0,0,1,0,0,0,0,0,0,0,,
8,NYG,Derrick Ward,WardDe01,2005-09-25,2005,3,REG,0,4,13,0,0,0,0,0,0,0,0,0,,
0,NYG,Derrick Ward,WardDe01,2005-10-02,2005,4,DNP,0,0,0,0,0,0,0,0,0,0,0,0,,
0,NYG,Derrick Ward,WardDe01,1970-01-01,2005,5,BYE,0,0,0,0,0,0,0,0,0,0,0,0,,
9,NYG,Derrick Ward,WardDe01,2005-10-16,2005,6,REG,0,3,15,0,0,0,0,0,0,0,0,0,,
10,NYG,Derrick Ward,WardDe01,2005-10-23,2005,7,REG,0,0,0,0,0,0,0,0,0,0,0,0,,
11,NYG,Derrick Ward,WardDe01,2005-10-30,2005,8,REG,0,13,42,0,2,1,8,0,0,0,0,0,,
12,NYG,Derrick Ward,WardDe01,2005-11-06,2005,9,REG,0,3,22,0,0,0,0,0,0,0,0,0,,
13,NYG,Derrick Ward,WardDe01,2005-11-13,2005,10,REG,0,2,-2,0,0,0,0,0,0,0,0,0,,
14,NYG,Derrick Ward,WardDe01,2005-11-20,2005,11,REG,0,2,-4,0,0,0,0,0,0,0,0,0,,
15,NYG,Derrick Ward,WardDe01,2005-11-27,2005,12,REG,0,0,0,0,0,0,0,0,0,0,0,0,,
16,NYG,Derrick Ward,WardDe01,2005-12-04,2005,13,REG,0,1,4,0,0,0,0,0,0,0,0,0,,
17,NYG,Derrick Ward,WardDe01,2005-12-11,2005,14,REG,0,1,2,0,1,0,0,0,0,0,0,0,,
18,NYG,Derrick Ward,WardDe01,2005-12-17,2005,15,REG,0,2,8,0,1,1,5,0,0,0,0,0,,
19,NYG,Derrick Ward,WardDe01,2005-12-24,2005,16,REG,0,0,0,0,0,0,0,0,0,0,0,0,,
0,NYG,Derrick Ward,WardDe01,2005-12-31,2005,17,DNP,0,0,0,0,0,0,0,0,0,0,0,0,,
0,NYG,Derrick Ward,WardDe01,2006-09-10,2006,1,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,NYG,Derrick Ward,WardDe01,2006-09-17,2006,2,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,NYG,Derrick Ward,WardDe01,2006-09-24,2006,3,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,NYG,Derrick Ward,WardDe01,1970-01-01,2006,4,BYE,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,NYG,Derrick Ward,WardDe01,2006-10-08,2006,5,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,NYG,Derrick Ward,WardDe01,2006-10-15,2006,6,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,NYG,Derrick Ward,WardDe01,2006-10-23,2006,7,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
20,NYG,Derrick Ward,WardDe01,2006-10-29,2006,8,REG,0,0,0,0,0,0,0,0,0,0,0,0,,
21,NYG,Derrick Ward,WardDe01,2006-11-05,2006,9,REG,0,0,0,0,0,0,0,0,0,0,0,0,,
22,NYG,Derrick Ward,WardDe01,2006-11-12,2006,10,REG,0,0,0,0,0,0,0,0,0,0,0,0,,
23,NYG,Derrick Ward,WardDe01,2006-11-20,2006,11,REG,0,0,0,0,0,0,0,0,0,0,0,0,,
24,NYG,Derrick Ward,WardDe01,2006-11-26,2006,12,REG,0,0,0,0,0,0,0,0,0,0,0,0,,
25,NYG,Derrick Ward,WardDe01,2006-12-03,2006,13,REG,0,0,0,0,0,0,0,0,0,0,0,0,,
26,NYG,Derrick Ward,WardDe01,2006-12-10,2006,14,REG,0,0,0,0,0,0,0,0,0,0,0,0,,
27,NYG,Derrick Ward,WardDe01,2006-12-17,2006,15,REG,0,0,0,0,0,0,0,0,0,0,0,0,,
0,NYG,Derrick Ward,WardDe01,2006-12-24,2006,16,DNP,0,0,0,0,0,0,0,0,0,0,0,0,,
0,NYG,Derrick Ward,WardDe01,2006-12-30,2006,17,DNP,0,0,0,0,0,0,0,0,0,0,0,0,,
28,NYG,Derrick Ward,WardDe01,2007-09-09,2007,1,REG,0,13,89,0,5,4,27,1,0,0,0,0,,
29,NYG,Derrick Ward,WardDe01,2007-09-16,2007,2,REG,1,15,90,0,6,4,35,0,0,0,0,0,,
30,NYG,Derrick Ward,WardDe01,2007-09-23,2007,3,REG,1,26,94,0,7,6,26,0,0,0,0,0,,
31,NYG,Derrick Ward,WardDe01,2007-09-30,2007,4,REG,1,19,80,0,4,3,26,0,0,0,0,0,,
32,NYG,Derrick Ward,WardDe01,2007-10-07,2007,5,REG,1,13,56,1,4,3,8,0,0,0,0,0,,
33,NYG,Derrick Ward,WardDe01,2007-10-15,2007,6,REG,0,8,12,1,4,2,16,0,0,0,0,0,,
34,NYG,Derrick Ward,WardDe01,2007-10-21,2007,7,REG,0,7,27,0,7,2,12,0,0,0,0,0,,
0,NYG,Derrick Ward,WardDe01,2007-10-28,2007,8,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,NYG,Derrick Ward,WardDe01,1970-01-01,2007,9,BYE,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,NYG,Derrick Ward,WardDe01,2007-11-11,2007,10,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,NYG,Derrick Ward,WardDe01,2007-11-18,2007,11,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,NYG,Derrick Ward,WardDe01,2007-11-25,2007,12,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
35,NYG,Derrick Ward,WardDe01,2007-12-02,2007,13,REG,1,24,154,1,3,2,29,0,0,0,0,0,,
0,NYG,Derrick Ward,WardDe01,2007-12-09,2007,14,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,NYG,Derrick Ward,WardDe01,2007-12-16,2007,15,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,NYG,Derrick Ward,WardDe01,2007-12-23,2007,16,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,NYG,Derrick Ward,WardDe01,2007-12-29,2007,17,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
36,NYG,Derrick Ward,WardDe01,2008-09-04,2008,1,REG,0,9,39,0,3,2,21,0,0,0,0,0,,
