CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp,SUSP,INJ,Game Status,Injuries
1,DEN,Devontae Booker,BookDe00,2016-09-08,2016,1,REG,0,3,8,0,0,0,0,0,6,0,0,0,,
2,DEN,Devontae Booker,BookDe00,2016-09-18,2016,2,REG,0,9,46,0,1,1,5,0,14,0,0,0,,
3,DEN,Devontae Booker,BookDe00,2016-09-25,2016,3,REG,0,4,8,0,1,1,17,0,16,0,0,0,,
4,DEN,Devontae Booker,BookDe00,2016-10-02,2016,4,REG,0,7,30,0,1,0,0,0,18,0,0,0,,
5,DEN,Devontae Booker,BookDe00,2016-10-09,2016,5,REG,0,6,23,0,6,4,36,0,29,0,0,0,,
6,DEN,Devontae Booker,BookDe00,2016-10-13,2016,6,REG,0,5,46,0,2,2,7,0,15,0,0,0,,
7,DEN,Devontae Booker,BookDe00,2016-10-24,2016,7,REG,0,17,83,1,2,1,4,0,35,0,0,0,,
8,DEN,Devontae Booker,BookDe00,2016-10-30,2016,8,REG,1,19,54,1,6,5,30,0,54,0,0,0,,
9,DEN,Devontae Booker,BookDe00,2016-11-06,2016,9,REG,1,10,22,0,3,1,8,0,46,0,0,0,,
10,DEN,Devontae Booker,BookDe00,2016-11-13,2016,10,REG,1,24,76,0,2,2,12,0,59,0,0,0,,
0,DEN,Devontae Booker,BookDe00,,2016,11,BYE,0,0,0,0,0,0,0,0,0,0,0,0,,
11,DEN,Devontae Booker,BookDe00,2016-11-27,2016,12,REG,1,24,79,0,2,1,22,0,46,0,0,0,,
12,DEN,Devontae Booker,BookDe00,2016-12-04,2016,13,REG,1,18,35,1,1,1,2,0,37,0,0,0,,
13,DEN,Devontae Booker,BookDe00,2016-12-11,2016,14,REG,1,3,1,0,2,2,10,0,28,0,0,0,,
14,DEN,Devontae Booker,BookDe00,2016-12-18,2016,15,REG,0,6,17,0,3,2,16,0,28,0,0,0,,
15,DEN,Devontae Booker,BookDe00,2016-12-25,2016,16,REG,0,5,27,0,10,6,44,0,33,0,0,0,,
16,DEN,Devontae Booker,BookDe00,2017-01-01,2016,17,REG,0,14,57,1,3,2,52,1,29,0,0,0,,
0,DEN,Devontae Booker,BookDe00,2017-09-11,2017,1,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Wrist
0,DEN,Devontae Booker,BookDe00,2017-09-17,2017,2,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Wrist
0,DEN,Devontae Booker,BookDe00,2017-09-24,2017,3,DNP,0,0,0,0,0,0,0,0,0,0,0,0,,
17,DEN,Devontae Booker,BookDe00,2017-10-01,2017,4,REG,0,3,14,0,0,0,0,0,8,14,0,0,,
0,DEN,Devontae Booker,BookDe00,,2017,5,BYE,0,0,0,0,0,0,0,0,0,0,0,0,,
18,DEN,Devontae Booker,BookDe00,2017-10-15,2017,6,REG,0,1,2,0,6,4,78,0,23,15,0,0,,
19,DEN,Devontae Booker,BookDe00,2017-10-22,2017,7,REG,0,2,6,0,4,3,22,0,11,13,0,0,,
20,DEN,Devontae Booker,BookDe00,2017-10-30,2017,8,REG,0,6,40,1,3,3,14,0,25,18,0,0,,
21,DEN,Devontae Booker,BookDe00,2017-11-05,2017,9,REG,0,6,21,0,3,2,9,0,22,17,0,0,,
22,DEN,Devontae Booker,BookDe00,2017-11-12,2017,10,REG,0,8,24,0,1,1,5,0,23,14,0,0,,
23,DEN,Devontae Booker,BookDe00,2017-11-19,2017,11,REG,0,14,44,0,6,5,54,0,48,7,0,0,,
24,DEN,Devontae Booker,BookDe00,2017-11-26,2017,12,REG,0,6,11,0,2,2,22,0,26,6,0,0,,
25,DEN,Devontae Booker,BookDe00,2017-12-03,2017,13,REG,0,2,8,0,1,1,0,0,11,3,0,0,,
26,DEN,Devontae Booker,BookDe00,2017-12-10,2017,14,REG,0,9,22,0,2,2,12,0,27,9,0,0,,
27,DEN,Devontae Booker,BookDe00,2017-12-14,2017,15,REG,0,11,39,0,1,1,10,0,23,7,0,0,,
28,DEN,Devontae Booker,BookDe00,2017-12-24,2017,16,REG,0,8,47,0,8,5,24,0,30,8,0,0,,
29,DEN,Devontae Booker,BookDe00,2017-12-31,2017,17,REG,0,3,21,0,1,1,25,0,14,0,0,0,,
30,DEN,Devontae Booker,BookDe00,2018-09-09,2018,1,REG,0,2,4,0,2,2,11,0,19,9,0,0,,
31,DEN,Devontae Booker,BookDe00,2018-09-16,2018,2,REG,0,3,17,0,0,0,0,0,22,9,0,0,,
32,DEN,Devontae Booker,BookDe00,2018-09-23,2018,3,REG,0,5,10,0,7,5,34,0,26,8,0,0,,
33,DEN,Devontae Booker,BookDe00,2018-10-01,2018,4,REG,0,1,5,0,2,1,9,0,20,11,0,0,,
34,DEN,Devontae Booker,BookDe00,2018-10-07,2018,5,REG,0,0,0,0,6,5,59,0,22,12,0,0,,
35,DEN,Devontae Booker,BookDe00,2018-10-14,2018,6,REG,0,2,15,0,3,2,14,0,22,12,0,0,,
36,DEN,Devontae Booker,BookDe00,2018-10-18,2018,7,REG,0,0,0,0,1,1,-1,0,6,11,0,0,,
37,DEN,Devontae Booker,BookDe00,2018-10-28,2018,8,REG,0,9,78,0,4,4,23,0,32,1,0,0,,
38,DEN,Devontae Booker,BookDe00,2018-11-04,2018,9,REG,0,3,15,1,4,2,9,0,26,0,0,0,,
0,DEN,Devontae Booker,BookDe00,,2018,10,BYE,0,0,0,0,0,0,0,0,0,0,0,0,,
39,DEN,Devontae Booker,BookDe00,2018-11-18,2018,11,REG,0,0,0,0,1,1,4,0,11,8,0,0,,
40,DEN,Devontae Booker,BookDe00,2018-11-25,2018,12,REG,0,0,0,0,2,1,6,0,6,10,0,0,,
41,DEN,Devontae Booker,BookDe00,2018-12-02,2018,13,REG,0,1,4,0,2,2,38,0,13,8,0,0,,
42,DEN,Devontae Booker,BookDe00,2018-12-09,2018,14,REG,0,0,0,0,2,2,11,0,17,8,0,0,,
43,DEN,Devontae Booker,BookDe00,2018-12-15,2018,15,REG,0,0,0,0,3,2,17,0,15,9,0,0,,
44,DEN,Devontae Booker,BookDe00,2018-12-24,2018,16,REG,0,3,21,0,5,3,21,0,24,9,0,0,,
45,DEN,Devontae Booker,BookDe00,2018-12-30,2018,17,REG,0,5,14,0,7,5,20,0,35,0,0,0,,
46,DEN,Devontae Booker,BookDe00,2019-09-09,2019,1,REG,0,0,0,0,0,0,0,0,1,8,0,0,,
47,DEN,Devontae Booker,BookDe00,2019-09-15,2019,2,REG,0,0,0,0,0,0,0,0,0,14,0,0,,
48,DEN,Devontae Booker,BookDe00,2019-09-22,2019,3,REG,0,0,0,0,0,0,0,0,0,16,0,0,,
49,DEN,Devontae Booker,BookDe00,2019-09-29,2019,4,REG,0,0,0,0,0,0,0,0,0,16,0,0,,
50,DEN,Devontae Booker,BookDe00,2019-10-06,2019,5,REG,0,0,0,0,0,0,0,0,0,10,0,0,,
51,DEN,Devontae Booker,BookDe00,2019-10-13,2019,6,REG,0,0,0,0,0,0,0,0,0,11,0,0,,
52,DEN,Devontae Booker,BookDe00,2019-10-17,2019,7,REG,0,0,0,0,0,0,0,0,0,16,0,0,,
53,DEN,Devontae Booker,BookDe00,2019-10-27,2019,8,REG,0,0,0,0,0,0,0,0,0,13,0,0,,
54,DEN,Devontae Booker,BookDe00,2019-11-03,2019,9,REG,0,0,0,0,1,1,14,0,1,12,0,0,,
