CarGm,Date,Season,Season_type,Week,Team,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,2012-09-09,2012,REG,1,TAM,1,24,95,0,4,4,23,0,50,0
2,2012-09-16,2012,REG,2,TAM,1,20,66,1,3,0,0,0,44,1
3,2012-09-23,2012,REG,3,TAM,1,19,53,0,3,2,21,0,46,0
4,2012-09-30,2012,REG,4,TAM,1,8,33,0,5,2,9,0,43,1
0,,2012,BYE,5,TAM,0,0,0,0,0,0,0,0,0,0
5,2012-10-14,2012,REG,6,TAM,1,13,76,0,4,2,55,0,27,0
6,2012-10-21,2012,REG,7,TAM,1,16,85,1,3,3,37,0,56,0
7,2012-10-25,2012,REG,8,TAM,1,29,135,1,6,3,79,1,54,0
8,2012-11-04,2012,REG,9,TAM,1,25,251,4,5,4,21,0,53,1
9,2012-11-11,2012,REG,10,TAM,1,19,68,0,3,3,51,0,38,1
10,2012-11-18,2012,REG,11,TAM,1,24,138,0,5,4,23,0,68,0
11,2012-11-25,2012,REG,12,TAM,1,21,50,2,2,2,13,0,45,0
12,2012-12-02,2012,REG,13,TAM,1,18,56,0,4,3,42,0,56,0
13,2012-12-09,2012,REG,14,TAM,1,28,128,1,5,3,4,0,63,1
14,2012-12-16,2012,REG,15,TAM,1,9,16,0,5,3,19,0,46,0
15,2012-12-23,2012,REG,16,TAM,1,18,62,0,8,7,57,0,70,0
16,2012-12-30,2012,REG,17,TAM,1,28,142,1,5,4,18,0,62,0
17,2013-09-08,2013,REG,1,TAM,1,24,65,1,6,2,-1,0,57,1
18,2013-09-15,2013,REG,2,TAM,1,29,144,0,1,0,0,0,52,0
19,2013-09-22,2013,REG,3,TAM,1,20,88,0,6,2,20,0,58,0
20,2013-09-29,2013,REG,4,TAM,1,27,45,0,4,3,16,0,67,0
0,,2013,BYE,5,TAM,0,0,0,0,0,0,0,0,0,0
21,2013-10-13,2013,REG,6,TAM,1,16,67,0,4,4,24,0,45,0
22,2013-10-20,2013,REG,7,TAM,1,11,47,0,3,1,7,0,25,0
0,2013-10-24,2013,DNP,8,TAM,0,0,0,0,0,0,0,0,0,0
0,2013-11-03,2013,DNP,9,TAM,0,0,0,0,0,0,0,0,0,0
0,2013-11-11,2013,DNP,10,TAM,0,0,0,0,0,0,0,0,0,0
0,2013-11-17,2013,DNP,11,TAM,0,0,0,0,0,0,0,0,0,0
0,2013-11-24,2013,DNP,12,TAM,0,0,0,0,0,0,0,0,0,0
0,2013-12-01,2013,DNP,13,TAM,0,0,0,0,0,0,0,0,0,0
0,2013-12-08,2013,DNP,14,TAM,0,0,0,0,0,0,0,0,0,0
0,2013-12-15,2013,DNP,15,TAM,0,0,0,0,0,0,0,0,0,0
0,2013-12-22,2013,DNP,16,TAM,0,0,0,0,0,0,0,0,0,0
0,2013-12-29,2013,DNP,17,TAM,0,0,0,0,0,0,0,0,0,0
23,2014-09-07,2014,REG,1,TAM,1,9,9,0,2,1,7,0,29,0
0,2014-09-14,2014,DNP,2,TAM,0,0,0,0,0,0,0,0,0,0
0,2014-09-18,2014,DNP,3,TAM,0,0,0,0,0,0,0,0,0,0
24,2014-09-28,2014,REG,4,TAM,1,13,40,1,2,2,16,0,39,0
25,2014-10-05,2014,REG,5,TAM,1,14,45,0,5,3,29,0,41,0
26,2014-10-12,2014,REG,6,TAM,1,11,45,0,2,1,3,0,50,0
0,,2014,BYE,7,TAM,0,0,0,0,0,0,0,0,0,0
27,2014-10-26,2014,REG,8,TAM,1,10,27,0,2,2,-1,0,23,0
0,2014-11-02,2014,DNP,9,TAM,0,0,0,0,0,0,0,0,0,0
0,2014-11-09,2014,DNP,10,TAM,0,0,0,0,0,0,0,0,0,0
