CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,IND,Edgerrin James,JameEd00,1999-09-12,1999,1,REG,1,26,112,1,4,4,14,0,0,0
2,IND,Edgerrin James,JameEd00,1999-09-19,1999,2,REG,1,32,118,1,2,1,9,0,0,0
3,IND,Edgerrin James,JameEd00,1999-09-26,1999,3,REG,1,17,46,0,8,3,36,0,0,0
0,IND,Edgerrin James,JameEd00,,1999,4,BYE,0,0,0,0,0,0,0,0,0,0
4,IND,Edgerrin James,JameEd00,1999-10-10,1999,5,REG,1,22,81,0,2,2,1,0,0,0
5,IND,Edgerrin James,JameEd00,1999-10-17,1999,6,REG,1,26,111,0,5,4,20,0,0,0
6,IND,Edgerrin James,JameEd00,1999-10-24,1999,7,REG,1,26,52,2,4,1,33,0,0,0
7,IND,Edgerrin James,JameEd00,1999-10-31,1999,8,REG,1,27,117,1,12,7,92,0,0,0
8,IND,Edgerrin James,JameEd00,1999-11-07,1999,9,REG,1,20,109,0,8,7,90,1,0,0
9,IND,Edgerrin James,JameEd00,1999-11-14,1999,10,REG,1,16,108,0,5,5,72,0,0,0
10,IND,Edgerrin James,JameEd00,1999-11-21,1999,11,REG,1,22,152,2,6,5,47,1,0,0
11,IND,Edgerrin James,JameEd00,1999-11-28,1999,12,REG,1,24,74,0,8,7,53,0,0,0
12,IND,Edgerrin James,JameEd00,1999-12-05,1999,13,REG,1,23,130,2,3,3,1,0,0,0
13,IND,Edgerrin James,JameEd00,1999-12-12,1999,14,REG,1,20,101,0,5,2,8,1,0,0
14,IND,Edgerrin James,JameEd00,1999-12-19,1999,15,REG,1,22,89,1,5,4,59,1,0,0
15,IND,Edgerrin James,JameEd00,1999-12-26,1999,16,REG,1,28,103,3,4,3,18,0,0,0
16,IND,Edgerrin James,JameEd00,2000-01-02,1999,17,REG,1,18,50,0,6,4,33,0,0,0
17,IND,Edgerrin James,JameEd00,2000-01-16,1999,19,POST,1,20,56,0,4,1,8,0,0,0
18,IND,Edgerrin James,JameEd00,2000-09-03,2000,1,REG,1,28,124,1,7,6,40,1,0,0
19,IND,Edgerrin James,JameEd00,2000-09-10,2000,2,REG,1,18,91,1,7,6,36,1,0,0
0,IND,Edgerrin James,JameEd00,,2000,3,BYE,0,0,0,0,0,0,0,0,0,0
20,IND,Edgerrin James,JameEd00,2000-09-25,2000,4,REG,1,22,89,1,4,2,65,0,0,0
21,IND,Edgerrin James,JameEd00,2000-10-01,2000,5,REG,1,19,60,0,5,4,43,0,0,0
22,IND,Edgerrin James,JameEd00,2000-10-08,2000,6,REG,1,24,75,0,8,3,34,0,0,0
23,IND,Edgerrin James,JameEd00,2000-10-15,2000,7,REG,1,38,219,3,1,1,9,0,0,0
24,IND,Edgerrin James,JameEd00,2000-10-22,2000,8,REG,1,20,124,1,3,2,5,1,0,0
25,IND,Edgerrin James,JameEd00,2000-10-29,2000,9,REG,1,31,139,1,3,2,24,0,0,0
26,IND,Edgerrin James,JameEd00,2000-11-05,2000,10,REG,1,17,68,1,5,4,49,1,0,0
27,IND,Edgerrin James,JameEd00,2000-11-12,2000,11,REG,1,31,131,1,7,5,24,0,0,0
28,IND,Edgerrin James,JameEd00,2000-11-19,2000,12,REG,1,17,71,0,8,7,66,0,0,0
29,IND,Edgerrin James,JameEd00,2000-11-26,2000,13,REG,1,26,118,0,7,5,37,0,0,0
30,IND,Edgerrin James,JameEd00,2000-12-03,2000,14,REG,1,11,49,0,5,3,31,0,0,0
31,IND,Edgerrin James,JameEd00,2000-12-11,2000,15,REG,1,27,111,3,4,3,21,0,0,0
32,IND,Edgerrin James,JameEd00,2000-12-17,2000,16,REG,1,32,112,0,5,5,31,0,0,0
33,IND,Edgerrin James,JameEd00,2000-12-24,2000,17,REG,1,26,128,0,8,5,79,1,0,0
34,IND,Edgerrin James,JameEd00,2000-12-30,2000,18,POST,1,21,107,0,4,3,33,0,0,0
35,IND,Edgerrin James,JameEd00,2001-09-09,2001,1,REG,1,28,135,2,3,2,13,0,0,0
36,IND,Edgerrin James,JameEd00,2001-09-23,2001,2,REG,1,23,111,1,4,4,48,0,0,0
37,IND,Edgerrin James,JameEd00,2001-09-30,2001,3,REG,1,17,55,0,7,6,38,0,0,0
0,IND,Edgerrin James,JameEd00,,2001,4,BYE,0,0,0,0,0,0,0,0,0,0
38,IND,Edgerrin James,JameEd00,2001-10-14,2001,5,REG,1,26,116,0,7,6,51,0,0,0
39,IND,Edgerrin James,JameEd00,2001-10-21,2001,6,REG,1,30,143,0,6,4,34,0,0,0
40,IND,Edgerrin James,JameEd00,2001-10-25,2001,7,REG,1,27,102,0,2,2,9,0,0,0
0,IND,Edgerrin James,JameEd00,2001-11-04,2001,8,DNP,0,0,0,0,0,0,0,0,0,0
0,IND,Edgerrin James,JameEd00,2001-11-11,2001,9,DNP,0,0,0,0,0,0,0,0,0,0
0,IND,Edgerrin James,JameEd00,2001-11-18,2001,10,DNP,0,0,0,0,0,0,0,0,0,0
0,IND,Edgerrin James,JameEd00,2001-11-25,2001,11,DNP,0,0,0,0,0,0,0,0,0,0
0,IND,Edgerrin James,JameEd00,2001-12-02,2001,12,DNP,0,0,0,0,0,0,0,0,0,0
0,IND,Edgerrin James,JameEd00,2001-12-10,2001,13,DNP,0,0,0,0,0,0,0,0,0,0
0,IND,Edgerrin James,JameEd00,2001-12-16,2001,14,DNP,0,0,0,0,0,0,0,0,0,0
0,IND,Edgerrin James,JameEd00,2001-12-23,2001,15,DNP,0,0,0,0,0,0,0,0,0,0
0,IND,Edgerrin James,JameEd00,2001-12-30,2001,16,DNP,0,0,0,0,0,0,0,0,0,0
0,IND,Edgerrin James,JameEd00,2002-01-06,2001,17,DNP,0,0,0,0,0,0,0,0,0,0
41,IND,Edgerrin James,JameEd00,2002-09-08,2002,1,REG,1,26,99,0,9,2,11,0,0,0
42,IND,Edgerrin James,JameEd00,2002-09-15,2002,2,REG,1,30,138,0,10,8,82,0,0,0
43,IND,Edgerrin James,JameEd00,2002-09-22,2002,3,REG,1,25,88,0,4,4,29,0,0,0
0,IND,Edgerrin James,JameEd00,,2002,4,BYE,0,0,0,0,0,0,0,0,0,0
44,IND,Edgerrin James,JameEd00,2002-10-06,2002,5,REG,1,22,60,1,4,3,10,0,0,0
45,IND,Edgerrin James,JameEd00,2002-10-13,2002,6,REG,1,17,43,0,4,4,8,0,0,0
46,IND,Edgerrin James,JameEd00,2002-10-21,2002,7,REG,1,20,62,0,12,11,83,0,0,0
47,IND,Edgerrin James,JameEd00,2002-10-27,2002,8,REG,1,14,33,0,7,5,14,1,0,0
0,IND,Edgerrin James,JameEd00,2002-11-03,2002,9,DNP,0,0,0,0,0,0,0,0,0,0
0,IND,Edgerrin James,JameEd00,2002-11-10,2002,10,DNP,0,0,0,0,0,0,0,0,0,0
