CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,SDG,Eric Bieniemy,BienEr00,1991-09-01,1991,1,REG,0,0,0,0,0,0,0,0,0,0
2,SDG,Eric Bieniemy,BienEr00,1991-09-08,1991,2,REG,0,0,0,0,0,0,0,0,0,0
3,SDG,Eric Bieniemy,BienEr00,1991-09-15,1991,3,REG,0,0,0,0,0,0,0,0,0,0
4,SDG,Eric Bieniemy,BienEr00,1991-09-22,1991,4,REG,0,0,0,0,0,0,0,0,0,0
5,SDG,Eric Bieniemy,BienEr00,1991-09-29,1991,5,REG,0,0,0,0,0,0,0,0,0,0
6,SDG,Eric Bieniemy,BienEr00,1991-10-06,1991,6,REG,0,0,0,0,0,0,0,0,0,0
7,SDG,Eric Bieniemy,BienEr00,1991-10-13,1991,7,REG,0,0,0,0,0,0,0,0,0,0
0,SDG,Eric Bieniemy,BienEr00,1991-10-20,1991,8,DNP,0,0,0,0,0,0,0,0,0,0
8,SDG,Eric Bieniemy,BienEr00,1991-10-27,1991,9,REG,0,0,0,0,0,0,0,0,0,0
0,SDG,Eric Bieniemy,BienEr00,,1991,10,BYE,0,0,0,0,0,0,0,0,0,0
9,SDG,Eric Bieniemy,BienEr00,1991-11-10,1991,11,REG,0,0,0,0,0,0,0,0,0,0
10,SDG,Eric Bieniemy,BienEr00,1991-11-17,1991,12,REG,0,0,0,0,0,0,0,0,0,0
11,SDG,Eric Bieniemy,BienEr00,1991-11-24,1991,13,REG,0,0,0,0,0,0,0,0,0,0
12,SDG,Eric Bieniemy,BienEr00,1991-12-01,1991,14,REG,0,0,0,0,0,0,0,0,0,0
13,SDG,Eric Bieniemy,BienEr00,1991-12-08,1991,15,REG,0,3,17,0,0,0,0,0,0,0
14,SDG,Eric Bieniemy,BienEr00,1991-12-15,1991,16,REG,0,0,0,0,0,0,0,0,0,0
15,SDG,Eric Bieniemy,BienEr00,1991-12-22,1991,17,REG,0,0,0,0,0,0,0,0,0,0
16,SDG,Eric Bieniemy,BienEr00,1992-09-06,1992,1,REG,0,0,0,0,0,0,0,0,0,0
17,SDG,Eric Bieniemy,BienEr00,1992-09-13,1992,2,REG,0,0,0,0,1,0,0,0,0,0
18,SDG,Eric Bieniemy,BienEr00,1992-09-20,1992,3,REG,0,0,0,0,0,0,0,0,0,0
19,SDG,Eric Bieniemy,BienEr00,1992-09-27,1992,4,REG,0,0,0,0,1,1,3,0,0,0
20,SDG,Eric Bieniemy,BienEr00,1992-10-04,1992,5,REG,0,1,4,0,0,0,0,0,0,0
0,SDG,Eric Bieniemy,BienEr00,,1992,6,BYE,0,0,0,0,0,0,0,0,0,0
21,SDG,Eric Bieniemy,BienEr00,1992-10-18,1992,7,REG,0,10,48,1,0,0,0,0,0,0
22,SDG,Eric Bieniemy,BienEr00,1992-10-25,1992,8,REG,0,4,14,0,1,1,9,0,0,0
23,SDG,Eric Bieniemy,BienEr00,1992-11-01,1992,9,REG,0,4,13,0,1,1,3,0,0,0
0,SDG,Eric Bieniemy,BienEr00,1992-11-08,1992,10,DNP,0,0,0,0,0,0,0,0,0,0
24,SDG,Eric Bieniemy,BienEr00,1992-11-15,1992,11,REG,0,3,9,0,0,0,0,0,0,0
25,SDG,Eric Bieniemy,BienEr00,1992-11-22,1992,12,REG,0,5,23,0,1,0,0,0,0,0
26,SDG,Eric Bieniemy,BienEr00,1992-11-29,1992,13,REG,0,10,49,0,1,1,9,0,0,0
27,SDG,Eric Bieniemy,BienEr00,1992-12-06,1992,14,REG,0,9,24,1,1,1,25,0,0,0
28,SDG,Eric Bieniemy,BienEr00,1992-12-13,1992,15,REG,0,12,41,0,0,0,0,0,0,0
29,SDG,Eric Bieniemy,BienEr00,1992-12-20,1992,16,REG,0,11,29,1,0,0,0,0,0,0
30,SDG,Eric Bieniemy,BienEr00,1992-12-27,1992,17,REG,0,5,10,0,0,0,0,0,0,0
