CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,RAM,Eric Dickerson,DickEr00,1983-09-04,1983,1,REG,1,31,91,0,0,0,0,0,0,0
2,RAM,Eric Dickerson,DickEr00,1983-09-11,1983,2,REG,1,18,88,3,5,4,40,0,0,0
3,RAM,Eric Dickerson,DickEr00,1983-09-18,1983,3,REG,1,20,75,1,7,6,36,0,0,0
4,RAM,Eric Dickerson,DickEr00,1983-09-25,1983,4,REG,1,28,192,2,5,5,45,0,0,0
5,RAM,Eric Dickerson,DickEr00,1983-10-02,1983,5,REG,1,30,199,3,3,3,21,0,0,0
6,RAM,Eric Dickerson,DickEr00,1983-10-09,1983,6,REG,1,22,142,1,1,1,4,0,0,0
7,RAM,Eric Dickerson,DickEr00,1983-10-16,1983,7,REG,1,29,64,2,7,5,48,0,0,0
8,RAM,Eric Dickerson,DickEr00,1983-10-23,1983,8,REG,1,25,144,0,3,3,46,2,0,0
9,RAM,Eric Dickerson,DickEr00,1983-10-30,1983,9,REG,1,14,101,1,8,8,60,0,0,0
10,RAM,Eric Dickerson,DickEr00,1983-11-06,1983,10,REG,1,34,127,2,3,2,17,0,0,0
11,RAM,Eric Dickerson,DickEr00,1983-11-14,1983,11,REG,1,21,146,2,6,6,40,0,0,0
12,RAM,Eric Dickerson,DickEr00,1983-11-20,1983,12,REG,1,12,37,0,3,1,12,0,0,0
13,RAM,Eric Dickerson,DickEr00,1983-11-27,1983,13,REG,1,32,125,1,3,1,1,0,0,0
14,RAM,Eric Dickerson,DickEr00,1983-12-04,1983,14,REG,1,28,103,0,2,1,2,0,0,0
15,RAM,Eric Dickerson,DickEr00,1983-12-11,1983,15,REG,1,27,94,0,3,2,16,0,0,0
16,RAM,Eric Dickerson,DickEr00,1983-12-18,1983,16,REG,1,19,80,0,4,3,16,0,0,0
17,RAM,Eric Dickerson,DickEr00,1983-12-26,1983,17,POST,1,23,99,0,4,2,11,0,0,0
18,RAM,Eric Dickerson,DickEr00,1984-01-01,1983,18,POST,1,10,16,0,7,6,9,0,0,0
19,RAM,Eric Dickerson,DickEr00,1984-09-03,1984,1,REG,1,21,138,1,4,2,20,0,0,0
20,RAM,Eric Dickerson,DickEr00,1984-09-09,1984,2,REG,1,27,102,0,2,2,9,0,0,0
21,RAM,Eric Dickerson,DickEr00,1984-09-16,1984,3,REG,1,23,49,0,5,3,16,0,0,0
22,RAM,Eric Dickerson,DickEr00,1984-09-23,1984,4,REG,1,22,89,1,2,0,0,0,0,0
23,RAM,Eric Dickerson,DickEr00,1984-09-30,1984,5,REG,1,22,120,0,3,3,27,0,0,0
24,RAM,Eric Dickerson,DickEr00,1984-10-07,1984,6,REG,1,19,107,2,1,1,17,0,0,0
25,RAM,Eric Dickerson,DickEr00,1984-10-14,1984,7,REG,1,20,175,0,0,0,0,0,0,0
26,RAM,Eric Dickerson,DickEr00,1984-10-22,1984,8,REG,1,24,145,1,1,1,2,0,0,0
27,RAM,Eric Dickerson,DickEr00,1984-10-28,1984,9,REG,1,13,38,0,4,3,19,0,0,0
28,RAM,Eric Dickerson,DickEr00,1984-11-04,1984,10,REG,1,21,208,0,1,0,0,0,0,0
29,RAM,Eric Dickerson,DickEr00,1984-11-11,1984,11,REG,1,28,149,2,0,0,0,0,0,0
30,RAM,Eric Dickerson,DickEr00,1984-11-18,1984,12,REG,1,25,132,0,4,3,14,0,0,0
31,RAM,Eric Dickerson,DickEr00,1984-11-25,1984,13,REG,1,28,191,3,2,1,3,0,0,0
32,RAM,Eric Dickerson,DickEr00,1984-12-02,1984,14,REG,1,33,149,1,2,1,6,0,0,0
33,RAM,Eric Dickerson,DickEr00,1984-12-09,1984,15,REG,1,27,215,2,0,0,0,0,0,0
34,RAM,Eric Dickerson,DickEr00,1984-12-14,1984,16,REG,1,26,98,1,1,1,6,0,0,0
35,RAM,Eric Dickerson,DickEr00,1984-12-23,1984,17,POST,1,23,107,1,1,0,0,0,0,0
36,RAM,Eric Dickerson,DickEr00,1985-09-23,1985,3,REG,1,31,150,3,1,1,33,0,0,0
37,RAM,Eric Dickerson,DickEr00,1985-09-29,1985,4,REG,1,7,26,0,1,1,4,0,0,0
38,RAM,Eric Dickerson,DickEr00,1985-10-06,1985,5,REG,1,25,55,1,1,1,7,0,0,0
39,RAM,Eric Dickerson,DickEr00,1985-10-13,1985,6,REG,1,25,75,1,1,1,5,0,0,0
