CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,CLE,Eric Metcalf,MetcEr00,1989-09-10,1989,1,REG,0,10,28,0,5,4,9,0,0,0
2,CLE,Eric Metcalf,MetcEr00,1989-09-17,1989,2,REG,0,2,3,0,1,1,7,0,0,0
3,CLE,Eric Metcalf,MetcEr00,1989-09-25,1989,3,REG,0,8,34,0,1,1,5,1,0,0
4,CLE,Eric Metcalf,MetcEr00,1989-10-01,1989,4,REG,1,9,26,0,6,5,24,0,0,0
5,CLE,Eric Metcalf,MetcEr00,1989-10-08,1989,5,REG,1,16,78,1,5,3,28,0,0,0
6,CLE,Eric Metcalf,MetcEr00,1989-10-15,1989,6,REG,1,13,57,1,6,2,13,0,0,0
7,CLE,Eric Metcalf,MetcEr00,1989-10-23,1989,7,REG,1,12,16,1,5,4,8,1,0,0
8,CLE,Eric Metcalf,MetcEr00,1989-10-29,1989,8,REG,1,17,48,0,7,6,46,0,0,0
9,CLE,Eric Metcalf,MetcEr00,1989-11-05,1989,9,REG,1,17,87,1,8,7,52,1,0,0
10,CLE,Eric Metcalf,MetcEr00,1989-11-12,1989,10,REG,1,19,75,0,1,1,7,0,0,0
11,CLE,Eric Metcalf,MetcEr00,1989-11-19,1989,11,REG,1,23,49,1,7,4,27,0,0,0
12,CLE,Eric Metcalf,MetcEr00,1989-11-23,1989,12,REG,1,11,19,0,3,2,18,0,0,0
13,CLE,Eric Metcalf,MetcEr00,1989-12-03,1989,13,REG,1,13,56,0,6,3,5,0,0,0
14,CLE,Eric Metcalf,MetcEr00,1989-12-10,1989,14,REG,1,11,39,1,7,7,58,0,0,0
15,CLE,Eric Metcalf,MetcEr00,1989-12-17,1989,15,REG,0,2,4,0,5,2,16,0,0,0
16,CLE,Eric Metcalf,MetcEr00,1989-12-23,1989,16,REG,0,4,14,0,2,2,74,1,0,0
17,CLE,Eric Metcalf,MetcEr00,1990-01-06,1989,18,POST,0,4,2,0,2,1,8,0,0,0
18,CLE,Eric Metcalf,MetcEr00,1990-01-14,1989,19,POST,1,3,4,0,5,2,7,0,0,0
19,CLE,Eric Metcalf,MetcEr00,1990-09-09,1990,1,REG,1,8,6,0,3,0,0,0,0,0
20,CLE,Eric Metcalf,MetcEr00,1990-09-16,1990,2,REG,1,6,9,0,12,9,54,0,0,0
21,CLE,Eric Metcalf,MetcEr00,1990-09-23,1990,3,REG,1,5,10,0,7,6,77,0,0,0
22,CLE,Eric Metcalf,MetcEr00,1990-09-30,1990,4,REG,0,3,-4,0,5,1,31,0,0,0
23,CLE,Eric Metcalf,MetcEr00,1990-10-08,1990,5,REG,0,5,14,1,3,3,8,0,0,0
24,CLE,Eric Metcalf,MetcEr00,1990-10-14,1990,6,REG,0,4,6,0,3,2,-6,0,0,0
25,CLE,Eric Metcalf,MetcEr00,1990-10-22,1990,7,REG,0,4,10,0,5,2,7,0,0,0
