CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp,SUSP,INJ,Game Status,Injuries
1,DAL,Ezekiel Elliott,ElliEz00,2016-09-11,2016,1,REG,1,20,51,1,2,1,1,0,48,0,0,0,,
2,DAL,Ezekiel Elliott,ElliEz00,2016-09-18,2016,2,REG,1,21,83,1,2,2,4,0,43,0,0,0,,
3,DAL,Ezekiel Elliott,ElliEz00,2016-09-25,2016,3,REG,1,30,140,0,2,2,20,0,51,1,0,0,,
4,DAL,Ezekiel Elliott,ElliEz00,2016-10-02,2016,4,REG,1,23,138,1,1,1,19,0,47,0,0,0,,
5,DAL,Ezekiel Elliott,ElliEz00,2016-10-09,2016,5,REG,1,15,134,2,4,3,37,0,45,2,0,0,,
6,DAL,Ezekiel Elliott,ElliEz00,2016-10-16,2016,6,REG,1,28,157,0,4,2,17,0,58,1,0,0,,
0,DAL,Ezekiel Elliott,ElliEz00,,2016,7,BYE,0,0,0,0,0,0,0,0,0,0,0,0,,
7,DAL,Ezekiel Elliott,ElliEz00,2016-10-30,2016,8,REG,1,22,96,0,4,4,52,0,64,0,0,0,,
8,DAL,Ezekiel Elliott,ElliEz00,2016-11-06,2016,9,REG,1,18,92,2,1,1,5,0,44,0,0,0,,
9,DAL,Ezekiel Elliott,ElliEz00,2016-11-13,2016,10,REG,1,21,114,2,2,2,95,1,43,0,0,0,,
10,DAL,Ezekiel Elliott,ElliEz00,2016-11-20,2016,11,REG,1,25,97,0,5,4,30,0,50,0,0,0,,
11,DAL,Ezekiel Elliott,ElliEz00,2016-11-24,2016,12,REG,1,20,97,2,2,2,23,0,46,1,0,0,,
12,DAL,Ezekiel Elliott,ElliEz00,2016-12-01,2016,13,REG,1,20,86,1,5,4,19,0,43,1,0,0,,
13,DAL,Ezekiel Elliott,ElliEz00,2016-12-11,2016,14,REG,1,24,107,0,2,0,0,0,44,0,0,0,,
14,DAL,Ezekiel Elliott,ElliEz00,2016-12-18,2016,15,REG,1,23,159,1,3,3,29,0,58,0,0,0,,
15,DAL,Ezekiel Elliott,ElliEz00,2016-12-26,2016,16,REG,1,12,80,2,1,1,12,0,29,0,0,0,,
16,DAL,Ezekiel Elliott,ElliEz00,2017-01-15,2016,19,POST,1,22,125,0,1,1,-2,0,56,0,0,0,,
17,DAL,Ezekiel Elliott,ElliEz00,2017-09-10,2017,1,REG,1,24,104,0,5,5,36,0,60,0,0,0,,
18,DAL,Ezekiel Elliott,ElliEz00,2017-09-17,2017,2,REG,1,9,8,0,5,4,14,0,63,0,0,0,,
19,DAL,Ezekiel Elliott,ElliEz00,2017-09-25,2017,3,REG,1,22,80,1,4,3,14,0,43,0,0,0,,
20,DAL,Ezekiel Elliott,ElliEz00,2017-10-01,2017,4,REG,1,21,85,1,5,4,54,1,64,0,0,0,,
21,DAL,Ezekiel Elliott,ElliEz00,2017-10-08,2017,5,REG,1,29,116,0,2,1,16,0,64,0,0,0,,
0,DAL,Ezekiel Elliott,ElliEz00,,2017,6,BYE,0,0,0,0,0,0,0,0,0,0,0,0,,
22,DAL,Ezekiel Elliott,ElliEz00,2017-10-22,2017,7,REG,1,26,147,2,3,1,72,1,50,1,0,0,,
23,DAL,Ezekiel Elliott,ElliEz00,2017-10-29,2017,8,REG,1,33,150,2,2,1,4,0,58,1,0,0,,
24,DAL,Ezekiel Elliott,ElliEz00,2017-11-05,2017,9,REG,1,27,93,1,0,0,0,0,62,0,0,0,,
