CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp,SUSP,INJ,Game Status,Injuries
0,BUF,Fred Jackson,JackFr02,2007-09-09,2007,1,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,BUF,Fred Jackson,JackFr02,2007-09-16,2007,2,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,BUF,Fred Jackson,JackFr02,2007-09-23,2007,3,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,BUF,Fred Jackson,JackFr02,2007-09-30,2007,4,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,BUF,Fred Jackson,JackFr02,2007-10-08,2007,5,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,BUF,Fred Jackson,JackFr02,1970-01-01,2007,6,BYE,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,BUF,Fred Jackson,JackFr02,2007-10-21,2007,7,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
1,BUF,Fred Jackson,JackFr02,2007-10-28,2007,8,REG,0,1,1,0,1,1,-1,0,0,0,0,0,,
0,BUF,Fred Jackson,JackFr02,2007-11-04,2007,9,DNP,0,0,0,0,0,0,0,0,0,0,0,0,,
0,BUF,Fred Jackson,JackFr02,2007-11-11,2007,10,DNP,0,0,0,0,0,0,0,0,0,0,0,0,,
2,BUF,Fred Jackson,JackFr02,2007-11-18,2007,11,REG,0,3,15,0,2,2,9,0,0,0,0,0,,
3,BUF,Fred Jackson,JackFr02,2007-11-25,2007,12,REG,0,5,18,0,6,5,47,0,0,0,0,0,,
4,BUF,Fred Jackson,JackFr02,2007-12-02,2007,13,REG,1,16,82,0,6,4,69,0,0,0,0,0,,
5,BUF,Fred Jackson,JackFr02,2007-12-09,2007,14,REG,0,15,115,0,3,1,6,0,0,0,0,0,,
6,BUF,Fred Jackson,JackFr02,2007-12-16,2007,15,REG,0,7,16,0,4,3,36,0,0,0,0,0,,
7,BUF,Fred Jackson,JackFr02,2007-12-23,2007,16,REG,0,6,37,0,1,0,0,0,0,0,0,0,,
8,BUF,Fred Jackson,JackFr02,2007-12-30,2007,17,REG,0,5,16,0,7,6,24,0,0,0,0,0,,
9,BUF,Fred Jackson,JackFr02,2008-09-07,2008,1,REG,0,10,31,0,0,0,0,0,0,0,0,0,,
10,BUF,Fred Jackson,JackFr02,2008-09-14,2008,2,REG,0,6,17,0,7,7,83,0,0,0,0,0,,
11,BUF,Fred Jackson,JackFr02,2008-09-21,2008,3,REG,0,5,24,0,2,1,1,0,0,0,0,0,,
12,BUF,Fred Jackson,JackFr02,2008-09-28,2008,4,REG,0,7,46,1,3,3,9,0,0,0,0,0,,
13,BUF,Fred Jackson,JackFr02,2008-10-05,2008,5,REG,0,2,16,0,3,3,32,0,0,0,0,0,,
0,BUF,Fred Jackson,JackFr02,1970-01-01,2008,6,BYE,0,0,0,0,0,0,0,0,0,0,0,0,,
14,BUF,Fred Jackson,JackFr02,2008-10-19,2008,7,REG,0,9,33,0,3,3,28,0,0,0,0,0,,
15,BUF,Fred Jackson,JackFr02,2008-10-26,2008,8,REG,0,10,41,0,1,1,1,0,0,0,0,0,,
16,BUF,Fred Jackson,JackFr02,2008-11-02,2008,9,REG,0,7,15,0,6,3,25,0,0,0,0,0,,
17,BUF,Fred Jackson,JackFr02,2008-11-09,2008,10,REG,0,4,14,0,3,2,11,0,0,0,0,0,,
18,BUF,Fred Jackson,JackFr02,2008-11-17,2008,11,REG,0,12,60,0,0,0,0,0,0,0,0,0,,
19,BUF,Fred Jackson,JackFr02,2008-11-23,2008,12,REG,0,9,56,0,2,2,20,0,0,0,0,0,,
20,BUF,Fred Jackson,JackFr02,2008-11-30,2008,13,REG,1,5,8,0,3,2,13,0,0,0,0,0,,
21,BUF,Fred Jackson,JackFr02,2008-12-07,2008,14,REG,0,0,0,0,0,0,0,0,0,0,0,0,,
22,BUF,Fred Jackson,JackFr02,2008-12-14,2008,15,REG,1,7,31,1,6,6,24,0,0,0,0,0,,
23,BUF,Fred Jackson,JackFr02,2008-12-21,2008,16,REG,0,10,43,1,4,3,70,0,0,0,0,0,,
24,BUF,Fred Jackson,JackFr02,2008-12-28,2008,17,REG,1,27,136,0,2,1,0,0,0,0,0,0,,
25,BUF,Fred Jackson,JackFr02,2009-09-14,2009,1,REG,1,15,57,0,8,5,83,1,0,0,0,0,,
26,BUF,Fred Jackson,JackFr02,2009-09-20,2009,2,REG,1,28,163,0,8,6,25,0,0,0,0,0,,
27,BUF,Fred Jackson,JackFr02,2009-09-27,2009,3,REG,1,18,71,0,5,4,26,0,0,0,0,0,,
