CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,CIN,Harold Green,GreeHa00,1990-09-09,1990,1,REG,1,5,22,0,3,2,5,0,0,0
2,CIN,Harold Green,GreeHa00,1990-09-16,1990,2,REG,1,7,19,0,0,0,0,0,0,0
3,CIN,Harold Green,GreeHa00,1990-09-23,1990,3,REG,1,12,45,1,3,3,17,0,0,0
4,CIN,Harold Green,GreeHa00,1990-10-01,1990,4,REG,1,6,39,0,0,0,0,0,0,0
5,CIN,Harold Green,GreeHa00,1990-10-07,1990,5,REG,1,15,54,0,5,4,50,1,0,0
6,CIN,Harold Green,GreeHa00,1990-10-14,1990,6,REG,1,11,43,0,3,1,6,0,0,0
7,CIN,Harold Green,GreeHa00,1990-10-22,1990,7,REG,1,9,75,0,1,0,0,0,0,0
8,CIN,Harold Green,GreeHa00,1990-10-28,1990,8,REG,1,4,24,0,1,0,0,0,0,0
9,CIN,Harold Green,GreeHa00,1990-11-04,1990,9,REG,1,6,14,0,2,2,12,0,0,0
0,CIN,Harold Green,GreeHa00,,1990,10,BYE,0,0,0,0,0,0,0,0,0,0
10,CIN,Harold Green,GreeHa00,1990-11-18,1990,11,REG,0,2,6,0,0,0,0,0,0,0
0,CIN,Harold Green,GreeHa00,1990-11-25,1990,12,DNP,0,0,0,0,0,0,0,0,0,0
0,CIN,Harold Green,GreeHa00,1990-12-02,1990,13,DNP,0,0,0,0,0,0,0,0,0,0
0,CIN,Harold Green,GreeHa00,1990-12-09,1990,14,DNP,0,0,0,0,0,0,0,0,0,0
11,CIN,Harold Green,GreeHa00,1990-12-16,1990,15,REG,0,4,13,0,0,0,0,0,0,0
12,CIN,Harold Green,GreeHa00,1990-12-23,1990,16,REG,0,2,-1,0,0,0,0,0,0,0
0,CIN,Harold Green,GreeHa00,1990-12-30,1990,17,DNP,0,0,0,0,0,0,0,0,0,0
13,CIN,Harold Green,GreeHa00,1991-01-06,1990,18,POST,0,11,55,0,3,2,15,1,0,0
14,CIN,Harold Green,GreeHa00,1991-01-13,1990,19,POST,0,0,0,0,0,0,0,0,0,0
15,CIN,Harold Green,GreeHa00,1991-09-01,1991,1,REG,0,6,12,0,0,0,0,0,0,0
16,CIN,Harold Green,GreeHa00,1991-09-08,1991,2,REG,0,3,18,0,2,2,9,0,0,0
17,CIN,Harold Green,GreeHa00,1991-09-15,1991,3,REG,0,5,-2,0,0,0,0,0,0,0
18,CIN,Harold Green,GreeHa00,1991-09-22,1991,4,REG,0,9,40,0,2,1,9,0,0,0
0,CIN,Harold Green,GreeHa00,,1991,5,BYE,0,0,0,0,0,0,0,0,0,0
