CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp,SUSP,INJ,Game Status,Injuries
1,CIN,Ickey Woods,WoodIc00,1988-09-04,1988,1,REG,0,3,8,0,0,0,0,0,0,0,0,0,nan,nan
2,CIN,Ickey Woods,WoodIc00,1988-09-11,1988,2,REG,0,3,7,0,1,0,0,0,0,0,0,0,nan,nan
3,CIN,Ickey Woods,WoodIc00,1988-09-18,1988,3,REG,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
4,CIN,Ickey Woods,WoodIc00,1988-09-25,1988,4,REG,0,13,62,2,0,0,0,0,0,0,0,0,nan,nan
5,CIN,Ickey Woods,WoodIc00,1988-10-02,1988,5,REG,0,12,48,1,0,0,0,0,0,0,0,0,nan,nan
6,CIN,Ickey Woods,WoodIc00,1988-10-09,1988,6,REG,1,30,139,2,1,1,13,0,0,0,0,0,nan,nan
7,CIN,Ickey Woods,WoodIc00,1988-10-16,1988,7,REG,1,13,43,1,3,3,42,0,0,0,0,0,nan,nan
8,CIN,Ickey Woods,WoodIc00,1988-10-23,1988,8,REG,1,14,40,2,3,3,25,0,0,0,0,0,nan,nan
9,CIN,Ickey Woods,WoodIc00,1988-10-30,1988,9,REG,1,9,30,0,2,1,16,0,0,0,0,0,nan,nan
10,CIN,Ickey Woods,WoodIc00,1988-11-06,1988,10,REG,0,10,110,0,2,2,18,0,0,0,0,0,nan,nan
11,CIN,Ickey Woods,WoodIc00,1988-11-13,1988,11,REG,1,13,76,1,0,0,0,0,0,0,0,0,nan,nan
12,CIN,Ickey Woods,WoodIc00,1988-11-20,1988,12,REG,1,10,47,1,1,1,7,0,0,0,0,0,nan,nan
13,CIN,Ickey Woods,WoodIc00,1988-11-27,1988,13,REG,1,26,129,3,5,5,38,0,0,0,0,0,nan,nan
14,CIN,Ickey Woods,WoodIc00,1988-12-04,1988,14,REG,1,19,141,2,1,1,9,0,0,0,0,0,nan,nan
15,CIN,Ickey Woods,WoodIc00,1988-12-11,1988,15,REG,1,10,71,0,3,3,25,0,0,0,0,0,nan,nan
16,CIN,Ickey Woods,WoodIc00,1988-12-17,1988,16,REG,1,18,115,0,1,1,6,0,0,0,0,0,nan,nan
0,CIN,Ickey Woods,WoodIc00,1988-12-31,1988,17,DNP,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
17,CIN,Ickey Woods,WoodIc00,1988-12-31,1988,18,POST,1,23,126,1,1,0,0,0,0,0,0,0,nan,nan
18,CIN,Ickey Woods,WoodIc00,1989-01-08,1988,19,POST,1,29,102,2,0,0,0,0,0,0,0,0,nan,nan
19,CIN,Ickey Woods,WoodIc00,1989-01-22,1988,20,POST,1,20,79,0,0,0,0,0,0,0,0,0,nan,nan
20,CIN,Ickey Woods,WoodIc00,1989-09-10,1989,1,REG,1,20,62,1,1,0,0,0,0,0,0,0,nan,nan
21,CIN,Ickey Woods,WoodIc00,1989-09-17,1989,2,REG,1,9,32,1,0,0,0,0,0,0,0,0,nan,nan
0,CIN,Ickey Woods,WoodIc00,1989-09-25,1989,3,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,CIN,Ickey Woods,WoodIc00,1989-10-01,1989,4,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,CIN,Ickey Woods,WoodIc00,1989-10-08,1989,5,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,CIN,Ickey Woods,WoodIc00,1989-10-15,1989,6,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,CIN,Ickey Woods,WoodIc00,1989-10-22,1989,7,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,CIN,Ickey Woods,WoodIc00,1989-10-29,1989,8,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,CIN,Ickey Woods,WoodIc00,1989-11-05,1989,9,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,CIN,Ickey Woods,WoodIc00,1989-11-13,1989,10,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,CIN,Ickey Woods,WoodIc00,1989-11-19,1989,11,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,CIN,Ickey Woods,WoodIc00,1989-11-26,1989,12,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,CIN,Ickey Woods,WoodIc00,1989-12-03,1989,13,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,CIN,Ickey Woods,WoodIc00,1989-12-10,1989,14,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,CIN,Ickey Woods,WoodIc00,1989-12-17,1989,15,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,CIN,Ickey Woods,WoodIc00,1989-12-25,1989,16,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,CIN,Ickey Woods,WoodIc00,1990-09-09,1990,1,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,CIN,Ickey Woods,WoodIc00,1990-09-16,1990,2,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,CIN,Ickey Woods,WoodIc00,1990-09-23,1990,3,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,CIN,Ickey Woods,WoodIc00,1990-10-01,1990,4,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,CIN,Ickey Woods,WoodIc00,1990-10-07,1990,5,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,CIN,Ickey Woods,WoodIc00,1990-10-14,1990,6,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
22,CIN,Ickey Woods,WoodIc00,1990-10-22,1990,7,REG,0,5,7,1,1,1,11,0,0,0,0,0,nan,nan
23,CIN,Ickey Woods,WoodIc00,1990-10-28,1990,8,REG,0,5,11,0,8,7,66,0,0,0,0,0,nan,nan
24,CIN,Ickey Woods,WoodIc00,1990-11-04,1990,9,REG,0,8,50,0,3,3,22,0,0,0,0,0,nan,nan
0,CIN,Ickey Woods,WoodIc00,,1990,10,BYE,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
25,CIN,Ickey Woods,WoodIc00,1990-11-18,1990,11,REG,1,8,23,1,2,2,17,0,0,0,0,0,nan,nan
26,CIN,Ickey Woods,WoodIc00,1990-11-25,1990,12,REG,1,5,46,1,3,2,13,0,0,0,0,0,nan,nan
27,CIN,Ickey Woods,WoodIc00,1990-12-02,1990,13,REG,1,7,38,0,2,0,0,0,0,0,0,0,nan,nan
28,CIN,Ickey Woods,WoodIc00,1990-12-09,1990,14,REG,1,8,42,1,1,1,7,0,0,0,0,0,nan,nan
29,CIN,Ickey Woods,WoodIc00,1990-12-16,1990,15,REG,0,0,0,0,1,1,2,0,0,0,0,0,nan,nan
30,CIN,Ickey Woods,WoodIc00,1990-12-23,1990,16,REG,1,4,3,2,1,1,15,0,0,0,0,0,nan,nan
31,CIN,Ickey Woods,WoodIc00,1990-12-30,1990,17,REG,1,14,48,0,3,2,9,0,0,0,0,0,nan,nan
32,CIN,Ickey Woods,WoodIc00,1991-01-06,1990,18,POST,0,6,11,1,2,2,13,0,0,0,0,0,nan,nan
33,CIN,Ickey Woods,WoodIc00,1991-01-13,1990,19,POST,1,11,73,0,1,1,5,0,0,0,0,0,nan,nan
0,CIN,Ickey Woods,WoodIc00,1991-09-01,1991,1,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,CIN,Ickey Woods,WoodIc00,1991-09-08,1991,2,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,CIN,Ickey Woods,WoodIc00,1991-09-15,1991,3,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,CIN,Ickey Woods,WoodIc00,1991-09-22,1991,4,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,CIN,Ickey Woods,WoodIc00,,1991,5,BYE,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,CIN,Ickey Woods,WoodIc00,1991-10-06,1991,6,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
0,CIN,Ickey Woods,WoodIc00,1991-10-13,1991,7,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Inferred
34,CIN,Ickey Woods,WoodIc00,1991-10-21,1991,8,REG,0,3,-1,0,2,1,16,0,0,0,0,0,nan,nan
35,CIN,Ickey Woods,WoodIc00,1991-10-27,1991,9,REG,0,1,3,0,0,0,0,0,0,0,0,0,nan,nan
36,CIN,Ickey Woods,WoodIc00,1991-11-03,1991,10,REG,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
37,CIN,Ickey Woods,WoodIc00,1991-11-10,1991,11,REG,0,7,33,2,5,4,11,0,0,0,0,0,nan,nan
38,CIN,Ickey Woods,WoodIc00,1991-11-17,1991,12,REG,1,8,16,0,0,0,0,0,0,0,0,0,nan,nan
39,CIN,Ickey Woods,WoodIc00,1991-11-24,1991,13,REG,1,11,44,1,1,1,9,0,0,0,0,0,nan,nan
40,CIN,Ickey Woods,WoodIc00,1991-12-01,1991,14,REG,0,3,1,0,1,0,0,0,0,0,0,0,nan,nan
41,CIN,Ickey Woods,WoodIc00,1991-12-09,1991,15,REG,0,1,1,1,0,0,0,0,0,0,0,0,nan,nan
0,CIN,Ickey Woods,WoodIc00,1991-12-15,1991,16,DNP,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
42,CIN,Ickey Woods,WoodIc00,1991-12-22,1991,17,REG,0,2,0,0,0,0,0,0,0,0,0,0,nan,nan
