CarGm,Date,Season,Season_type,Week,Team,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,2024-09-09,2024,REG,1,SFO,0,0,0,0,0,0,0,0,3,10
2,2024-09-15,2024,REG,2,SFO,0,1,0,0,0,0,0,0,1,3
3,2024-09-22,2024,REG,3,SFO,0,5,19,0,0,0,0,0,10,11
4,2024-09-29,2024,REG,4,SFO,0,1,0,0,0,0,0,0,5,12
5,2024-10-06,2024,REG,5,SFO,0,5,22,0,0,0,0,0,9,14
6,2024-10-10,2024,REG,6,SFO,0,10,99,0,0,0,0,0,17,10
7,2024-10-20,2024,REG,7,SFO,0,1,2,0,1,1,5,0,5,13
8,2024-10-27,2024,REG,8,SFO,0,14,85,1,4,3,17,0,43,13
0,,2024,BYE,9,SFO,0,0,0,0,0,0,0,0,0,0
9,2024-11-10,2024,REG,10,SFO,0,1,0,0,0,0,0,0,3,16
10,2024-11-17,2024,REG,11,SFO,0,0,0,0,0,0,0,0,2,8
11,2024-11-24,2024,REG,12,SFO,0,0,0,0,0,0,0,0,0,7
12,2024-12-01,2024,REG,13,SFO,0,4,19,1,1,1,-3,0,11,7
13,2024-12-08,2024,REG,14,SFO,1,15,78,2,2,2,50,0,34,0
14,2024-12-12,2024,REG,15,SFO,1,16,57,0,4,4,18,0,41,0
0,2024-12-22,2024,DNP,16,SFO,0,0,0,0,0,0,0,0,0,0
15,2024-12-30,2024,REG,17,SFO,0,9,34,0,4,4,65,0,39,0
16,2025-01-05,2024,REG,18,SFO,1,2,5,0,0,0,0,0,4,0
