CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
0,CHI,James Allen,AlleJa00,1998-09-06,1998,1,DNP,0,0,0,0,0,0,0,0,0,0
0,CHI,James Allen,AlleJa00,1998-09-13,1998,2,DNP,0,0,0,0,0,0,0,0,0,0
0,CHI,James Allen,AlleJa00,1998-09-20,1998,3,DNP,0,0,0,0,0,0,0,0,0,0
0,CHI,James Allen,AlleJa00,1998-09-27,1998,4,DNP,0,0,0,0,0,0,0,0,0,0
0,CHI,James Allen,AlleJa00,1998-10-04,1998,5,DNP,0,0,0,0,0,0,0,0,0,0
0,CHI,James Allen,AlleJa00,1998-10-11,1998,6,DNP,0,0,0,0,0,0,0,0,0,0
0,CHI,James Allen,AlleJa00,1998-10-18,1998,7,DNP,0,0,0,0,0,0,0,0,0,0
0,CHI,James Allen,AlleJa00,1998-10-25,1998,8,DNP,0,0,0,0,0,0,0,0,0,0
0,CHI,James Allen,AlleJa00,1970-01-01,1998,9,BYE,0,0,0,0,0,0,0,0,0,0
0,CHI,James Allen,AlleJa00,1998-11-08,1998,10,DNP,0,0,0,0,0,0,0,0,0,0
1,CHI,James Allen,AlleJa00,1998-11-15,1998,11,REG,0,0,0,0,0,0,0,0,0,0
2,CHI,James Allen,AlleJa00,1998-11-22,1998,12,REG,0,2,5,0,0,0,0,0,0,0
3,CHI,James Allen,AlleJa00,1998-11-29,1998,13,REG,0,7,31,0,1,1,3,0,0,0
4,CHI,James Allen,AlleJa00,1998-12-06,1998,14,REG,0,4,11,0,5,2,36,0,0,0
0,CHI,James Allen,AlleJa00,1998-12-13,1998,15,DNP,0,0,0,0,0,0,0,0,0,0
5,CHI,James Allen,AlleJa00,1998-12-20,1998,16,REG,1,23,163,1,5,3,11,0,0,0
6,CHI,James Allen,AlleJa00,1998-12-27,1998,17,REG,1,22,60,0,3,2,27,1,0,0
0,CHI,James Allen,AlleJa00,1999-09-12,1999,1,DNP,0,0,0,0,0,0,0,0,0,0
0,CHI,James Allen,AlleJa00,1999-09-19,1999,2,DNP,0,0,0,0,0,0,0,0,0,0
7,CHI,James Allen,AlleJa00,1999-09-26,1999,3,REG,0,0,0,0,0,0,0,0,0,0
8,CHI,James Allen,AlleJa00,1999-10-03,1999,4,REG,0,1,4,0,0,0,0,0,0,0
9,CHI,James Allen,AlleJa00,1999-10-10,1999,5,REG,0,1,1,0,0,0,0,0,0,0
0,CHI,James Allen,AlleJa00,1999-10-17,1999,6,DNP,0,0,0,0,0,0,0,0,0,0
0,CHI,James Allen,AlleJa00,1999-10-24,1999,7,DNP,0,0,0,0,0,0,0,0,0,0
10,CHI,James Allen,AlleJa00,1999-10-31,1999,8,REG,0,0,0,0,0,0,0,0,0,0
11,CHI,James Allen,AlleJa00,1999-11-07,1999,9,REG,0,4,17,0,0,0,0,0,0,0
12,CHI,James Allen,AlleJa00,1999-11-14,1999,10,REG,0,1,2,0,1,1,2,0,0,0
13,CHI,James Allen,AlleJa00,1999-11-21,1999,11,REG,1,5,21,0,0,0,0,0,0,0
