CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp,SUSP,INJ,Game Status,Injuries
1,DET,James Jones,JoneJa00,1983-09-04,1983,1,REG,1,11,23,0,3,3,49,0,0,0,0,0,nan,nan
2,DET,James Jones,JoneJa00,1983-09-11,1983,2,REG,1,10,44,0,5,3,20,0,0,0,0,0,nan,nan
3,DET,James Jones,JoneJa00,1983-09-18,1983,3,REG,1,8,36,1,9,5,58,0,0,0,0,0,nan,nan
4,DET,James Jones,JoneJa00,1983-09-25,1983,4,REG,1,23,85,0,6,5,54,0,0,0,0,0,nan,nan
5,DET,James Jones,JoneJa00,1983-10-02,1983,5,REG,1,12,43,0,6,2,7,0,0,0,0,0,nan,nan
6,DET,James Jones,JoneJa00,1983-10-09,1983,6,REG,1,19,64,3,3,3,22,0,0,0,0,0,nan,nan
7,DET,James Jones,JoneJa00,1983-10-16,1983,7,REG,1,5,24,0,4,2,56,0,0,0,0,0,nan,nan
8,DET,James Jones,JoneJa00,1983-10-23,1983,8,REG,1,12,38,0,7,4,28,0,0,0,0,0,nan,nan
9,DET,James Jones,JoneJa00,1983-10-30,1983,9,REG,1,7,25,2,5,2,20,0,0,0,0,0,nan,nan
10,DET,James Jones,JoneJa00,1983-11-07,1983,10,REG,1,11,15,0,6,4,34,0,0,0,0,0,nan,nan
11,DET,James Jones,JoneJa00,1983-11-13,1983,11,REG,1,2,4,0,7,6,54,1,0,0,0,0,nan,nan
12,DET,James Jones,JoneJa00,1983-11-20,1983,12,REG,1,1,5,0,2,1,11,0,0,0,0,0,nan,nan
0,DET,James Jones,JoneJa00,1983-11-24,1983,13,DNP,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
0,DET,James Jones,JoneJa00,1983-12-05,1983,14,DNP,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
13,DET,James Jones,JoneJa00,1983-12-11,1983,15,REG,1,0,0,0,1,1,16,0,0,0,0,0,nan,nan
14,DET,James Jones,JoneJa00,1983-12-18,1983,16,REG,1,14,69,0,6,5,38,0,0,0,0,0,nan,nan
0,DET,James Jones,JoneJa00,1983-12-31,1983,17,DNP,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
15,DET,James Jones,JoneJa00,1983-12-31,1983,18,POST,1,10,33,0,7,5,44,0,0,0,0,0,nan,nan
16,DET,James Jones,JoneJa00,1984-09-02,1984,1,REG,1,8,31,0,5,5,25,1,0,0,0,0,nan,nan
17,DET,James Jones,JoneJa00,1984-09-09,1984,2,REG,1,15,50,0,6,5,44,0,0,0,0,0,nan,nan
18,DET,James Jones,JoneJa00,1984-09-16,1984,3,REG,1,10,34,0,8,5,40,0,0,0,0,0,nan,nan
19,DET,James Jones,JoneJa00,1984-09-23,1984,4,REG,1,3,12,0,10,10,70,1,0,0,0,0,nan,nan
20,DET,James Jones,JoneJa00,1984-09-30,1984,5,REG,1,6,9,0,7,7,45,0,0,0,0,0,nan,nan
21,DET,James Jones,JoneJa00,1984-10-07,1984,6,REG,1,4,28,0,4,2,13,0,0,0,0,0,nan,nan
22,DET,James Jones,JoneJa00,1984-10-14,1984,7,REG,1,8,34,0,3,2,26,0,0,0,0,0,nan,nan
23,DET,James Jones,JoneJa00,1984-10-21,1984,8,REG,1,0,0,0,4,3,14,0,0,0,0,0,nan,nan
24,DET,James Jones,JoneJa00,1984-10-28,1984,9,REG,1,5,20,0,6,4,43,0,0,0,0,0,nan,nan
25,DET,James Jones,JoneJa00,1984-11-04,1984,10,REG,1,16,80,0,7,5,38,1,0,0,0,0,nan,nan
26,DET,James Jones,JoneJa00,1984-11-11,1984,11,REG,1,9,83,1,10,6,71,0,0,0,0,0,nan,nan
27,DET,James Jones,JoneJa00,1984-11-18,1984,12,REG,1,17,42,1,2,2,13,0,0,0,0,0,nan,nan
28,DET,James Jones,JoneJa00,1984-11-22,1984,13,REG,1,19,59,1,7,7,75,0,0,0,0,0,nan,nan
29,DET,James Jones,JoneJa00,1984-12-02,1984,14,REG,1,9,27,0,8,6,42,1,0,0,0,0,nan,nan
30,DET,James Jones,JoneJa00,1984-12-10,1984,15,REG,1,4,7,0,9,6,85,0,0,0,0,0,nan,nan
31,DET,James Jones,JoneJa00,1984-12-16,1984,16,REG,1,4,16,0,5,2,18,1,0,0,0,0,nan,nan
32,DET,James Jones,JoneJa00,1985-09-08,1985,1,REG,1,10,75,1,5,3,50,1,0,0,0,0,nan,nan
33,DET,James Jones,JoneJa00,1985-09-15,1985,2,REG,1,4,4,1,2,2,29,0,0,0,0,0,nan,nan
0,DET,James Jones,JoneJa00,1985-09-22,1985,3,DNP,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
0,DET,James Jones,JoneJa00,1985-09-29,1985,4,DNP,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
34,DET,James Jones,JoneJa00,1985-10-06,1985,5,REG,0,9,29,0,5,5,27,0,0,0,0,0,nan,nan
35,DET,James Jones,JoneJa00,1985-10-13,1985,6,REG,1,7,16,0,4,3,28,0,0,0,0,0,nan,nan
36,DET,James Jones,JoneJa00,1985-10-20,1985,7,REG,1,30,116,1,2,1,5,0,0,0,0,0,nan,nan
37,DET,James Jones,JoneJa00,1985-10-27,1985,8,REG,1,36,114,1,2,2,9,1,0,0,0,0,nan,nan
38,DET,James Jones,JoneJa00,1985-11-03,1985,9,REG,1,21,50,0,3,3,32,0,0,0,0,0,nan,nan
39,DET,James Jones,JoneJa00,1985-11-10,1985,10,REG,1,19,68,0,2,2,7,0,0,0,0,0,nan,nan
40,DET,James Jones,JoneJa00,1985-11-17,1985,11,REG,1,22,80,0,4,4,27,1,0,0,0,0,nan,nan
41,DET,James Jones,JoneJa00,1985-11-24,1985,12,REG,1,7,11,1,8,7,49,0,0,0,0,0,nan,nan
42,DET,James Jones,JoneJa00,1985-11-28,1985,13,REG,1,24,53,0,2,2,15,0,0,0,0,0,nan,nan
43,DET,James Jones,JoneJa00,1985-12-08,1985,14,REG,1,16,92,0,3,3,12,0,0,0,0,0,nan,nan
44,DET,James Jones,JoneJa00,1985-12-15,1985,15,REG,1,23,104,0,9,7,43,0,0,0,0,0,nan,nan
45,DET,James Jones,JoneJa00,1985-12-22,1985,16,REG,1,16,74,1,3,1,1,0,0,0,0,0,nan,nan
46,DET,James Jones,JoneJa00,1986-09-07,1986,1,REG,1,36,174,1,0,0,0,0,0,0,0,0,nan,nan
47,DET,James Jones,JoneJa00,1986-09-14,1986,2,REG,1,14,46,1,6,5,17,0,0,0,0,0,nan,nan
48,DET,James Jones,JoneJa00,1986-09-21,1986,3,REG,1,15,51,2,7,5,28,0,0,0,0,0,nan,nan
49,DET,James Jones,JoneJa00,1986-09-28,1986,4,REG,1,23,68,0,13,12,85,1,0,0,0,0,nan,nan
50,DET,James Jones,JoneJa00,1986-10-05,1986,5,REG,1,22,76,2,2,2,15,0,0,0,0,0,nan,nan
51,DET,James Jones,JoneJa00,1986-10-12,1986,6,REG,1,29,99,0,3,3,16,0,0,0,0,0,nan,nan
52,DET,James Jones,JoneJa00,1986-10-19,1986,7,REG,1,10,29,0,10,8,46,0,0,0,0,0,nan,nan
53,DET,James Jones,JoneJa00,1986-10-26,1986,8,REG,1,13,43,0,3,1,8,0,0,0,0,0,nan,nan
54,DET,James Jones,JoneJa00,1986-11-02,1986,9,REG,1,15,51,0,5,2,13,0,0,0,0,0,nan,nan
55,DET,James Jones,JoneJa00,1986-11-09,1986,10,REG,1,10,35,0,6,4,24,0,0,0,0,0,nan,nan
56,DET,James Jones,JoneJa00,1986-11-16,1986,11,REG,1,11,30,0,1,0,0,0,0,0,0,0,nan,nan
57,DET,James Jones,JoneJa00,1986-11-23,1986,12,REG,1,13,64,1,2,2,22,0,0,0,0,0,nan,nan
58,DET,James Jones,JoneJa00,1986-11-27,1986,13,REG,1,14,27,1,3,2,25,0,0,0,0,0,nan,nan
59,DET,James Jones,JoneJa00,1986-12-07,1986,14,REG,1,7,19,0,6,4,17,0,0,0,0,0,nan,nan
60,DET,James Jones,JoneJa00,1986-12-15,1986,15,REG,1,9,24,0,1,1,6,0,0,0,0,0,nan,nan
61,DET,James Jones,JoneJa00,1986-12-21,1986,16,REG,1,11,67,0,6,3,12,0,0,0,0,0,nan,nan
62,DET,James Jones,JoneJa00,1987-09-13,1987,1,REG,1,15,58,0,8,6,26,0,0,0,0,0,nan,nan
