CarGm,Date,Season,Season_type,Week,Team,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,2021-09-12,2021,REG,1,DEN,0,14,45,0,1,1,-4,0,33,0
2,2021-09-19,2021,REG,2,DEN,0,13,64,0,1,1,10,0,28,1
3,2021-09-26,2021,REG,3,DEN,0,12,29,1,4,3,33,0,27,0
4,2021-10-03,2021,REG,4,DEN,0,7,48,0,3,3,11,0,31,0
5,2021-10-10,2021,REG,5,DEN,0,8,61,0,3,3,25,0,25,0
6,2021-10-17,2021,REG,6,DEN,0,11,53,0,3,3,15,0,38,0
7,2021-10-21,2021,REG,7,DEN,0,4,20,0,7,6,32,1,21,0
8,2021-10-31,2021,REG,8,DEN,0,9,35,0,4,2,13,0,23,0
9,2021-11-07,2021,REG,9,DEN,0,17,111,0,0,0,0,0,37,2
10,2021-11-14,2021,REG,10,DEN,0,8,48,0,3,2,1,0,33,0
0,,2021,BYE,11,DEN,0,0,0,0,0,0,0,0,0,0
11,2021-11-28,2021,REG,12,DEN,0,14,54,1,4,3,57,0,36,1
12,2021-12-05,2021,REG,13,DEN,1,23,102,0,9,6,76,1,60,0
13,2021-12-12,2021,REG,14,DEN,0,15,73,1,2,1,10,1,33,0
14,2021-12-19,2021,REG,15,DEN,0,15,72,0,4,4,9,0,44,0
15,2021-12-26,2021,REG,16,DEN,0,7,12,1,2,2,8,0,22,0
16,2022-01-02,2021,REG,17,DEN,0,14,30,0,1,1,2,0,30,0
17,2022-01-08,2021,REG,18,DEN,0,12,46,0,2,2,18,0,30,0
18,2022-09-12,2022,REG,1,DEN,1,7,43,0,12,11,65,0,38,0
19,2022-09-18,2022,REG,2,DEN,1,15,75,0,4,1,10,0,47,0
20,2022-09-25,2022,REG,3,DEN,1,15,58,0,5,3,2,0,33,0
21,2022-10-02,2022,REG,4,DEN,1,10,28,0,1,1,-1,0,24,0
0,2022-10-06,2022,DNP,5,DEN,0,0,0,0,0,0,0,0,0,0
0,2022-10-17,2022,DNP,6,DEN,0,0,0,0,0,0,0,0,0,0
0,2022-10-23,2022,DNP,7,DEN,0,0,0,0,0,0,0,0,0,0
0,2022-10-30,2022,DNP,8,DEN,0,0,0,0,0,0,0,0,0,0
0,,2022,BYE,9,DEN,0,0,0,0,0,0,0,0,0,0
0,2022-11-13,2022,DNP,10,DEN,0,0,0,0,0,0,0,0,0,0
0,2022-11-20,2022,DNP,11,DEN,0,0,0,0,0,0,0,0,0,0
0,2022-11-27,2022,DNP,12,DEN,0,0,0,0,0,0,0,0,0,0
0,2022-12-04,2022,DNP,13,DEN,0,0,0,0,0,0,0,0,0,0
0,2022-12-11,2022,DNP,14,DEN,0,0,0,0,0,0,0,0,0,0
0,2022-12-18,2022,DNP,15,DEN,0,0,0,0,0,0,0,0,0,0
0,2022-12-25,2022,DNP,16,DEN,0,0,0,0,0,0,0,0,0,0
0,2023-01-01,2022,DNP,17,DEN,0,0,0,0,0,0,0,0,0,0
0,2023-01-08,2022,DNP,18,DEN,0,0,0,0,0,0,0,0,0,0
22,2023-09-10,2023,REG,1,DEN,1,13,52,0,6,4,5,0,29,0
23,2023-09-17,2023,REG,2,DEN,1,12,44,0,3,2,14,0,30,0
24,2023-09-24,2023,REG,3,DEN,1,11,42,0,3,2,23,0,26,0
25,2023-10-01,2023,REG,4,DEN,1,2,0,0,3,3,9,0,8,0
0,2023-10-08,2023,DNP,5,DEN,0,0,0,0,0,0,0,0,0,0
26,2023-10-12,2023,REG,6,DEN,0,10,52,0,0,0,0,0,18,0
27,2023-10-22,2023,REG,7,DEN,1,15,82,0,4,3,14,0,31,0
28,2023-10-29,2023,REG,8,DEN,1,27,85,0,3,3,13,1,45,0
0,,2023,BYE,9,DEN,0,0,0,0,0,0,0,0,0,0
29,2023-11-13,2023,REG,10,DEN,1,21,79,0,4,4,31,1,39,0
30,2023-11-19,2023,REG,11,DEN,1,11,37,0,2,2,16,0,27,0
31,2023-11-26,2023,REG,12,DEN,1,18,65,0,6,3,6,0,47,0
32,2023-12-03,2023,REG,13,DEN,1,13,46,0,3,3,24,0,39,0
33,2023-12-10,2023,REG,14,DEN,1,17,66,1,4,3,25,0,40,0
34,2023-12-16,2023,REG,15,DEN,0,12,27,0,2,2,-7,0,31,0
35,2023-12-24,2023,REG,16,DEN,1,11,24,1,3,3,-5,0,27,0
36,2023-12-31,2023,REG,17,DEN,0,15,41,0,3,3,17,0,31,0
37,2024-01-07,2023,REG,18,DEN,1,9,32,1,9,7,43,0,25,0
38,2024-09-08,2024,REG,1,DEN,1,8,23,0,2,1,0,0,36,0
39,2024-09-15,2024,REG,2,DEN,1,11,17,0,5,5,48,0,40,0
40,2024-09-22,2024,REG,3,DEN,1,5,12,0,4,4,29,0,35,0
41,2024-09-29,2024,REG,4,DEN,1,16,77,0,3,2,3,0,35,0
42,2024-10-06,2024,REG,5,DEN,1,13,61,0,6,5,50,0,40,0
43,2024-10-13,2024,REG,6,DEN,1,6,23,0,6,3,13,0,37,0
44,2024-10-17,2024,REG,7,DEN,1,14,88,2,3,3,23,0,41,0
45,2024-10-27,2024,REG,8,DEN,1,17,44,0,5,4,8,0,42,0
46,2024-11-03,2024,REG,9,DEN,0,12,42,0,3,2,42,0,39,0
47,2024-11-10,2024,REG,10,DEN,0,1,1,0,2,2,6,0,17,0
48,2024-11-17,2024,REG,11,DEN,1,9,59,1,5,4,28,0,32,0
49,2024-11-24,2024,REG,12,DEN,1,8,-2,0,4,2,6,0,38,0
50,2024-12-02,2024,REG,13,DEN,1,4,1,1,2,1,3,0,30,0
0,,2024,BYE,14,DEN,0,0,0,0,0,0,0,0,0,0
51,2024-12-15,2024,REG,15,DEN,0,6,15,0,3,2,8,0,34,0
52,2024-12-19,2024,REG,16,DEN,0,4,24,0,11,7,29,0,33,0
53,2024-12-28,2024,REG,17,DEN,0,0,0,0,2,2,0,0,22,0
54,2025-01-05,2024,REG,18,DEN,0,5,28,0,4,3,50,0,23,0
55,2025-01-12,2024,POST,19,DEN,1,7,29,0,2,2,14,0,31,0
56,2025-09-04,2025,REG,1,DAL,1,15,54,2,3,2,10,0,0,0
