CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,PIT,Jaylen Warren,WarrJa01,2022-09-11,2022,1,REG,0,3,7,0,1,0,0,0,23,11
2,PIT,Jaylen Warren,WarrJa01,2022-09-18,2022,2,REG,0,4,15,0,1,1,0,0,17,8
3,PIT,Jaylen Warren,WarrJa01,2022-09-22,2022,3,REG,0,4,30,0,1,1,3,0,12,9
4,PIT,Jaylen Warren,WarrJa01,2022-10-02,2022,4,REG,0,3,18,0,1,1,4,0,16,9
5,PIT,Jaylen Warren,WarrJa01,2022-10-09,2022,5,REG,0,5,24,0,5,4,39,0,38,9
6,PIT,Jaylen Warren,WarrJa01,2022-10-16,2022,6,REG,0,2,2,0,0,0,0,0,20,10
7,PIT,Jaylen Warren,WarrJa01,2022-10-23,2022,7,REG,0,2,7,0,2,2,17,0,17,8
8,PIT,Jaylen Warren,WarrJa01,2022-10-30,2022,8,REG,0,6,50,0,3,3,25,0,22,10
0,PIT,Jaylen Warren,WarrJa01,,2022,9,BYE,0,0,0,0,0,0,0,0,0,0
9,PIT,Jaylen Warren,WarrJa01,2022-11-13,2022,10,REG,0,9,37,0,3,3,40,0,36,8
10,PIT,Jaylen Warren,WarrJa01,2022-11-20,2022,11,REG,0,0,0,0,1,1,9,0,3,1
0,PIT,Jaylen Warren,WarrJa01,2022-11-28,2022,12,DNP,0,0,0,0,0,0,0,0,0,0
11,PIT,Jaylen Warren,WarrJa01,2022-12-04,2022,13,REG,0,1,5,0,2,2,14,0,13,5
12,PIT,Jaylen Warren,WarrJa01,2022-12-11,2022,14,REG,0,3,11,0,3,2,16,0,22,5
13,PIT,Jaylen Warren,WarrJa01,2022-12-18,2022,15,REG,0,11,38,1,1,1,11,0,23,9
14,PIT,Jaylen Warren,WarrJa01,2022-12-24,2022,16,REG,0,6,23,0,2,1,7,0,21,7
15,PIT,Jaylen Warren,WarrJa01,2023-01-01,2022,17,REG,0,12,76,0,3,3,22,0,28,9
16,PIT,Jaylen Warren,WarrJa01,2023-01-08,2022,18,REG,0,6,36,0,4,3,7,0,31,9
17,PIT,Jaylen Warren,WarrJa01,2023-09-10,2023,1,REG,0,3,6,0,6,5,12,0,25,7
18,PIT,Jaylen Warren,WarrJa01,2023-09-18,2023,2,REG,0,6,20,0,6,4,66,0,23,5
19,PIT,Jaylen Warren,WarrJa01,2023-09-24,2023,3,REG,0,8,29,0,4,3,23,0,28,3
20,PIT,Jaylen Warren,WarrJa01,2023-10-01,2023,4,REG,0,8,29,0,6,6,26,0,29,6
21,PIT,Jaylen Warren,WarrJa01,2023-10-08,2023,5,REG,0,9,40,0,3,3,39,0,32,4
0,PIT,Jaylen Warren,WarrJa01,,2023,6,BYE,0,0,0,0,0,0,0,0,0,0
22,PIT,Jaylen Warren,WarrJa01,2023-10-22,2023,7,REG,0,6,32,1,2,1,-1,0,27,4
23,PIT,Jaylen Warren,WarrJa01,2023-10-29,2023,8,REG,0,5,19,0,5,4,19,0,33,6
24,PIT,Jaylen Warren,WarrJa01,2023-11-02,2023,9,REG,0,11,88,0,3,3,25,0,26,4
25,PIT,Jaylen Warren,WarrJa01,2023-11-12,2023,10,REG,0,15,101,1,4,2,9,0,33,0
26,PIT,Jaylen Warren,WarrJa01,2023-11-19,2023,11,REG,0,9,129,1,3,3,16,0,26,0
27,PIT,Jaylen Warren,WarrJa01,2023-11-26,2023,12,REG,0,13,49,0,3,3,13,0,34,1
28,PIT,Jaylen Warren,WarrJa01,2023-12-03,2023,13,REG,0,9,59,0,3,1,-4,0,26,5
29,PIT,Jaylen Warren,WarrJa01,2023-12-07,2023,14,REG,0,7,11,0,5,4,29,0,37,4
30,PIT,Jaylen Warren,WarrJa01,2023-12-16,2023,15,REG,0,10,40,0,6,5,28,0,40,7
31,PIT,Jaylen Warren,WarrJa01,2023-12-23,2023,16,REG,0,8,24,0,6,5,30,0,34,3
32,PIT,Jaylen Warren,WarrJa01,2023-12-31,2023,17,REG,0,13,75,1,4,4,23,0,39,5
33,PIT,Jaylen Warren,WarrJa01,2024-01-06,2023,18,REG,0,9,33,0,5,5,17,0,27,2
34,PIT,Jaylen Warren,WarrJa01,2024-01-15,2023,19,POST,0,8,38,0,2,2,16,0,28,6
35,PIT,Jaylen Warren,WarrJa01,2024-09-08,2024,1,REG,0,2,7,0,2,2,13,0,21,3
36,PIT,Jaylen Warren,WarrJa01,2024-09-15,2024,2,REG,0,9,42,0,2,2,19,0,32,3
37,PIT,Jaylen Warren,WarrJa01,2024-09-22,2024,3,REG,0,3,5,0,1,1,-4,0,23,3
0,PIT,Jaylen Warren,WarrJa01,2024-09-29,2024,4,DNP,0,0,0,0,0,0,0,0,0,0
0,PIT,Jaylen Warren,WarrJa01,2024-10-06,2024,5,DNP,0,0,0,0,0,0,0,0,0,0
38,PIT,Jaylen Warren,WarrJa01,2024-10-13,2024,6,REG,0,6,7,0,3,3,11,0,25,2
39,PIT,Jaylen Warren,WarrJa01,2024-10-20,2024,7,REG,0,12,44,0,3,2,15,0,35,3
40,PIT,Jaylen Warren,WarrJa01,2024-10-28,2024,8,REG,0,9,46,0,3,2,13,0,26,6
0,PIT,Jaylen Warren,WarrJa01,,2024,9,BYE,0,0,0,0,0,0,0,0,0,0
41,PIT,Jaylen Warren,WarrJa01,2024-11-10,2024,10,REG,0,14,66,0,2,2,29,0,35,6
42,PIT,Jaylen Warren,WarrJa01,2024-11-17,2024,11,REG,0,9,41,0,4,4,27,0,26,4
43,PIT,Jaylen Warren,WarrJa01,2024-11-21,2024,12,REG,0,11,45,1,4,3,19,0,39,5
44,PIT,Jaylen Warren,WarrJa01,2024-12-01,2024,13,REG,0,3,9,0,4,4,55,0,25,6
45,PIT,Jaylen Warren,WarrJa01,2024-12-08,2024,14,REG,0,9,47,0,5,2,25,0,34,3
46,PIT,Jaylen Warren,WarrJa01,2024-12-15,2024,15,REG,0,4,12,0,2,1,3,0,23,6
47,PIT,Jaylen Warren,WarrJa01,2024-12-21,2024,16,REG,0,12,48,0,5,5,44,0,40,7
48,PIT,Jaylen Warren,WarrJa01,2024-12-25,2024,17,REG,0,11,71,0,6,5,41,0,40,6
49,PIT,Jaylen Warren,WarrJa01,2025-01-04,2024,18,REG,0,6,21,0,1,0,0,0,23,6
50,PIT,Jaylen Warren,WarrJa01,2025-01-11,2024,19,POST,0,2,6,0,5,4,19,0,25,5
