CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,ATL,Jerious Norwood,NorwJe00,2006-09-10,2006,1,REG,0,10,66,0,1,0,0,0,0,0
2,ATL,Jerious Norwood,NorwJe00,2006-09-17,2006,2,REG,0,9,45,0,1,1,12,0,0,0
3,ATL,Jerious Norwood,NorwJe00,2006-09-25,2006,3,REG,0,1,0,0,0,0,0,0,0,0
4,ATL,Jerious Norwood,NorwJe00,2006-10-01,2006,4,REG,0,6,106,1,0,0,0,0,0,0
0,ATL,Jerious Norwood,NorwJe00,,2006,5,BYE,0,0,0,0,0,0,0,0,0,0
5,ATL,Jerious Norwood,NorwJe00,2006-10-15,2006,6,REG,0,4,9,0,1,1,2,0,0,0
6,ATL,Jerious Norwood,NorwJe00,2006-10-22,2006,7,REG,0,8,64,0,1,1,5,0,0,0
7,ATL,Jerious Norwood,NorwJe00,2006-10-29,2006,8,REG,0,9,31,0,3,2,39,0,0,0
8,ATL,Jerious Norwood,NorwJe00,2006-11-05,2006,9,REG,0,5,34,0,1,1,5,0,0,0
0,ATL,Jerious Norwood,NorwJe00,2006-11-12,2006,10,DNP,0,0,0,0,0,0,0,0,0,0
9,ATL,Jerious Norwood,NorwJe00,2006-11-19,2006,11,REG,0,3,2,0,0,0,0,0,0,0
10,ATL,Jerious Norwood,NorwJe00,2006-11-26,2006,12,REG,0,13,54,0,2,2,7,0,0,0
11,ATL,Jerious Norwood,NorwJe00,2006-12-03,2006,13,REG,0,9,107,1,0,0,0,0,0,0
12,ATL,Jerious Norwood,NorwJe00,2006-12-10,2006,14,REG,0,7,32,0,1,1,4,0,0,0
0,ATL,Jerious Norwood,NorwJe00,2006-12-16,2006,15,DNP,0,0,0,0,0,0,0,0,0,0
13,ATL,Jerious Norwood,NorwJe00,2006-12-24,2006,16,REG,0,5,20,0,1,0,0,0,0,0
14,ATL,Jerious Norwood,NorwJe00,2006-12-31,2006,17,REG,0,10,63,0,3,3,28,0,0,0
15,ATL,Jerious Norwood,NorwJe00,2007-09-09,2007,1,REG,0,5,33,0,2,2,24,0,0,0
16,ATL,Jerious Norwood,NorwJe00,2007-09-16,2007,2,REG,0,9,30,0,4,1,13,0,0,0
17,ATL,Jerious Norwood,NorwJe00,2007-09-23,2007,3,REG,0,6,32,0,4,3,34,0,0,0
18,ATL,Jerious Norwood,NorwJe00,2007-09-30,2007,4,REG,0,9,29,0,3,2,16,0,0,0
19,ATL,Jerious Norwood,NorwJe00,2007-10-07,2007,5,REG,0,6,23,0,3,2,4,0,0,0
20,ATL,Jerious Norwood,NorwJe00,2007-10-15,2007,6,REG,0,6,87,1,4,4,51,0,0,0
