CarGm,Date,Season,Season_type,Week,Team,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,2022-09-11,2022,REG,1,CLE,0,0,0,0,0,0,0,0,0,12
2,2022-09-18,2022,REG,2,CLE,0,0,0,0,0,0,0,0,0,10
3,2022-09-22,2022,REG,3,CLE,0,0,0,0,0,0,0,0,0,12
4,2022-10-02,2022,REG,4,CLE,0,0,0,0,0,0,0,0,0,2
0,2022-10-09,2022,DNP,5,CLE,0,0,0,0,0,0,0,0,0,0
0,2022-10-16,2022,DNP,6,CLE,0,0,0,0,0,0,0,0,0,0
0,2022-10-23,2022,DNP,7,CLE,0,0,0,0,0,0,0,0,0,0
0,2022-10-31,2022,DNP,8,CLE,0,0,0,0,0,0,0,0,0,0
0,,2022,BYE,9,CLE,0,0,0,0,0,0,0,0,0,0
5,2022-11-13,2022,REG,10,CLE,0,0,0,0,0,0,0,0,0,12
6,2022-11-20,2022,REG,11,CLE,0,0,0,0,0,0,0,0,0,16
7,2022-11-27,2022,REG,12,CLE,0,0,0,0,0,0,0,0,0,17
8,2022-12-04,2022,REG,13,CLE,0,3,3,0,0,0,0,0,7,16
9,2022-12-11,2022,REG,14,CLE,0,0,0,0,0,0,0,0,0,13
10,2022-12-17,2022,REG,15,CLE,0,0,0,0,0,0,0,0,0,6
11,2022-12-24,2022,REG,16,CLE,0,0,0,0,0,0,0,0,0,10
12,2023-01-01,2022,REG,17,CLE,0,5,9,0,0,0,0,0,7,8
13,2023-01-08,2022,REG,18,CLE,0,0,0,0,0,0,0,0,0,11
14,2023-09-10,2023,REG,1,CLE,0,15,36,0,0,0,0,0,30,2
15,2023-09-18,2023,REG,2,CLE,0,16,106,0,4,3,25,1,43,2
16,2023-09-24,2023,REG,3,CLE,1,10,18,1,3,2,33,1,40,0
17,2023-10-01,2023,REG,4,CLE,1,9,26,0,6,5,19,0,43,0
0,,2023,BYE,5,CLE,0,0,0,0,0,0,0,0,0,0
18,2023-10-15,2023,REG,6,CLE,0,17,84,0,2,2,7,0,38,0
19,2023-10-22,2023,REG,7,CLE,1,11,74,1,4,2,20,0,32,0
20,2023-10-29,2023,REG,8,CLE,0,9,37,0,2,1,2,0,26,0
21,2023-11-05,2023,REG,9,CLE,1,20,44,0,7,5,33,0,47,0
22,2023-11-12,2023,REG,10,CLE,1,17,107,0,1,1,2,0,50,0
23,2023-11-19,2023,REG,11,CLE,1,12,31,1,5,2,8,0,37,0
24,2023-11-26,2023,REG,12,CLE,1,9,65,0,7,4,14,0,51,0
25,2023-12-03,2023,REG,13,CLE,1,9,19,0,3,3,33,1,36,0
26,2023-12-10,2023,REG,14,CLE,1,12,51,0,6,5,31,0,43,0
27,2023-12-17,2023,REG,15,CLE,1,8,20,0,5,4,11,0,35,0
28,2023-12-24,2023,REG,16,CLE,1,15,25,1,2,1,-2,0,35,0
29,2023-12-28,2023,REG,17,CLE,1,12,64,0,3,2,57,2,24,0
30,2024-01-07,2023,REG,18,CLE,0,3,6,0,3,2,26,0,19,0
31,2024-01-13,2023,POST,19,CLE,1,9,17,0,4,4,15,0,43,0
32,2024-09-08,2024,REG,1,CLE,1,12,44,1,7,6,25,0,57,0
33,2024-09-15,2024,REG,2,CLE,0,7,64,0,2,1,0,0,32,0
34,2024-09-22,2024,REG,3,CLE,1,10,37,0,4,3,33,0,53,0
35,2024-09-29,2024,REG,4,CLE,1,10,58,0,7,7,27,0,46,0
36,2024-10-06,2024,REG,5,CLE,0,9,47,0,3,3,2,0,36,0
37,2024-10-13,2024,REG,6,CLE,1,2,14,0,0,0,0,0,4,0
0,2024-10-20,2024,DNP,7,CLE,0,0,0,0,0,0,0,0,0,0
0,2024-10-27,2024,DNP,8,CLE,0,0,0,0,0,0,0,0,0,0
38,2024-11-03,2024,REG,9,CLE,0,2,5,0,3,1,2,0,36,5
0,,2024,BYE,10,CLE,0,0,0,0,0,0,0,0,0,0
39,2024-11-17,2024,REG,11,CLE,0,5,10,0,4,4,29,0,41,6
40,2024-11-21,2024,REG,12,CLE,0,4,19,0,1,1,8,0,20,5
41,2024-12-02,2024,REG,13,CLE,0,9,41,0,1,1,21,0,57,8
42,2024-12-08,2024,REG,14,CLE,0,10,28,0,4,3,19,0,40,6
43,2024-12-15,2024,REG,15,CLE,0,7,84,1,2,2,20,0,36,4
44,2024-12-22,2024,REG,16,CLE,1,11,92,1,5,5,39,0,53,4
45,2024-12-29,2024,REG,17,CLE,1,6,22,0,0,0,0,0,15,1
0,2025-01-04,2024,DNP,18,CLE,0,0,0,0,0,0,0,0,0,0
