CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp,SUSP,INJ,Game Status,Injuries
1,CIN,Joe Mixon,MixoJo00,2017-09-10,2017,1,REG,0,8,9,0,3,3,15,0,22,0,0,0,,
2,CIN,Joe Mixon,MixoJo00,2017-09-14,2017,2,REG,0,9,36,0,1,1,5,0,16,4,0,0,,
3,CIN,Joe Mixon,MixoJo00,2017-09-24,2017,3,REG,0,18,62,0,3,3,39,0,34,5,0,0,,
4,CIN,Joe Mixon,MixoJo00,2017-10-01,2017,4,REG,0,17,29,0,4,4,19,0,31,1,0,0,,
5,CIN,Joe Mixon,MixoJo00,2017-10-08,2017,5,REG,0,15,51,1,0,0,0,0,36,5,0,0,,
0,CIN,Joe Mixon,MixoJo00,,2017,6,BYE,0,0,0,0,0,0,0,0,0,0,0,0,,
6,CIN,Joe Mixon,MixoJo00,2017-10-22,2017,7,REG,0,7,48,0,3,3,20,0,22,0,0,0,,
7,CIN,Joe Mixon,MixoJo00,2017-10-29,2017,8,REG,0,11,18,0,3,3,91,0,35,0,0,0,,
8,CIN,Joe Mixon,MixoJo00,2017-11-05,2017,9,REG,1,13,31,1,4,3,15,0,28,0,0,0,,
9,CIN,Joe Mixon,MixoJo00,2017-11-12,2017,10,REG,1,9,37,1,3,1,3,0,31,0,0,0,,
10,CIN,Joe Mixon,MixoJo00,2017-11-19,2017,11,REG,1,20,49,0,2,2,0,0,35,0,0,0,,
11,CIN,Joe Mixon,MixoJo00,2017-11-26,2017,12,REG,1,23,114,1,3,3,51,0,46,0,0,0,,
12,CIN,Joe Mixon,MixoJo00,2017-12-04,2017,13,REG,1,7,34,0,1,1,8,0,17,0,0,0,,
0,CIN,Joe Mixon,MixoJo00,2017-12-10,2017,14,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Concussion
0,CIN,Joe Mixon,MixoJo00,2017-12-17,2017,15,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Questionable,Concussion
13,CIN,Joe Mixon,MixoJo00,2017-12-24,2017,16,REG,1,3,12,0,3,2,20,0,6,0,0,0,,
14,CIN,Joe Mixon,MixoJo00,2017-12-31,2017,17,REG,1,18,96,0,1,1,1,0,25,0,0,0,,
15,CIN,Joe Mixon,MixoJo00,2018-09-09,2018,1,REG,1,17,95,1,7,5,54,0,44,0,0,0,,
16,CIN,Joe Mixon,MixoJo00,2018-09-13,2018,2,REG,1,21,84,0,1,1,3,0,39,0,0,0,,
0,CIN,Joe Mixon,MixoJo00,2018-09-23,2018,3,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Knee
0,CIN,Joe Mixon,MixoJo00,2018-09-30,2018,4,INJ,0,0,0,0,0,0,0,0,0,0,0,1,Out,Knee
17,CIN,Joe Mixon,MixoJo00,2018-10-07,2018,5,REG,1,22,93,0,4,3,22,1,47,0,0,0,,
18,CIN,Joe Mixon,MixoJo00,2018-10-14,2018,6,REG,1,11,64,1,7,4,20,0,42,0,0,0,,
19,CIN,Joe Mixon,MixoJo00,2018-10-21,2018,7,REG,1,13,50,0,5,3,1,0,44,0,0,0,,
20,CIN,Joe Mixon,MixoJo00,2018-10-28,2018,8,REG,1,21,123,2,4,3,15,0,55,0,0,0,,
0,CIN,Joe Mixon,MixoJo00,,2018,9,BYE,0,0,0,0,0,0,0,0,0,0,0,0,,
