CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,HOU,Jonathan Wells,WellJo00,2002-09-08,2002,1,REG,0,9,18,0,1,1,6,0,0,0
2,HOU,Jonathan Wells,WellJo00,2002-09-15,2002,2,REG,0,6,3,0,0,0,0,0,0,0
3,HOU,Jonathan Wells,WellJo00,2002-09-22,2002,3,REG,0,14,93,0,2,2,14,0,0,0
4,HOU,Jonathan Wells,WellJo00,2002-09-29,2002,4,REG,0,8,33,0,0,0,0,0,0,0
0,HOU,Jonathan Wells,WellJo00,,2002,5,BYE,0,0,0,0,0,0,0,0,0,0
5,HOU,Jonathan Wells,WellJo00,2002-10-13,2002,6,REG,0,12,70,0,0,0,0,0,0,0
6,HOU,Jonathan Wells,WellJo00,2002-10-20,2002,7,REG,1,13,23,0,3,2,11,0,0,0
7,HOU,Jonathan Wells,WellJo00,2002-10-27,2002,8,REG,1,17,27,1,1,0,0,0,0,0
8,HOU,Jonathan Wells,WellJo00,2002-11-03,2002,9,REG,1,12,44,0,0,0,0,0,0,0
9,HOU,Jonathan Wells,WellJo00,2002-11-10,2002,10,REG,1,18,41,0,1,1,5,0,0,0
10,HOU,Jonathan Wells,WellJo00,2002-11-17,2002,11,REG,1,9,15,0,1,0,0,0,0,0
11,HOU,Jonathan Wells,WellJo00,2002-11-24,2002,12,REG,1,24,68,1,1,1,-3,0,0,0
12,HOU,Jonathan Wells,WellJo00,2002-12-01,2002,13,REG,1,3,0,0,0,0,0,0,0,0
13,HOU,Jonathan Wells,WellJo00,2002-12-08,2002,14,REG,1,10,12,0,0,0,0,0,0,0
14,HOU,Jonathan Wells,WellJo00,2002-12-15,2002,15,REG,1,14,48,1,1,1,9,0,0,0
15,HOU,Jonathan Wells,WellJo00,2002-12-22,2002,16,REG,1,15,33,0,1,1,6,0,0,0
16,HOU,Jonathan Wells,WellJo00,2002-12-29,2002,17,REG,1,13,1,0,0,0,0,0,0,0
0,HOU,Jonathan Wells,WellJo00,2003-09-07,2003,1,DNP,0,0,0,0,0,0,0,0,0,0
17,HOU,Jonathan Wells,WellJo00,2003-09-14,2003,2,REG,0,0,0,0,0,0,0,0,0,0
18,HOU,Jonathan Wells,WellJo00,2003-09-21,2003,3,REG,0,4,14,0,3,1,12,0,0,0
19,HOU,Jonathan Wells,WellJo00,2003-09-28,2003,4,REG,0,0,0,0,0,0,0,0,0,0
0,HOU,Jonathan Wells,WellJo00,,2003,5,BYE,0,0,0,0,0,0,0,0,0,0
0,HOU,Jonathan Wells,WellJo00,2003-10-12,2003,6,DNP,0,0,0,0,0,0,0,0,0,0
0,HOU,Jonathan Wells,WellJo00,2003-10-19,2003,7,DNP,0,0,0,0,0,0,0,0,0,0
